timestamp,run,layer,source,destination,latency_ms
2026-05-08 00:42:36.893036,1,field,h2,h3,5.55
2026-05-08 00:42:36.893063,1,field,h2,h3,3.11
2026-05-08 00:42:36.893068,1,field,h2,h3,1.8
2026-05-08 00:42:36.893072,1,field,h2,h3,7.23
2026-05-08 00:42:36.893075,1,field,h2,h3,11.2
2026-05-08 00:42:36.893079,1,field,h2,h3,9.14
2026-05-08 00:42:36.893082,1,field,h2,h3,14.0
2026-05-08 00:42:36.893085,1,field,h2,h3,14.4
2026-05-08 00:42:36.893088,1,field,h2,h3,19.8
2026-05-08 00:42:36.893091,1,field,h2,h3,19.1
2026-05-08 00:42:36.893095,1,field,h2,h3,14.8
2026-05-08 00:42:36.893098,1,field,h2,h3,17.4
2026-05-08 00:42:36.893101,1,field,h2,h3,20.2
2026-05-08 00:42:36.893104,1,field,h2,h3,21.2
2026-05-08 00:42:36.893107,1,field,h2,h3,15.8
2026-05-08 00:42:36.893109,1,field,h2,h3,18.4
2026-05-08 00:42:36.893112,1,field,h2,h3,28.2
2026-05-08 00:42:36.893115,1,field,h2,h3,24.2
2026-05-08 00:42:36.893119,1,field,h2,h3,23.6
2026-05-08 00:42:36.893122,1,field,h2,h3,21.1
2026-05-08 00:42:57.063906,2,field,h2,h3,23.1
2026-05-08 00:42:57.063929,2,field,h2,h3,30.5
2026-05-08 00:42:57.063933,2,field,h2,h3,29.2
2026-05-08 00:42:57.063937,2,field,h2,h3,22.2
2026-05-08 00:42:57.063940,2,field,h2,h3,21.3
2026-05-08 00:42:57.063943,2,field,h2,h3,15.2
2026-05-08 00:42:57.063947,2,field,h2,h3,24.2
2026-05-08 00:42:57.063950,2,field,h2,h3,15.5
2026-05-08 00:42:57.063953,2,field,h2,h3,19.3
2026-05-08 00:42:57.063956,2,field,h2,h3,21.4
2026-05-08 00:42:57.063959,2,field,h2,h3,24.8
2026-05-08 00:42:57.063961,2,field,h2,h3,28.9
2026-05-08 00:42:57.063964,2,field,h2,h3,27.1
2026-05-08 00:42:57.063967,2,field,h2,h3,28.9
2026-05-08 00:42:57.063970,2,field,h2,h3,30.3
2026-05-08 00:42:57.063973,2,field,h2,h3,33.4
2026-05-08 00:42:57.063976,2,field,h2,h3,34.1
2026-05-08 00:42:57.063980,2,field,h2,h3,36.1
2026-05-08 00:42:57.063983,2,field,h2,h3,32.3
2026-05-08 00:42:57.063986,2,field,h2,h3,34.6
2026-05-08 00:43:17.194216,3,field,h2,h3,31.4
2026-05-08 00:43:17.194449,3,field,h2,h3,29.9
2026-05-08 00:43:17.194471,3,field,h2,h3,31.1
2026-05-08 00:43:17.194481,3,field,h2,h3,30.3
2026-05-08 00:43:17.194489,3,field,h2,h3,30.8
2026-05-08 00:43:17.194497,3,field,h2,h3,35.5
2026-05-08 00:43:17.194503,3,field,h2,h3,33.3
2026-05-08 00:43:17.194510,3,field,h2,h3,35.7
2026-05-08 00:43:17.194516,3,field,h2,h3,37.7
2026-05-08 00:43:17.194522,3,field,h2,h3,37.3
2026-05-08 00:43:17.194527,3,field,h2,h3,42.9
2026-05-08 00:43:17.194532,3,field,h2,h3,37.6
2026-05-08 00:43:17.194537,3,field,h2,h3,39.4
2026-05-08 00:43:17.194543,3,field,h2,h3,40.6
2026-05-08 00:43:17.194549,3,field,h2,h3,38.9
2026-05-08 00:43:17.194555,3,field,h2,h3,42.3
2026-05-08 00:43:17.194730,3,field,h2,h3,41.2
2026-05-08 00:43:17.194740,3,field,h2,h3,44.0
2026-05-08 00:43:17.194745,3,field,h2,h3,53.7
2026-05-08 00:43:17.194751,3,field,h2,h3,46.5
2026-05-08 00:43:37.284635,1,system,h3,h4,253.0
2026-05-08 00:43:37.284659,1,system,h3,h4,53.8
2026-05-08 00:43:37.284666,1,system,h3,h4,44.7
2026-05-08 00:43:37.284669,1,system,h3,h4,42.0
2026-05-08 00:43:37.284673,1,system,h3,h4,42.7
2026-05-08 00:43:37.284676,1,system,h3,h4,38.1
2026-05-08 00:43:37.284679,1,system,h3,h4,40.2
2026-05-08 00:43:37.284682,1,system,h3,h4,40.2
2026-05-08 00:43:37.284685,1,system,h3,h4,41.5
2026-05-08 00:43:37.284688,1,system,h3,h4,43.6
2026-05-08 00:43:37.284691,1,system,h3,h4,46.9
2026-05-08 00:43:37.284694,1,system,h3,h4,45.6
2026-05-08 00:43:37.284697,1,system,h3,h4,46.8
2026-05-08 00:43:37.284700,1,system,h3,h4,48.3
2026-05-08 00:43:37.284703,1,system,h3,h4,48.9
2026-05-08 00:43:37.284707,1,system,h3,h4,51.6
2026-05-08 00:43:37.284710,1,system,h3,h4,53.5
2026-05-08 00:43:37.284713,1,system,h3,h4,55.3
2026-05-08 00:43:37.284716,1,system,h3,h4,56.2
2026-05-08 00:43:37.284719,1,system,h3,h4,57.1
2026-05-08 00:43:57.448831,2,system,h3,h4,60.6
2026-05-08 00:43:57.448864,2,system,h3,h4,60.7
2026-05-08 00:43:57.448872,2,system,h3,h4,60.9
2026-05-08 00:43:57.448876,2,system,h3,h4,62.2
2026-05-08 00:43:57.448879,2,system,h3,h4,58.9
2026-05-08 00:43:57.448882,2,system,h3,h4,61.8
2026-05-08 00:43:57.448886,2,system,h3,h4,63.9
2026-05-08 00:43:57.448889,2,system,h3,h4,63.2
2026-05-08 00:43:57.448892,2,system,h3,h4,64.7
2026-05-08 00:43:57.448895,2,system,h3,h4,62.2
2026-05-08 00:43:57.448898,2,system,h3,h4,65.3
2026-05-08 00:43:57.448901,2,system,h3,h4,57.4
2026-05-08 00:43:57.448904,2,system,h3,h4,64.0
2026-05-08 00:43:57.448907,2,system,h3,h4,63.7
2026-05-08 00:43:57.448910,2,system,h3,h4,66.2
2026-05-08 00:43:57.448913,2,system,h3,h4,60.7
2026-05-08 00:43:57.448917,2,system,h3,h4,68.2
2026-05-08 00:43:57.448920,2,system,h3,h4,64.4
2026-05-08 00:43:57.448923,2,system,h3,h4,68.9
2026-05-08 00:43:57.448926,2,system,h3,h4,67.2
2026-05-08 00:44:17.550187,3,system,h3,h4,67.0
2026-05-08 00:44:17.550213,3,system,h3,h4,67.4
2026-05-08 00:44:17.550218,3,system,h3,h4,72.0
2026-05-08 00:44:17.550222,3,system,h3,h4,71.9
2026-05-08 00:44:17.550225,3,system,h3,h4,73.7
2026-05-08 00:44:17.550228,3,system,h3,h4,71.3
2026-05-08 00:44:17.550231,3,system,h3,h4,73.4
2026-05-08 00:44:17.550235,3,system,h3,h4,76.3
2026-05-08 00:44:17.550238,3,system,h3,h4,76.9
2026-05-08 00:44:17.550250,3,system,h3,h4,80.2
2026-05-08 00:44:17.550253,3,system,h3,h4,81.9
2026-05-08 00:44:17.550257,3,system,h3,h4,79.1
2026-05-08 00:44:17.550260,3,system,h3,h4,74.5
2026-05-08 00:44:17.550263,3,system,h3,h4,75.1
2026-05-08 00:44:17.550266,3,system,h3,h4,73.8
2026-05-08 00:44:17.550269,3,system,h3,h4,75.0
2026-05-08 00:44:17.550272,3,system,h3,h4,76.1
2026-05-08 00:44:17.550275,3,system,h3,h4,76.8
2026-05-08 00:44:17.550278,3,system,h3,h4,78.4
2026-05-08 00:44:17.550281,3,system,h3,h4,69.5
