timestamp,run,layer,source,destination,latency_ms
2026-05-08 00:39:48.613567,1,field,h2,h3,2.73
2026-05-08 00:39:48.613593,1,field,h2,h3,0.562
2026-05-08 00:39:48.613598,1,field,h2,h3,0.058
2026-05-08 00:39:48.613602,1,field,h2,h3,0.051
2026-05-08 00:39:48.613605,1,field,h2,h3,0.063
2026-05-08 00:39:48.613608,1,field,h2,h3,0.058
2026-05-08 00:39:48.613612,1,field,h2,h3,0.176
2026-05-08 00:39:48.613615,1,field,h2,h3,0.067
2026-05-08 00:39:48.613618,1,field,h2,h3,0.08
2026-05-08 00:39:48.613621,1,field,h2,h3,0.077
2026-05-08 00:39:48.613624,1,field,h2,h3,0.059
2026-05-08 00:39:48.613627,1,field,h2,h3,0.059
2026-05-08 00:39:48.613630,1,field,h2,h3,0.074
2026-05-08 00:39:48.613633,1,field,h2,h3,0.073
2026-05-08 00:39:48.613636,1,field,h2,h3,0.071
2026-05-08 00:39:48.613639,1,field,h2,h3,0.08
2026-05-08 00:39:48.613642,1,field,h2,h3,0.057
2026-05-08 00:39:48.613645,1,field,h2,h3,0.057
2026-05-08 00:39:48.613648,1,field,h2,h3,0.105
2026-05-08 00:39:48.613651,1,field,h2,h3,0.063
2026-05-08 00:40:09.031769,2,field,h2,h3,0.067
2026-05-08 00:40:09.031796,2,field,h2,h3,0.673
2026-05-08 00:40:09.031800,2,field,h2,h3,0.069
2026-05-08 00:40:09.031804,2,field,h2,h3,0.065
2026-05-08 00:40:09.031807,2,field,h2,h3,0.071
2026-05-08 00:40:09.031810,2,field,h2,h3,0.07
2026-05-08 00:40:09.031813,2,field,h2,h3,0.072
2026-05-08 00:40:09.031817,2,field,h2,h3,0.072
2026-05-08 00:40:09.031820,2,field,h2,h3,0.063
2026-05-08 00:40:09.031823,2,field,h2,h3,3.95
2026-05-08 00:40:09.031826,2,field,h2,h3,0.091
2026-05-08 00:40:09.031829,2,field,h2,h3,0.067
2026-05-08 00:40:09.031832,2,field,h2,h3,0.487
2026-05-08 00:40:09.031835,2,field,h2,h3,0.329
2026-05-08 00:40:09.031838,2,field,h2,h3,0.069
2026-05-08 00:40:09.031841,2,field,h2,h3,0.064
2026-05-08 00:40:09.031844,2,field,h2,h3,0.058
2026-05-08 00:40:09.031848,2,field,h2,h3,0.104
2026-05-08 00:40:09.031851,2,field,h2,h3,0.065
2026-05-08 00:40:09.031854,2,field,h2,h3,0.066
2026-05-08 00:40:29.506928,3,field,h2,h3,0.065
2026-05-08 00:40:29.506970,3,field,h2,h3,0.059
2026-05-08 00:40:29.506978,3,field,h2,h3,0.067
2026-05-08 00:40:29.506981,3,field,h2,h3,0.062
2026-05-08 00:40:29.506984,3,field,h2,h3,0.081
2026-05-08 00:40:29.506988,3,field,h2,h3,0.058
