timestamp,run,layer,source,destination,packet_loss_percent
2026-03-12 08:10:49.485098,1,field,h2,h3,0.0
2026-03-12 08:11:09.927203,2,field,h2,h3,0.0
2026-03-12 08:11:30.466358,3,field,h2,h3,0.0
2026-03-12 08:12:46.484470,4,field,h2,h3,0.0
2026-03-12 08:13:50.179296,5,field,h2,h3,0.0
2026-03-12 08:14:11.964456,1,system,h3,h4,0.0
2026-03-12 08:14:32.702442,2,system,h3,h4,0.0
2026-03-12 08:14:53.316162,3,system,h3,h4,0.0
2026-03-12 08:15:14.253081,4,system,h3,h4,0.0
2026-03-12 08:15:34.823014,5,system,h3,h4,0.0
