timestamp,run,layer,source,destination,latency_ms
2026-03-12 08:10:49.484606,1,field,h2,h3,7.3
2026-03-12 08:10:49.484665,1,field,h2,h3,0.635
2026-03-12 08:10:49.484852,1,field,h2,h3,0.142
2026-03-12 08:10:49.484871,1,field,h2,h3,0.277
2026-03-12 08:10:49.484883,1,field,h2,h3,0.121
2026-03-12 08:10:49.484895,1,field,h2,h3,0.129
2026-03-12 08:10:49.484908,1,field,h2,h3,0.109
2026-03-12 08:10:49.484920,1,field,h2,h3,0.172
2026-03-12 08:10:49.484930,1,field,h2,h3,0.129
2026-03-12 08:10:49.484941,1,field,h2,h3,0.107
2026-03-12 08:10:49.484953,1,field,h2,h3,0.107
2026-03-12 08:10:49.484963,1,field,h2,h3,0.173
2026-03-12 08:10:49.484976,1,field,h2,h3,0.143
2026-03-12 08:10:49.484989,1,field,h2,h3,0.117
2026-03-12 08:10:49.485001,1,field,h2,h3,0.118
2026-03-12 08:10:49.485014,1,field,h2,h3,0.117
2026-03-12 08:10:49.485028,1,field,h2,h3,0.136
2026-03-12 08:10:49.485043,1,field,h2,h3,0.176
2026-03-12 08:10:49.485057,1,field,h2,h3,0.129
2026-03-12 08:10:49.485070,1,field,h2,h3,0.136
2026-03-12 08:11:09.926872,2,field,h2,h3,0.132
2026-03-12 08:11:09.926927,2,field,h2,h3,0.161
2026-03-12 08:11:09.926944,2,field,h2,h3,0.106
2026-03-12 08:11:09.926957,2,field,h2,h3,0.234
2026-03-12 08:11:09.926968,2,field,h2,h3,0.128
2026-03-12 08:11:09.926983,2,field,h2,h3,0.165
2026-03-12 08:11:09.926998,2,field,h2,h3,0.139
2026-03-12 08:11:09.927010,2,field,h2,h3,0.144
2026-03-12 08:11:09.927023,2,field,h2,h3,0.18
2026-03-12 08:11:09.927035,2,field,h2,h3,0.114
2026-03-12 08:11:09.927048,2,field,h2,h3,0.199
2026-03-12 08:11:09.927060,2,field,h2,h3,0.107
2026-03-12 08:11:09.927073,2,field,h2,h3,0.141
2026-03-12 08:11:09.927087,2,field,h2,h3,0.083
2026-03-12 08:11:09.927100,2,field,h2,h3,0.129
2026-03-12 08:11:09.927115,2,field,h2,h3,0.245
2026-03-12 08:11:09.927130,2,field,h2,h3,0.159
2026-03-12 08:11:09.927146,2,field,h2,h3,0.132
2026-03-12 08:11:09.927161,2,field,h2,h3,0.158
2026-03-12 08:11:09.927175,2,field,h2,h3,0.159
2026-03-12 08:11:30.466182,3,field,h2,h3,0.124
2026-03-12 08:11:30.466221,3,field,h2,h3,0.153
2026-03-12 08:11:30.466231,3,field,h2,h3,0.143
2026-03-12 08:11:30.466238,3,field,h2,h3,0.119
2026-03-12 08:11:30.466244,3,field,h2,h3,0.163
2026-03-12 08:11:30.466251,3,field,h2,h3,0.124
2026-03-12 08:11:30.466257,3,field,h2,h3,0.127
2026-03-12 08:11:30.466265,3,field,h2,h3,0.19
2026-03-12 08:11:30.466272,3,field,h2,h3,0.126
2026-03-12 08:11:30.466279,3,field,h2,h3,0.16
2026-03-12 08:11:30.466285,3,field,h2,h3,0.145
2026-03-12 08:11:30.466291,3,field,h2,h3,0.142
2026-03-12 08:11:30.466297,3,field,h2,h3,0.144
2026-03-12 08:11:30.466303,3,field,h2,h3,0.198
2026-03-12 08:11:30.466309,3,field,h2,h3,0.105
2026-03-12 08:11:30.466316,3,field,h2,h3,0.144
2026-03-12 08:11:30.466322,3,field,h2,h3,0.121
2026-03-12 08:11:30.466328,3,field,h2,h3,0.151
2026-03-12 08:11:30.466334,3,field,h2,h3,0.169
2026-03-12 08:11:30.466342,3,field,h2,h3,0.111
2026-03-12 08:12:46.484171,4,field,h2,h3,0.164
2026-03-12 08:12:46.484219,4,field,h2,h3,0.11
2026-03-12 08:12:46.484238,4,field,h2,h3,0.147
2026-03-12 08:12:46.484256,4,field,h2,h3,0.11
2026-03-12 08:12:46.484269,4,field,h2,h3,0.164
2026-03-12 08:12:46.484282,4,field,h2,h3,0.117
2026-03-12 08:12:46.484295,4,field,h2,h3,0.121
2026-03-12 08:12:46.484307,4,field,h2,h3,0.143
2026-03-12 08:12:46.484321,4,field,h2,h3,0.153
2026-03-12 08:12:46.484342,4,field,h2,h3,0.148
2026-03-12 08:12:46.484359,4,field,h2,h3,0.163
2026-03-12 08:12:46.484373,4,field,h2,h3,0.126
2026-03-12 08:12:46.484385,4,field,h2,h3,0.129
