timestamp,run,layer,source,destination,packet_loss_percent
2026-03-12 08:07:01.506186,1,field,h2,h3,0.0
2026-03-12 08:07:22.051466,2,field,h2,h3,0.0
2026-03-12 08:07:42.499643,3,field,h2,h3,0.0
2026-03-12 08:08:02.959510,4,field,h2,h3,0.0
2026-03-12 08:08:23.428693,5,field,h2,h3,0.0
2026-03-12 08:08:43.816106,1,system,h3,h4,0.0
2026-03-12 08:09:04.294924,2,system,h3,h4,0.0
2026-03-12 08:09:24.775395,3,system,h3,h4,0.0
2026-03-12 08:09:45.251253,4,system,h3,h4,0.0
2026-03-12 08:10:05.699779,5,system,h3,h4,0.0
