timestamp,run,layer,source,destination,throughput_Mbps
2026-04-15 10:54:18.177498,1,field,h2,h3,5.01
2026-04-15 10:54:26.421376,2,field,h2,h3,4.98
2026-04-15 10:54:33.551152,3,field,h2,h3,4.98
2026-04-15 10:54:40.796999,4,field,h2,h3,5.08
2026-04-15 10:54:48.038671,5,field,h2,h3,5.07
2026-04-15 10:54:55.284711,1,system,h3,h4,5.08
2026-04-15 10:55:02.481395,2,system,h3,h4,5.15
2026-04-15 10:55:10.044932,3,system,h3,h4,5.03
2026-04-15 10:55:17.433866,4,system,h3,h4,5.03
2026-04-15 10:55:25.421728,5,system,h3,h4,5.07
