timestamp,run,layer,source,destination,throughput_Mbps
2026-04-15 15:57:45.765481,1,field,h2,h3,4.79
2026-04-15 15:57:53.847065,2,field,h2,h3,1.17
2026-04-15 15:58:01.188612,3,field,h2,h3,4.99
2026-04-15 15:58:09.209245,4,field,h2,h3,2.44
2026-04-15 15:58:20.241811,5,field,h2,h3,3.23
2026-04-15 15:58:27.478652,1,system,h3,h4,4.49
2026-04-15 15:58:35.204532,2,system,h3,h4,4.73
2026-04-15 15:58:42.381619,3,system,h3,h4,5.0
2026-04-15 15:58:49.560993,4,system,h3,h4,3.9
2026-04-15 15:58:56.887328,5,system,h3,h4,4.79
