timestamp,run,layer,source,destination,throughput_Mbps
2026-04-15 15:53:10.157337,1,field,h2,h3,3.93
2026-04-15 15:53:17.640296,2,field,h2,h3,3.68
2026-04-15 15:53:24.939882,3,field,h2,h3,3.82
2026-04-15 15:53:32.345373,4,field,h2,h3,3.93
2026-04-15 15:53:39.577466,5,field,h2,h3,3.66
2026-04-15 15:53:46.711282,1,system,h3,h4,4.98
2026-04-15 15:53:53.861552,2,system,h3,h4,4.76
2026-04-15 15:54:01.206951,3,system,h3,h4,4.78
2026-04-15 15:54:09.207054,4,system,h3,h4,4.72
2026-04-15 15:54:16.348706,5,system,h3,h4,4.95
