timestamp,run,layer,source,destination,latency_ms
2026-04-17 04:34:39.563477,1,field,h2,h3,4.92
2026-04-17 04:34:39.563508,1,field,h2,h3,0.967
2026-04-17 04:34:39.563515,1,field,h2,h3,0.146
2026-04-17 04:34:39.563520,1,field,h2,h3,0.081
2026-04-17 04:34:39.563524,1,field,h2,h3,0.11
2026-04-17 04:34:39.563529,1,field,h2,h3,0.113
2026-04-17 04:34:39.563533,1,field,h2,h3,0.114
2026-04-17 04:34:39.563537,1,field,h2,h3,0.087
2026-04-17 04:34:39.563541,1,field,h2,h3,0.102
2026-04-17 04:34:39.563545,1,field,h2,h3,0.109
2026-04-17 04:34:39.563550,1,field,h2,h3,0.109
2026-04-17 04:34:39.563554,1,field,h2,h3,0.091
2026-04-17 04:34:39.563558,1,field,h2,h3,0.124
2026-04-17 04:34:39.563562,1,field,h2,h3,0.044
2026-04-17 04:34:39.563566,1,field,h2,h3,0.106
2026-04-17 04:34:39.563570,1,field,h2,h3,0.125
2026-04-17 04:34:39.563577,1,field,h2,h3,0.102
2026-04-17 04:34:39.563582,1,field,h2,h3,0.106
2026-04-17 04:34:39.563586,1,field,h2,h3,0.106
2026-04-17 04:34:39.563590,1,field,h2,h3,0.11
2026-04-17 04:35:00.043389,1,system,h3,h4,4.61
2026-04-17 04:35:00.043421,1,system,h3,h4,0.561
2026-04-17 04:35:00.043429,1,system,h3,h4,0.102
2026-04-17 04:35:00.043433,1,system,h3,h4,0.114
2026-04-17 04:35:00.043438,1,system,h3,h4,0.097
2026-04-17 04:35:00.043442,1,system,h3,h4,0.132
2026-04-17 04:35:00.043446,1,system,h3,h4,0.385
2026-04-17 04:35:00.043451,1,system,h3,h4,0.103
2026-04-17 04:35:00.043455,1,system,h3,h4,0.369
2026-04-17 04:35:00.043459,1,system,h3,h4,0.1
2026-04-17 04:35:00.043464,1,system,h3,h4,0.111
2026-04-17 04:35:00.043468,1,system,h3,h4,0.092
2026-04-17 04:35:00.043472,1,system,h3,h4,0.131
2026-04-17 04:35:00.043476,1,system,h3,h4,0.104
2026-04-17 04:35:00.043480,1,system,h3,h4,0.112
2026-04-17 04:35:00.043484,1,system,h3,h4,0.122
2026-04-17 04:35:00.043488,1,system,h3,h4,0.103
2026-04-17 04:35:00.043493,1,system,h3,h4,0.106
2026-04-17 04:35:00.043497,1,system,h3,h4,0.108
2026-04-17 04:35:00.043501,1,system,h3,h4,0.122
