timestamp_b,waktu,bus,v_berfore_b,v_after_b,i_before_b,i_after_b,v_dt_b,timestamp_m,v_berfore_m,v_after_m,i_before_m,i_after_m,v_dt_m,delta_i_m,delta_i_b,abs_delta_i_m,abs_delta_i_b,drift_v_dt,abs_drift_v_dt,pct_i_inj_m,pct_v_dt_vs_b
2026-05-12 23:43:38,3,1,0.971,0.971,319.62069,319.62069,1.049345,2026-05-12 23:23:25,0.971,0.971,319.62069,319.62069,1.049345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 23:43:38,3,2,0.952,0.952,184.344828,184.344828,1.0492,2026-05-12 23:23:25,0.952,0.952,184.344828,184.344828,1.0492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 23:43:38,3,3,1.014,1.014,323.206897,323.206897,1.040575,2026-05-12 23:23:25,1.014,1.014,323.206897,323.206897,1.040575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 23:43:38,3,4,0.972,0.972,357.551724,357.551724,1.03902,2026-05-12 23:23:25,0.972,0.972,357.551724,357.551724,1.03902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 23:43:38,3,5,1.03,1.03,88.206897,88.206897,1.040787,2026-05-12 23:23:25,1.03,1.03,88.206897,88.206897,1.040787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 23:43:42,4,1,1.03,1.03,383.793103,383.793103,1.047385,2026-05-12 23:23:29,1.03,1.03,383.793103,1545.310345,1.047385,1161.5172420000001,0.0,1161.5172420000001,0.0,0.0,0.0,302.64150916062323,0.0
2026-05-12 23:43:42,4,2,0.984,0.984,159.068966,159.068966,1.048768,2026-05-12 23:23:29,0.984,0.984,159.068966,1554.068966,1.048768,1395.0,0.0,1395.0,0.0,0.0,0.0,876.978097179697,0.0
2026-05-12 23:43:42,4,3,1.045,1.045,225.965517,225.965517,1.040825,2026-05-12 23:23:29,1.045,1.045,225.965517,1671.37931,1.040825,1445.413793,0.0,1445.413793,0.0,0.0,0.0,639.6612216736538,0.0
2026-05-12 23:43:42,4,4,0.959,0.959,136.172414,136.172414,1.039282,2026-05-12 23:23:29,0.959,0.959,136.172414,136.172414,1.039282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12 23:43:42,4,5,1.034,1.034,342.034483,342.034483,1.041204,2026-05-12 23:23:29,1.034,1.034,342.034483,342.034483,1.041204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
