timestamp,run,layer,source,destination,latency_ms
2026-05-09 22:53:42.557236,1,field,h2,h3,5.51
2026-05-09 22:53:42.557277,1,field,h2,h3,0.618
2026-05-09 22:53:42.557288,1,field,h2,h3,0.153
2026-05-09 22:53:42.557296,1,field,h2,h3,0.185
2026-05-09 22:53:42.557302,1,field,h2,h3,0.149
2026-05-09 22:53:42.557312,1,field,h2,h3,0.155
2026-05-09 22:53:42.557319,1,field,h2,h3,0.116
2026-05-09 22:53:42.557328,1,field,h2,h3,0.124
2026-05-09 22:53:42.557335,1,field,h2,h3,0.327
2026-05-09 22:53:42.557342,1,field,h2,h3,0.156
2026-05-09 22:53:42.557349,1,field,h2,h3,0.172
2026-05-09 22:53:42.557356,1,field,h2,h3,0.139
2026-05-09 22:53:42.557362,1,field,h2,h3,0.162
2026-05-09 22:53:42.557369,1,field,h2,h3,0.15
2026-05-09 22:53:42.557376,1,field,h2,h3,0.159
2026-05-09 22:53:42.557382,1,field,h2,h3,0.147
2026-05-09 22:53:42.557389,1,field,h2,h3,0.194
2026-05-09 22:53:42.557396,1,field,h2,h3,0.185
2026-05-09 22:53:42.557402,1,field,h2,h3,0.153
2026-05-09 22:53:42.557409,1,field,h2,h3,0.141
2026-05-09 22:54:03.007460,2,field,h2,h3,0.92
2026-05-09 22:54:03.007500,2,field,h2,h3,0.149
2026-05-09 22:54:03.007510,2,field,h2,h3,0.178
2026-05-09 22:54:03.007518,2,field,h2,h3,0.144
2026-05-09 22:54:03.007525,2,field,h2,h3,0.144
2026-05-09 22:54:03.007532,2,field,h2,h3,0.15
2026-05-09 22:54:03.007539,2,field,h2,h3,0.142
2026-05-09 22:54:03.007547,2,field,h2,h3,0.132
2026-05-09 22:54:03.007553,2,field,h2,h3,0.141
2026-05-09 22:54:03.007560,2,field,h2,h3,0.238
2026-05-09 22:54:03.007567,2,field,h2,h3,0.174
2026-05-09 22:54:03.007573,2,field,h2,h3,0.168
2026-05-09 22:54:03.007579,2,field,h2,h3,0.139
2026-05-09 22:54:03.007586,2,field,h2,h3,0.14
2026-05-09 22:54:03.007592,2,field,h2,h3,0.134
2026-05-09 22:54:03.007599,2,field,h2,h3,0.126
2026-05-09 22:54:03.007606,2,field,h2,h3,0.155
2026-05-09 22:54:03.007613,2,field,h2,h3,0.138
2026-05-09 22:54:03.007620,2,field,h2,h3,0.461
2026-05-09 22:54:03.007626,2,field,h2,h3,0.205
2026-05-09 22:54:23.452141,3,field,h2,h3,0.108
2026-05-09 22:54:23.452395,3,field,h2,h3,0.176
2026-05-09 22:54:23.452420,3,field,h2,h3,0.152
2026-05-09 22:54:23.452436,3,field,h2,h3,0.127
2026-05-09 22:54:23.452451,3,field,h2,h3,0.204
2026-05-09 22:54:23.452464,3,field,h2,h3,0.19
2026-05-09 22:54:23.452478,3,field,h2,h3,0.147
2026-05-09 22:54:23.452494,3,field,h2,h3,0.175
2026-05-09 22:54:23.452693,3,field,h2,h3,0.092
2026-05-09 22:54:23.452719,3,field,h2,h3,0.134
2026-05-09 22:54:23.452734,3,field,h2,h3,0.117
2026-05-09 22:54:23.452749,3,field,h2,h3,0.213
2026-05-09 22:54:23.452765,3,field,h2,h3,0.103
2026-05-09 22:54:23.452783,3,field,h2,h3,0.178
2026-05-09 22:54:23.452795,3,field,h2,h3,0.183
2026-05-09 22:54:23.452806,3,field,h2,h3,0.154
2026-05-09 22:54:23.452820,3,field,h2,h3,0.141
2026-05-09 22:54:23.452836,3,field,h2,h3,0.132
2026-05-09 22:54:23.452852,3,field,h2,h3,0.16
2026-05-09 22:54:23.452865,3,field,h2,h3,0.165
2026-05-09 22:54:43.901220,1,system,h3,h4,6.76
2026-05-09 22:54:43.901275,1,system,h3,h4,0.658
2026-05-09 22:54:43.901297,1,system,h3,h4,0.159
2026-05-09 22:54:43.901316,1,system,h3,h4,0.514
2026-05-09 22:54:43.901333,1,system,h3,h4,0.131
2026-05-09 22:54:43.901349,1,system,h3,h4,0.14
2026-05-09 22:54:43.901363,1,system,h3,h4,0.19
2026-05-09 22:54:43.901380,1,system,h3,h4,0.197
2026-05-09 22:54:43.901398,1,system,h3,h4,0.173
2026-05-09 22:54:43.901414,1,system,h3,h4,0.125
2026-05-09 22:54:43.901429,1,system,h3,h4,0.145
2026-05-09 22:54:43.901444,1,system,h3,h4,0.467
2026-05-09 22:54:43.901462,1,system,h3,h4,0.162
2026-05-09 22:54:43.901478,1,system,h3,h4,0.132
2026-05-09 22:54:43.901491,1,system,h3,h4,0.152
2026-05-09 22:54:43.901508,1,system,h3,h4,0.107
2026-05-09 22:54:43.901526,1,system,h3,h4,0.159
2026-05-09 22:54:43.901543,1,system,h3,h4,0.141
2026-05-09 22:54:43.901556,1,system,h3,h4,0.147
2026-05-09 22:54:43.901571,1,system,h3,h4,0.109
2026-05-09 22:55:04.380186,2,system,h3,h4,0.608
2026-05-09 22:55:04.380244,2,system,h3,h4,0.168
2026-05-09 22:55:04.380263,2,system,h3,h4,0.14
2026-05-09 22:55:04.380289,2,system,h3,h4,0.161
2026-05-09 22:55:04.380307,2,system,h3,h4,0.18
2026-05-09 22:55:04.380325,2,system,h3,h4,0.147
2026-05-09 22:55:04.380340,2,system,h3,h4,0.171
2026-05-09 22:55:04.380352,2,system,h3,h4,0.157
2026-05-09 22:55:04.380366,2,system,h3,h4,0.169
2026-05-09 22:55:04.380381,2,system,h3,h4,0.153
2026-05-09 22:55:04.380396,2,system,h3,h4,0.141
2026-05-09 22:55:04.380414,2,system,h3,h4,0.149
2026-05-09 22:55:04.380426,2,system,h3,h4,0.226
2026-05-09 22:55:04.380434,2,system,h3,h4,0.186
2026-05-09 22:55:04.380441,2,system,h3,h4,0.133
2026-05-09 22:55:04.380448,2,system,h3,h4,0.174
2026-05-09 22:55:04.380455,2,system,h3,h4,0.131
2026-05-09 22:55:04.380461,2,system,h3,h4,0.139
2026-05-09 22:55:04.380468,2,system,h3,h4,0.216
2026-05-09 22:55:04.380474,2,system,h3,h4,0.136
2026-05-09 22:55:24.831328,3,system,h3,h4,0.952
2026-05-09 22:55:24.831405,3,system,h3,h4,0.133
2026-05-09 22:55:24.831416,3,system,h3,h4,0.143
2026-05-09 22:55:24.831423,3,system,h3,h4,0.177
2026-05-09 22:55:24.831430,3,system,h3,h4,0.137
2026-05-09 22:55:24.831437,3,system,h3,h4,0.15
2026-05-09 22:55:24.831444,3,system,h3,h4,0.151
2026-05-09 22:55:24.831451,3,system,h3,h4,0.135
2026-05-09 22:55:24.831458,3,system,h3,h4,0.181
2026-05-09 22:55:24.831466,3,system,h3,h4,0.18
2026-05-09 22:55:24.831473,3,system,h3,h4,0.165
2026-05-09 22:55:24.831479,3,system,h3,h4,0.131
2026-05-09 22:55:24.831486,3,system,h3,h4,0.166
2026-05-09 22:55:24.831492,3,system,h3,h4,0.139
2026-05-09 22:55:24.831498,3,system,h3,h4,0.255
2026-05-09 22:55:24.831505,3,system,h3,h4,0.173
2026-05-09 22:55:24.831511,3,system,h3,h4,0.183
2026-05-09 22:55:24.831517,3,system,h3,h4,0.144
2026-05-09 22:55:24.831523,3,system,h3,h4,0.14
2026-05-09 22:55:24.831530,3,system,h3,h4,0.158
