timestamp,run,fase,layer,source,destination,latency_ms
2026-05-12 23:12:25.726927,1,normal,field,h2,h3,3.47
2026-05-12 23:12:25.726956,1,normal,field,h2,h3,1.52
2026-05-12 23:12:25.726961,1,normal,field,h2,h3,0.286
2026-05-12 23:12:25.726965,1,normal,field,h2,h3,0.213
2026-05-12 23:12:25.726969,1,normal,field,h2,h3,0.111
2026-05-12 23:12:25.726972,1,normal,field,h2,h3,0.132
2026-05-12 23:12:25.726975,1,normal,field,h2,h3,0.127
2026-05-12 23:12:25.726979,1,normal,field,h2,h3,0.116
2026-05-12 23:12:25.726982,1,normal,field,h2,h3,0.274
2026-05-12 23:12:25.726985,1,normal,field,h2,h3,0.112
2026-05-12 23:12:25.726988,1,normal,field,h2,h3,0.815
2026-05-12 23:12:25.726991,1,normal,field,h2,h3,0.105
2026-05-12 23:12:25.726995,1,normal,field,h2,h3,0.096
2026-05-12 23:12:25.726998,1,normal,field,h2,h3,0.76
2026-05-12 23:12:25.727001,1,normal,field,h2,h3,0.1
2026-05-12 23:12:25.727004,1,normal,field,h2,h3,0.277
2026-05-12 23:12:25.727007,1,normal,field,h2,h3,0.098
2026-05-12 23:12:25.727010,1,normal,field,h2,h3,0.185
2026-05-12 23:12:25.727013,1,normal,field,h2,h3,0.133
2026-05-12 23:12:25.727016,1,normal,field,h2,h3,0.096
2026-05-12 23:12:46.665545,2,normal,field,h2,h3,0.093
2026-05-12 23:12:46.665579,2,normal,field,h2,h3,0.102
2026-05-12 23:12:46.665586,2,normal,field,h2,h3,0.338
2026-05-12 23:12:46.665591,2,normal,field,h2,h3,0.122
2026-05-12 23:12:46.665595,2,normal,field,h2,h3,0.11
2026-05-12 23:12:46.665600,2,normal,field,h2,h3,0.126
2026-05-12 23:12:46.665605,2,normal,field,h2,h3,0.1
2026-05-12 23:12:46.665609,2,normal,field,h2,h3,0.217
2026-05-12 23:12:46.665614,2,normal,field,h2,h3,0.1
2026-05-12 23:12:46.665618,2,normal,field,h2,h3,0.101
2026-05-12 23:12:46.665622,2,normal,field,h2,h3,0.106
