timestamp,run,layer,source,destination,packet_loss_percent
2026-04-15 10:34:31.097823,1,field,h2,h3,0.0
2026-04-15 10:34:51.605797,2,field,h2,h3,0.0
2026-04-15 10:35:12.153985,3,field,h2,h3,0.0
2026-04-15 10:35:32.951104,4,field,h2,h3,0.0
2026-04-15 10:35:53.757348,5,field,h2,h3,0.0
2026-04-15 10:36:14.471971,1,system,h3,h4,0.0
2026-04-15 10:36:35.399968,2,system,h3,h4,0.0
2026-04-15 10:36:56.249869,3,system,h3,h4,0.0
2026-04-15 10:37:17.046071,4,system,h3,h4,0.0
2026-04-15 10:37:37.621288,5,system,h3,h4,0.0
