timestamp,run,layer,source,destination,latency_ms
2026-03-05 12:39:30.524770,1,field,h2,h3,12.8
2026-03-05 12:39:30.524922,1,field,h2,h3,5.8
2026-03-05 12:39:30.525007,1,field,h2,h3,0.511
2026-03-05 12:39:30.525018,1,field,h2,h3,0.122
2026-03-05 12:39:30.525025,1,field,h2,h3,0.144
2026-03-05 12:39:30.525032,1,field,h2,h3,0.17
2026-03-05 12:39:30.525043,1,field,h2,h3,0.126
2026-03-05 12:39:30.525058,1,field,h2,h3,0.133
2026-03-05 12:39:30.525070,1,field,h2,h3,0.885
2026-03-05 12:39:30.525078,1,field,h2,h3,0.158
2026-03-05 12:39:30.525085,1,field,h2,h3,0.155
2026-03-05 12:39:30.525092,1,field,h2,h3,0.147
2026-03-05 12:39:30.525098,1,field,h2,h3,0.218
2026-03-05 12:39:30.525104,1,field,h2,h3,0.621
2026-03-05 12:39:30.525110,1,field,h2,h3,0.138
2026-03-05 12:39:30.525116,1,field,h2,h3,0.235
2026-03-05 12:39:30.525122,1,field,h2,h3,0.173
2026-03-05 12:39:30.525129,1,field,h2,h3,0.249
2026-03-05 12:39:30.525135,1,field,h2,h3,0.176
2026-03-05 12:39:30.525141,1,field,h2,h3,0.158
2026-03-05 12:39:51.550831,2,field,h2,h3,1.11
2026-03-05 12:39:51.550892,2,field,h2,h3,0.148
2026-03-05 12:39:51.550902,2,field,h2,h3,0.16
2026-03-05 12:39:51.550909,2,field,h2,h3,0.438
2026-03-05 12:39:51.550931,2,field,h2,h3,0.912
2026-03-05 12:39:51.550937,2,field,h2,h3,0.444
2026-03-05 12:39:51.550944,2,field,h2,h3,0.481
2026-03-05 12:39:51.550951,2,field,h2,h3,0.154
2026-03-05 12:39:51.550957,2,field,h2,h3,0.154
2026-03-05 12:39:51.550964,2,field,h2,h3,0.194
2026-03-05 12:39:51.550970,2,field,h2,h3,0.168
2026-03-05 12:39:51.550976,2,field,h2,h3,0.212
2026-03-05 12:39:51.550982,2,field,h2,h3,0.464
2026-03-05 12:39:51.550988,2,field,h2,h3,0.132
2026-03-05 12:39:51.550994,2,field,h2,h3,1.57
2026-03-05 12:39:51.551000,2,field,h2,h3,0.181
2026-03-05 12:39:51.551008,2,field,h2,h3,0.196
2026-03-05 12:39:51.551014,2,field,h2,h3,1.35
2026-03-05 12:39:51.551021,2,field,h2,h3,0.215
2026-03-05 12:39:51.551027,2,field,h2,h3,0.137
2026-03-05 12:40:12.106769,3,field,h2,h3,0.514
2026-03-05 12:40:12.106858,3,field,h2,h3,0.149
2026-03-05 12:40:12.106876,3,field,h2,h3,1.28
2026-03-05 12:40:12.106908,3,field,h2,h3,0.129
2026-03-05 12:40:12.106927,3,field,h2,h3,0.186
2026-03-05 12:40:12.106945,3,field,h2,h3,0.206
2026-03-05 12:40:12.106961,3,field,h2,h3,0.162
2026-03-05 12:40:12.106976,3,field,h2,h3,0.126
2026-03-05 12:40:12.106993,3,field,h2,h3,0.23
2026-03-05 12:40:12.107007,3,field,h2,h3,0.137
2026-03-05 12:40:12.107826,3,field,h2,h3,0.15
2026-03-05 12:40:12.107854,3,field,h2,h3,0.345
2026-03-05 12:40:12.107873,3,field,h2,h3,0.147
2026-03-05 12:40:12.107889,3,field,h2,h3,0.231
2026-03-05 12:40:12.107899,3,field,h2,h3,0.186
2026-03-05 12:40:12.107906,3,field,h2,h3,0.606
2026-03-05 12:40:12.107913,3,field,h2,h3,0.191
2026-03-05 12:40:12.107919,3,field,h2,h3,0.208
2026-03-05 12:40:12.107925,3,field,h2,h3,0.146
2026-03-05 12:40:12.107933,3,field,h2,h3,0.198
2026-03-05 12:40:33.220429,4,field,h2,h3,0.139
2026-03-05 12:40:33.220489,4,field,h2,h3,0.192
2026-03-05 12:40:33.220511,4,field,h2,h3,0.351
2026-03-05 12:40:33.220528,4,field,h2,h3,0.405
2026-03-05 12:40:33.220543,4,field,h2,h3,0.178
2026-03-05 12:40:33.220576,4,field,h2,h3,0.161
2026-03-05 12:40:33.220594,4,field,h2,h3,0.196
2026-03-05 12:40:33.220607,4,field,h2,h3,0.221
2026-03-05 12:40:33.220618,4,field,h2,h3,0.424
2026-03-05 12:40:33.220633,4,field,h2,h3,0.154
2026-03-05 12:40:33.220648,4,field,h2,h3,0.163
2026-03-05 12:40:33.220663,4,field,h2,h3,0.123
2026-03-05 12:40:33.220675,4,field,h2,h3,0.183
2026-03-05 12:40:33.220686,4,field,h2,h3,0.14
2026-03-05 12:40:33.220694,4,field,h2,h3,0.605
2026-03-05 12:40:33.220701,4,field,h2,h3,0.188
2026-03-05 12:40:33.220707,4,field,h2,h3,0.147
2026-03-05 12:40:33.220713,4,field,h2,h3,0.179
2026-03-05 12:40:33.220719,4,field,h2,h3,0.177
2026-03-05 12:40:33.220726,4,field,h2,h3,0.51
2026-03-05 12:40:54.543611,5,field,h2,h3,0.171
