timestamp,run,layer,source,destination,throughput_Mbps
2026-04-15 10:37:44.822701,1,field,h2,h3,5.13
2026-04-15 10:37:52.084981,2,field,h2,h3,5.05
2026-04-15 10:37:59.350827,3,field,h2,h3,4.85
2026-04-15 10:38:06.570654,4,field,h2,h3,5.09
2026-04-15 10:38:13.666151,5,field,h2,h3,5.01
2026-04-15 10:38:20.868291,1,system,h3,h4,5.16
2026-04-15 10:38:28.159495,2,system,h3,h4,5.04
2026-04-15 10:38:35.275397,3,system,h3,h4,5.0
2026-04-15 10:38:42.441357,4,system,h3,h4,5.15
2026-04-15 10:38:50.281044,5,system,h3,h4,4.94
