timestamp,run,fase,layer,source,destination,latency_ms
2026-05-12 22:22:28.958661,1,dos_light,field,h2,h3,3.42
2026-05-12 22:22:28.958689,1,dos_light,field,h2,h3,0.22
2026-05-12 22:22:28.958695,1,dos_light,field,h2,h3,0.07
2026-05-12 22:22:28.958699,1,dos_light,field,h2,h3,0.063
2026-05-12 22:22:28.958702,1,dos_light,field,h2,h3,0.066
2026-05-12 22:22:28.958705,1,dos_light,field,h2,h3,0.057
2026-05-12 22:22:28.958709,1,dos_light,field,h2,h3,0.059
2026-05-12 22:22:28.958712,1,dos_light,field,h2,h3,0.066
2026-05-12 22:22:28.958715,1,dos_light,field,h2,h3,0.063
2026-05-12 22:22:28.958718,1,dos_light,field,h2,h3,0.063
2026-05-12 22:22:28.958722,1,dos_light,field,h2,h3,0.072
2026-05-12 22:22:28.958725,1,dos_light,field,h2,h3,0.066
2026-05-12 22:22:28.958728,1,dos_light,field,h2,h3,0.077
2026-05-12 22:22:28.958731,1,dos_light,field,h2,h3,0.067
2026-05-12 22:22:28.958734,1,dos_light,field,h2,h3,0.185
2026-05-12 22:22:28.958737,1,dos_light,field,h2,h3,0.073
2026-05-12 22:22:28.958740,1,dos_light,field,h2,h3,0.073
2026-05-12 22:22:28.958743,1,dos_light,field,h2,h3,0.069
2026-05-12 22:22:28.958746,1,dos_light,field,h2,h3,0.057
2026-05-12 22:22:28.958749,1,dos_light,field,h2,h3,0.063
2026-05-12 22:22:49.282271,2,dos_light,field,h2,h3,0.06
2026-05-12 22:22:49.282299,2,dos_light,field,h2,h3,0.095
2026-05-12 22:22:49.282304,2,dos_light,field,h2,h3,0.078
2026-05-12 22:22:49.282307,2,dos_light,field,h2,h3,0.066
2026-05-12 22:22:49.282311,2,dos_light,field,h2,h3,2.19
2026-05-12 22:22:49.282314,2,dos_light,field,h2,h3,0.979
2026-05-12 22:22:49.282318,2,dos_light,field,h2,h3,0.073
2026-05-12 22:22:49.282322,2,dos_light,field,h2,h3,0.065
2026-05-12 22:22:49.282325,2,dos_light,field,h2,h3,0.061
2026-05-12 22:22:49.282328,2,dos_light,field,h2,h3,1.06
2026-05-12 22:22:49.282331,2,dos_light,field,h2,h3,0.073
2026-05-12 22:22:49.282334,2,dos_light,field,h2,h3,0.082
2026-05-12 22:22:49.282337,2,dos_light,field,h2,h3,0.062
2026-05-12 22:22:49.282340,2,dos_light,field,h2,h3,1.18
2026-05-12 22:22:49.282344,2,dos_light,field,h2,h3,0.058
2026-05-12 22:22:49.282346,2,dos_light,field,h2,h3,0.065
2026-05-12 22:22:49.282350,2,dos_light,field,h2,h3,0.154
2026-05-12 22:22:49.282354,2,dos_light,field,h2,h3,0.059
2026-05-12 22:22:49.282357,2,dos_light,field,h2,h3,0.073
2026-05-12 22:22:49.282360,2,dos_light,field,h2,h3,0.076
2026-05-12 22:23:09.726559,3,dos_light,field,h2,h3,0.063
2026-05-12 22:23:09.726588,3,dos_light,field,h2,h3,0.059
2026-05-12 22:23:09.726594,3,dos_light,field,h2,h3,0.069
2026-05-12 22:23:09.726597,3,dos_light,field,h2,h3,0.063
2026-05-12 22:23:09.726601,3,dos_light,field,h2,h3,0.071
2026-05-12 22:23:09.726604,3,dos_light,field,h2,h3,0.059
2026-05-12 22:23:09.726607,3,dos_light,field,h2,h3,0.147
2026-05-12 22:23:09.726611,3,dos_light,field,h2,h3,0.083
2026-05-12 22:23:09.726614,3,dos_light,field,h2,h3,0.062
2026-05-12 22:23:09.726617,3,dos_light,field,h2,h3,0.063
2026-05-12 22:23:09.726621,3,dos_light,field,h2,h3,0.094
2026-05-12 22:23:09.726624,3,dos_light,field,h2,h3,0.064
2026-05-12 22:23:09.726627,3,dos_light,field,h2,h3,0.068
2026-05-12 22:23:09.726630,3,dos_light,field,h2,h3,0.061
2026-05-12 22:23:09.726633,3,dos_light,field,h2,h3,0.06
2026-05-12 22:23:09.726637,3,dos_light,field,h2,h3,0.062
2026-05-12 22:23:09.726640,3,dos_light,field,h2,h3,0.242
2026-05-12 22:23:09.726643,3,dos_light,field,h2,h3,0.124
2026-05-12 22:23:09.726646,3,dos_light,field,h2,h3,0.191
2026-05-12 22:23:09.726650,3,dos_light,field,h2,h3,0.062
2026-05-12 22:23:30.174326,1,dos_light,system,h3,h4,4.13
2026-05-12 22:23:30.174382,1,dos_light,system,h3,h4,0.492
2026-05-12 22:23:30.174389,1,dos_light,system,h3,h4,0.075
2026-05-12 22:23:30.174393,1,dos_light,system,h3,h4,0.061
2026-05-12 22:23:30.174396,1,dos_light,system,h3,h4,0.061
2026-05-12 22:23:30.174399,1,dos_light,system,h3,h4,0.093
2026-05-12 22:23:30.174403,1,dos_light,system,h3,h4,0.148
2026-05-12 22:23:30.174406,1,dos_light,system,h3,h4,0.064
2026-05-12 22:23:30.174409,1,dos_light,system,h3,h4,0.077
2026-05-12 22:23:30.174413,1,dos_light,system,h3,h4,0.07
2026-05-12 22:23:30.174416,1,dos_light,system,h3,h4,0.076
2026-05-12 22:23:30.174419,1,dos_light,system,h3,h4,0.067
2026-05-12 22:23:30.174422,1,dos_light,system,h3,h4,0.083
2026-05-12 22:23:30.174426,1,dos_light,system,h3,h4,0.073
2026-05-12 22:23:30.174428,1,dos_light,system,h3,h4,0.059
2026-05-12 22:23:30.174432,1,dos_light,system,h3,h4,0.096
2026-05-12 22:23:30.174435,1,dos_light,system,h3,h4,0.062
2026-05-12 22:23:30.174439,1,dos_light,system,h3,h4,0.066
2026-05-12 22:23:30.174442,1,dos_light,system,h3,h4,0.083
2026-05-12 22:23:30.174445,1,dos_light,system,h3,h4,0.066
