probe,t_h2_unix,t_h4_unix,delta_ms,status
39,,1778603803.487182,,MISSING_H2
40,1778603803.350187,1778603807.543267,4193.0799,OK
41,1778603807.372072,1778603811.598804,4226.7320,OK
42,1778603811.392366,1778603815.650891,4258.5251,OK
43,1778603815.412807,1778603819.743648,4330.8411,OK
44,1778603819.434174,1778603823.799214,4365.0398,OK
45,1778603823.460186,1778603827.861353,4401.1669,OK
46,1778603827.484789,1778603831.927729,4442.9400,OK
47,1778603831.519616,1778603835.991010,4471.3941,OK
48,1778603835.543787,1778603840.052529,4508.7421,OK
49,1778603839.564163,1778603844.224566,4660.4030,OK
50,1778603843.588529,1778603848.295808,4707.2790,OK
51,1778603847.609295,1778603852.355115,4745.8200,OK
52,1778603851.632167,1778603856.411153,4778.9860,OK
53,1778603855.652141,,,MISSING_H4
54,1778603859.672214,,,MISSING_H4
