timestamp,run,layer,source,destination,throughput_Mbps
2026-03-05 08:16:24.299447,1,field,h2,h3,4.92
2026-03-05 08:16:31.504329,2,field,h2,h3,4.93
2026-03-05 08:16:38.762624,3,field,h2,h3,5.19
2026-03-05 08:16:47.958504,4,field,h2,h3,5.09
2026-03-05 08:16:55.320795,5,field,h2,h3,4.97
2026-03-05 08:17:02.539405,1,system,h3,h4,4.77
2026-03-05 08:17:09.975714,2,system,h3,h4,5.19
2026-03-05 08:17:17.163091,3,system,h3,h4,5.12
2026-03-05 08:17:24.450040,4,system,h3,h4,5.04
2026-03-05 08:17:31.615441,5,system,h3,h4,5.16
