timestamp,run,layer,source,destination,latency_ms
2026-03-11 13:32:23.730657,1,field,h2,h3,73.7
2026-03-11 13:32:23.730683,1,field,h2,h3,0.295
2026-03-11 13:32:23.730688,1,field,h2,h3,0.136
2026-03-11 13:32:23.730692,1,field,h2,h3,0.058
2026-03-11 13:32:23.730695,1,field,h2,h3,0.058
2026-03-11 13:32:23.730698,1,field,h2,h3,0.048
2026-03-11 13:32:23.730701,1,field,h2,h3,0.057
2026-03-11 13:32:23.730704,1,field,h2,h3,0.051
2026-03-11 13:32:23.730707,1,field,h2,h3,0.06
2026-03-11 13:32:23.730710,1,field,h2,h3,0.048
2026-03-11 13:32:23.730714,1,field,h2,h3,0.062
2026-03-11 13:32:23.730716,1,field,h2,h3,0.056
2026-03-11 13:32:23.730719,1,field,h2,h3,0.064
2026-03-11 13:32:23.730722,1,field,h2,h3,0.057
2026-03-11 13:32:23.730725,1,field,h2,h3,0.05
2026-03-11 13:32:23.730728,1,field,h2,h3,0.055
2026-03-11 13:32:23.730731,1,field,h2,h3,0.876
2026-03-11 13:32:23.730735,1,field,h2,h3,0.051
2026-03-11 13:32:23.730738,1,field,h2,h3,1.74
2026-03-11 13:32:23.730741,1,field,h2,h3,0.064
2026-03-11 13:32:44.232815,2,field,h2,h3,0.061
2026-03-11 13:32:44.232843,2,field,h2,h3,0.521
2026-03-11 13:32:44.232847,2,field,h2,h3,0.048
2026-03-11 13:32:44.232850,2,field,h2,h3,0.062
2026-03-11 13:32:44.232853,2,field,h2,h3,0.257
2026-03-11 13:32:44.232856,2,field,h2,h3,0.291
2026-03-11 13:32:44.232860,2,field,h2,h3,0.094
2026-03-11 13:32:44.232863,2,field,h2,h3,0.16
2026-03-11 13:32:44.232866,2,field,h2,h3,5.41
2026-03-11 13:32:44.232870,2,field,h2,h3,0.108
2026-03-11 13:32:44.232873,2,field,h2,h3,0.115
2026-03-11 13:32:44.232876,2,field,h2,h3,0.226
2026-03-11 13:32:44.232878,2,field,h2,h3,0.049
2026-03-11 13:32:44.232881,2,field,h2,h3,0.26
2026-03-11 13:32:44.232884,2,field,h2,h3,0.049
2026-03-11 13:32:44.232887,2,field,h2,h3,0.051
2026-03-11 13:32:44.232891,2,field,h2,h3,0.306
2026-03-11 13:32:44.232894,2,field,h2,h3,0.051
2026-03-11 13:32:44.232897,2,field,h2,h3,0.475
2026-03-11 13:32:44.232900,2,field,h2,h3,0.161
2026-03-11 13:33:04.968500,3,field,h2,h3,0.062
2026-03-11 13:33:04.968528,3,field,h2,h3,0.446
2026-03-11 13:33:04.968533,3,field,h2,h3,0.048
2026-03-11 13:33:04.968538,3,field,h2,h3,1.17
2026-03-11 13:33:04.968542,3,field,h2,h3,0.049
2026-03-11 13:33:04.968546,3,field,h2,h3,0.575
2026-03-11 13:33:04.968550,3,field,h2,h3,0.05
2026-03-11 13:33:04.968554,3,field,h2,h3,0.047
2026-03-11 13:33:04.968558,3,field,h2,h3,0.299
2026-03-11 13:33:04.968562,3,field,h2,h3,0.13
2026-03-11 13:33:04.968565,3,field,h2,h3,0.231
2026-03-11 13:33:04.968569,3,field,h2,h3,0.203
2026-03-11 13:33:04.968573,3,field,h2,h3,3.68
2026-03-11 13:33:04.968576,3,field,h2,h3,0.048
2026-03-11 13:33:04.968580,3,field,h2,h3,0.207
2026-03-11 13:33:04.968583,3,field,h2,h3,5.1
2026-03-11 13:33:04.968587,3,field,h2,h3,0.047
2026-03-11 13:33:04.968590,3,field,h2,h3,0.051
2026-03-11 13:33:04.968594,3,field,h2,h3,0.326
2026-03-11 13:33:04.968599,3,field,h2,h3,0.052
2026-03-11 13:33:25.384008,4,field,h2,h3,0.06
2026-03-11 13:33:25.384115,4,field,h2,h3,0.219
2026-03-11 13:33:25.384125,4,field,h2,h3,0.052
2026-03-11 13:33:25.384130,4,field,h2,h3,0.229
2026-03-11 13:33:25.384134,4,field,h2,h3,0.041
2026-03-11 13:33:25.384138,4,field,h2,h3,0.048
2026-03-11 13:33:25.384141,4,field,h2,h3,0.215
2026-03-11 13:33:25.384145,4,field,h2,h3,0.05
2026-03-11 13:33:25.384149,4,field,h2,h3,0.314
2026-03-11 13:33:25.384153,4,field,h2,h3,0.052
2026-03-11 13:33:25.384156,4,field,h2,h3,0.372
2026-03-11 13:33:25.384160,4,field,h2,h3,0.059
2026-03-11 13:33:25.384163,4,field,h2,h3,0.111
2026-03-11 13:33:25.384168,4,field,h2,h3,0.051
2026-03-11 13:33:25.384172,4,field,h2,h3,1.08
2026-03-11 13:33:25.384177,4,field,h2,h3,0.051
2026-03-11 13:33:25.384181,4,field,h2,h3,12.9
2026-03-11 13:33:25.384185,4,field,h2,h3,0.05
2026-03-11 13:33:25.384188,4,field,h2,h3,0.048
2026-03-11 13:33:25.384192,4,field,h2,h3,0.048
2026-03-11 13:33:46.092692,5,field,h2,h3,0.054
2026-03-11 13:33:46.092717,5,field,h2,h3,0.06
2026-03-11 13:33:46.092722,5,field,h2,h3,0.054
2026-03-11 13:33:46.092725,5,field,h2,h3,0.045
2026-03-11 13:33:46.092728,5,field,h2,h3,0.06
2026-03-11 13:33:46.092731,5,field,h2,h3,0.853
2026-03-11 13:33:46.092734,5,field,h2,h3,0.049
2026-03-11 13:33:46.092737,5,field,h2,h3,0.056
2026-03-11 13:33:46.092740,5,field,h2,h3,0.053
2026-03-11 13:33:46.092744,5,field,h2,h3,0.058
2026-03-11 13:33:46.092747,5,field,h2,h3,0.05
2026-03-11 13:33:46.092751,5,field,h2,h3,0.092
2026-03-11 13:33:46.092754,5,field,h2,h3,0.063
2026-03-11 13:33:46.092757,5,field,h2,h3,0.047
2026-03-11 13:33:46.092760,5,field,h2,h3,0.049
2026-03-11 13:33:46.092762,5,field,h2,h3,0.061
2026-03-11 13:33:46.092765,5,field,h2,h3,0.216
2026-03-11 13:33:46.092768,5,field,h2,h3,0.055
2026-03-11 13:33:46.092771,5,field,h2,h3,0.05
2026-03-11 13:33:46.092774,5,field,h2,h3,0.051
2026-03-11 13:34:06.760645,1,system,h3,h4,8.45
2026-03-11 13:34:06.760670,1,system,h3,h4,6.19
2026-03-11 13:34:06.760675,1,system,h3,h4,0.433
2026-03-11 13:34:06.760679,1,system,h3,h4,0.194
2026-03-11 13:34:06.760682,1,system,h3,h4,0.198
2026-03-11 13:34:06.760685,1,system,h3,h4,0.266
2026-03-11 13:34:06.760688,1,system,h3,h4,2.34
2026-03-11 13:34:06.760691,1,system,h3,h4,0.047
2026-03-11 13:34:06.760694,1,system,h3,h4,1.45
2026-03-11 13:34:06.760698,1,system,h3,h4,0.114
2026-03-11 13:34:06.760701,1,system,h3,h4,0.184
2026-03-11 13:34:06.760704,1,system,h3,h4,0.051
2026-03-11 13:34:06.760707,1,system,h3,h4,0.232
2026-03-11 13:34:06.760710,1,system,h3,h4,0.049
2026-03-11 13:34:06.760713,1,system,h3,h4,0.411
2026-03-11 13:34:06.760716,1,system,h3,h4,0.049
2026-03-11 13:34:06.760718,1,system,h3,h4,0.199
2026-03-11 13:34:06.760722,1,system,h3,h4,0.056
2026-03-11 13:34:06.760725,1,system,h3,h4,0.423
2026-03-11 13:34:06.760727,1,system,h3,h4,0.181
2026-03-11 13:34:27.468758,2,system,h3,h4,0.116
2026-03-11 13:34:27.468783,2,system,h3,h4,0.049
2026-03-11 13:34:27.468788,2,system,h3,h4,0.052
2026-03-11 13:34:27.468791,2,system,h3,h4,0.201
2026-03-11 13:34:27.468794,2,system,h3,h4,0.172
2026-03-11 13:34:27.468797,2,system,h3,h4,0.053
2026-03-11 13:34:27.468801,2,system,h3,h4,0.243
2026-03-11 13:34:27.468804,2,system,h3,h4,0.07
2026-03-11 13:34:27.468806,2,system,h3,h4,0.588
2026-03-11 13:34:27.468810,2,system,h3,h4,0.071
2026-03-11 13:34:27.468813,2,system,h3,h4,0.309
2026-03-11 13:34:27.468816,2,system,h3,h4,0.049
2026-03-11 13:34:27.468819,2,system,h3,h4,0.16
2026-03-11 13:34:27.468821,2,system,h3,h4,0.048
2026-03-11 13:34:27.468824,2,system,h3,h4,0.055
2026-03-11 13:34:27.468827,2,system,h3,h4,0.64
2026-03-11 13:34:27.468831,2,system,h3,h4,0.051
2026-03-11 13:34:27.468833,2,system,h3,h4,0.358
2026-03-11 13:34:27.468836,2,system,h3,h4,0.049
2026-03-11 13:34:27.468839,2,system,h3,h4,0.401
2026-03-11 13:34:48.428437,3,system,h3,h4,0.066
2026-03-11 13:34:48.428516,3,system,h3,h4,0.047
2026-03-11 13:34:48.428526,3,system,h3,h4,5.54
2026-03-11 13:34:48.428530,3,system,h3,h4,0.046
2026-03-11 13:34:48.428534,3,system,h3,h4,0.045
2026-03-11 13:34:48.428537,3,system,h3,h4,0.355
2026-03-11 13:34:48.428540,3,system,h3,h4,0.108
2026-03-11 13:34:48.428543,3,system,h3,h4,0.403
2026-03-11 13:34:48.428546,3,system,h3,h4,0.054
2026-03-11 13:34:48.428549,3,system,h3,h4,0.285
2026-03-11 13:34:48.428552,3,system,h3,h4,0.047
2026-03-11 13:34:48.428555,3,system,h3,h4,0.324
2026-03-11 13:34:48.428559,3,system,h3,h4,0.047
2026-03-11 13:34:48.428562,3,system,h3,h4,0.285
2026-03-11 13:34:48.428565,3,system,h3,h4,0.048
2026-03-11 13:34:48.428568,3,system,h3,h4,0.208
2026-03-11 13:34:48.428570,3,system,h3,h4,0.048
2026-03-11 13:34:48.428573,3,system,h3,h4,6.23
2026-03-11 13:34:48.428576,3,system,h3,h4,0.044
2026-03-11 13:34:48.428580,3,system,h3,h4,0.439
2026-03-11 13:35:08.968942,4,system,h3,h4,0.09
2026-03-11 13:35:08.968968,4,system,h3,h4,0.054
2026-03-11 13:35:08.968973,4,system,h3,h4,0.252
2026-03-11 13:35:08.968976,4,system,h3,h4,0.051
2026-03-11 13:35:08.968979,4,system,h3,h4,0.049
2026-03-11 13:35:08.968982,4,system,h3,h4,0.128
2026-03-11 13:35:08.968985,4,system,h3,h4,0.051
2026-03-11 13:35:08.968988,4,system,h3,h4,0.051
2026-03-11 13:35:08.968991,4,system,h3,h4,0.052
2026-03-11 13:35:08.969062,4,system,h3,h4,0.055
2026-03-11 13:35:08.969066,4,system,h3,h4,0.053
2026-03-11 13:35:08.969070,4,system,h3,h4,0.05
2026-03-11 13:35:08.969073,4,system,h3,h4,0.053
2026-03-11 13:35:08.969077,4,system,h3,h4,0.047
2026-03-11 13:35:08.969080,4,system,h3,h4,0.049
2026-03-11 13:35:08.969083,4,system,h3,h4,0.048
2026-03-11 13:35:08.969086,4,system,h3,h4,0.477
2026-03-11 13:35:08.969089,4,system,h3,h4,0.047
2026-03-11 13:35:08.969092,4,system,h3,h4,0.048
2026-03-11 13:35:08.969096,4,system,h3,h4,0.053
2026-03-11 13:35:29.449014,5,system,h3,h4,0.063
2026-03-11 13:35:29.449041,5,system,h3,h4,0.079
2026-03-11 13:35:29.449046,5,system,h3,h4,0.054
2026-03-11 13:35:29.449049,5,system,h3,h4,0.061
2026-03-11 13:35:29.449052,5,system,h3,h4,0.141
2026-03-11 13:35:29.449055,5,system,h3,h4,0.063
2026-03-11 13:35:29.449058,5,system,h3,h4,0.063
2026-03-11 13:35:29.449061,5,system,h3,h4,0.064
2026-03-11 13:35:29.449064,5,system,h3,h4,0.057
2026-03-11 13:35:29.449068,5,system,h3,h4,0.047
2026-03-11 13:35:29.449071,5,system,h3,h4,0.064
2026-03-11 13:35:29.449074,5,system,h3,h4,0.056
2026-03-11 13:35:29.449077,5,system,h3,h4,0.224
2026-03-11 13:35:29.449080,5,system,h3,h4,0.067
2026-03-11 13:35:29.449082,5,system,h3,h4,0.124
2026-03-11 13:35:29.449085,5,system,h3,h4,0.06
2026-03-11 13:35:29.449089,5,system,h3,h4,0.055
2026-03-11 13:35:29.449092,5,system,h3,h4,0.067
2026-03-11 13:35:29.449095,5,system,h3,h4,0.065
2026-03-11 13:35:29.449097,5,system,h3,h4,0.05
