timestamp,run,layer,source,destination,throughput_Mbps
2026-03-05 12:47:30.994266,1,field,h2,h3,4.26
2026-03-05 12:47:38.393388,2,field,h2,h3,4.64
2026-03-05 12:47:45.997855,3,field,h2,h3,4.28
2026-03-05 12:47:53.188654,4,field,h2,h3,4.35
2026-03-05 12:48:01.131021,5,field,h2,h3,6.7
2026-03-05 12:48:08.478341,1,system,h3,h4,4.23
2026-03-05 12:48:15.778598,2,system,h3,h4,5.09
2026-03-05 12:48:22.944517,3,system,h3,h4,4.16
2026-03-05 12:48:33.005304,4,system,h3,h4,4.71
2026-03-05 12:48:40.533566,5,system,h3,h4,4.67
