

[2026-02-26 14:34:14] Bus 1: V=0.986 pu, I=0.936, Breaker=CLOSE
[2026-02-26 14:34:14] Bus 2: V=0.986 pu, I=1.777, Breaker=CLOSE
[2026-02-26 14:34:14] Bus 3: V=0.970 pu, I=1.954, Breaker=CLOSE
[2026-02-26 14:34:14] Bus 4: V=1.017 pu, I=0.761, Breaker=CLOSE
[2026-02-26 14:34:14] Bus 5: V=1.007 pu, I=0.974, Breaker=CLOSE


[2026-02-26 14:34:18] Bus 1: V=1.028 pu, I=0.527, Breaker=OPEN
[2026-02-26 14:34:18] Bus 2: V=1.047 pu, I=1.577, Breaker=OPEN
[2026-02-26 14:34:18] Bus 3: V=1.026 pu, I=1.960, Breaker=OPEN
[2026-02-26 14:34:18] Bus 4: V=0.971 pu, I=1.931, Breaker=CLOSE
[2026-02-26 14:34:18] Bus 5: V=1.038 pu, I=1.890, Breaker=CLOSE


[2026-02-26 14:34:22] Bus 1: V=1.013 pu, I=0.989, Breaker=CLOSE
[2026-02-26 14:34:22] Bus 2: V=1.030 pu, I=1.509, Breaker=OPEN
[2026-02-26 14:34:22] Bus 3: V=0.971 pu, I=1.595, Breaker=CLOSE
[2026-02-26 14:34:22] Bus 4: V=0.999 pu, I=1.619, Breaker=CLOSE
[2026-02-26 14:34:22] Bus 5: V=1.006 pu, I=1.127, Breaker=CLOSE


[2026-02-26 14:34:26] Bus 1: V=1.013 pu, I=0.989, Breaker=OPEN
[2026-02-26 14:34:26] Bus 2: V=1.030 pu, I=1.509, Breaker=OPEN
[2026-02-26 14:34:26] Bus 3: V=0.971 pu, I=1.595, Breaker=OPEN
[2026-02-26 14:34:26] Bus 4: V=0.999 pu, I=1.619, Breaker=CLOSE
[2026-02-26 14:34:26] Bus 5: V=1.006 pu, I=1.127, Breaker=CLOSE


[2026-02-26 14:34:30] Bus 1: V=1.036 pu, I=1.083, Breaker=CLOSE
[2026-02-26 14:34:30] Bus 2: V=1.037 pu, I=1.207, Breaker=OPEN
[2026-02-26 14:34:30] Bus 3: V=1.007 pu, I=0.409, Breaker=CLOSE
[2026-02-26 14:34:30] Bus 4: V=0.994 pu, I=1.378, Breaker=CLOSE
[2026-02-26 14:34:30] Bus 5: V=0.970 pu, I=1.030, Breaker=CLOSE


[2026-02-26 14:34:34] Bus 1: V=1.002 pu, I=1.315, Breaker=OPEN
[2026-02-26 14:34:34] Bus 2: V=1.014 pu, I=1.477, Breaker=OPEN
[2026-02-26 14:34:34] Bus 3: V=1.019 pu, I=1.810, Breaker=OPEN
[2026-02-26 14:34:34] Bus 4: V=0.958 pu, I=0.769, Breaker=CLOSE
[2026-02-26 14:34:34] Bus 5: V=0.976 pu, I=1.489, Breaker=CLOSE


[2026-02-26 14:34:38] Bus 1: V=1.004 pu, I=0.919, Breaker=CLOSE
[2026-02-26 14:34:38] Bus 2: V=0.986 pu, I=1.725, Breaker=OPEN
[2026-02-26 14:34:38] Bus 3: V=0.961 pu, I=0.649, Breaker=CLOSE
[2026-02-26 14:34:38] Bus 4: V=0.956 pu, I=0.769, Breaker=CLOSE
[2026-02-26 14:34:38] Bus 5: V=1.035 pu, I=1.420, Breaker=CLOSE


[2026-02-26 14:34:42] Bus 1: V=0.985 pu, I=0.200, Breaker=OPEN
[2026-02-26 14:34:42] Bus 2: V=1.015 pu, I=1.002, Breaker=OPEN
[2026-02-26 14:34:42] Bus 3: V=1.005 pu, I=0.510, Breaker=OPEN
[2026-02-26 14:34:42] Bus 4: V=0.951 pu, I=0.337, Breaker=CLOSE
[2026-02-26 14:34:42] Bus 5: V=0.999 pu, I=0.144, Breaker=CLOSE


[2026-02-26 14:34:46] Bus 1: V=0.985 pu, I=0.200, Breaker=CLOSE
[2026-02-26 14:34:46] Bus 2: V=1.015 pu, I=1.002, Breaker=OPEN
[2026-02-26 14:34:46] Bus 3: V=1.005 pu, I=0.510, Breaker=CLOSE
[2026-02-26 14:34:46] Bus 4: V=0.951 pu, I=0.337, Breaker=CLOSE
[2026-02-26 14:34:46] Bus 5: V=0.999 pu, I=0.144, Breaker=CLOSE


[2026-02-26 14:34:50] Bus 1: V=0.986 pu, I=0.837, Breaker=OPEN
[2026-02-26 14:34:50] Bus 2: V=1.048 pu, I=1.421, Breaker=OPEN
[2026-02-26 14:34:50] Bus 3: V=1.034 pu, I=0.116, Breaker=OPEN
[2026-02-26 14:34:50] Bus 4: V=1.022 pu, I=0.496, Breaker=CLOSE
[2026-02-26 14:34:50] Bus 5: V=0.975 pu, I=1.458, Breaker=CLOSE


[2026-02-26 14:34:54] Bus 1: V=0.958 pu, I=0.269, Breaker=CLOSE
[2026-02-26 14:34:54] Bus 2: V=0.994 pu, I=1.418, Breaker=OPEN
[2026-02-26 14:34:54] Bus 3: V=0.983 pu, I=1.356, Breaker=CLOSE
[2026-02-26 14:34:54] Bus 4: V=1.032 pu, I=1.863, Breaker=CLOSE
[2026-02-26 14:34:54] Bus 5: V=0.975 pu, I=1.309, Breaker=CLOSE


[2026-02-26 14:34:58] Bus 1: V=0.986 pu, I=0.255, Breaker=OPEN
[2026-02-26 14:34:58] Bus 2: V=1.028 pu, I=0.602, Breaker=OPEN
[2026-02-26 14:34:58] Bus 3: V=0.991 pu, I=0.105, Breaker=OPEN
[2026-02-26 14:34:58] Bus 4: V=0.980 pu, I=1.442, Breaker=CLOSE
[2026-02-26 14:34:58] Bus 5: V=0.978 pu, I=1.046, Breaker=CLOSE


[2026-02-26 14:35:02] Bus 1: V=1.019 pu, I=0.581, Breaker=CLOSE
[2026-02-26 14:35:02] Bus 2: V=0.976 pu, I=0.775, Breaker=OPEN
[2026-02-26 14:35:02] Bus 3: V=0.999 pu, I=1.078, Breaker=CLOSE
[2026-02-26 14:35:02] Bus 4: V=0.990 pu, I=1.314, Breaker=CLOSE
[2026-02-26 14:35:02] Bus 5: V=0.978 pu, I=0.518, Breaker=CLOSE


[2026-02-26 14:35:06] Bus 1: V=1.019 pu, I=0.581, Breaker=OPEN
[2026-02-26 14:35:06] Bus 2: V=0.976 pu, I=0.775, Breaker=OPEN
[2026-02-26 14:35:06] Bus 3: V=0.999 pu, I=1.078, Breaker=OPEN
[2026-02-26 14:35:06] Bus 4: V=0.990 pu, I=1.314, Breaker=CLOSE
[2026-02-26 14:35:06] Bus 5: V=0.978 pu, I=0.518, Breaker=CLOSE


[2026-02-26 14:35:10] Bus 1: V=1.025 pu, I=0.398, Breaker=CLOSE
[2026-02-26 14:35:10] Bus 2: V=0.973 pu, I=1.946, Breaker=OPEN
[2026-02-26 14:35:10] Bus 3: V=1.045 pu, I=1.135, Breaker=CLOSE
[2026-02-26 14:35:10] Bus 4: V=0.967 pu, I=0.302, Breaker=CLOSE
[2026-02-26 14:35:10] Bus 5: V=1.039 pu, I=1.130, Breaker=CLOSE


[2026-02-26 14:35:14] Bus 1: V=0.954 pu, I=0.572, Breaker=OPEN
[2026-02-26 14:35:14] Bus 2: V=1.031 pu, I=1.778, Breaker=OPEN
[2026-02-26 14:35:14] Bus 3: V=0.985 pu, I=1.675, Breaker=OPEN
[2026-02-26 14:35:14] Bus 4: V=0.969 pu, I=1.581, Breaker=CLOSE
