[modbus-proxy] listen 0.0.0.0:50201 -> 10.0.2.2:5020 I regs 10..14 fixed_seed=424242
[modbus-proxy] FC06 I mangle bus=1 addr=10 553.586A -> 2001.759A
[modbus-proxy] FC06 I mangle bus=2 addr=11 319.310A -> 1890.655A
[modbus-proxy] FC06 I mangle bus=3 addr=12 559.793A -> 2081.069A
[modbus-proxy] FC06 I mangle bus=4 addr=13 619.345A -> 1908.103A
[modbus-proxy] FC06 I mangle bus=5 addr=14 152.759A -> 1936.483A
[modbus-proxy] FC06 I mangle bus=1 addr=10 664.724A -> 2142.759A
[modbus-proxy] FC06 I mangle bus=2 addr=11 275.552A -> 2152.586A
[modbus-proxy] FC06 I mangle bus=3 addr=12 391.379A -> 2081.069A
[modbus-proxy] FC06 I mangle bus=4 addr=13 235.931A -> 1938.931A
[modbus-proxy] FC06 I mangle bus=5 addr=14 592.448A -> 1961.379A
[modbus-proxy] FC06 I mangle bus=1 addr=10 688.034A -> 1981.414A
[modbus-proxy] FC06 I mangle bus=2 addr=11 891.586A -> 1862.276A
[modbus-proxy] FC06 I mangle bus=3 addr=12 580.690A -> 2090.931A
[modbus-proxy] FC06 I mangle bus=4 addr=13 604.414A -> 2065.379A
[modbus-proxy] FC06 I mangle bus=5 addr=14 572.241A -> 1970.552A
[modbus-proxy] FC06 I mangle bus=1 addr=10 183.724A -> 1873.655A
[modbus-proxy] FC06 I mangle bus=2 addr=11 383.724A -> 2041.000A
[modbus-proxy] FC06 I mangle bus=3 addr=12 344.586A -> 1810.345A
[modbus-proxy] FC06 I mangle bus=4 addr=13 379.724A -> 2024.655A
[modbus-proxy] FC06 I mangle bus=5 addr=14 425.069A -> 1967.345A
[modbus-proxy] FC06 I mangle bus=1 addr=10 316.448A -> 2066.172A
[modbus-proxy] FC06 I mangle bus=2 addr=11 887.690A -> 2187.103A
[modbus-proxy] FC06 I mangle bus=3 addr=12 608.172A -> 2029.759A
[modbus-proxy] FC06 I mangle bus=4 addr=13 732.793A -> 2118.138A
