Connection to (10.0.2.2, 5020) failed: [Errno 111] Connection refused
Connection to GATEWAY (10.0.2.2:5020) failed (connect() returned False). Retrying in 1.0s...


[2026-04-28 23:49:45] Bus 1: V=1.013 pu, I=167.500 A, Breaker=CLOSE
[2026-04-28 23:49:45] Bus 2: V=0.977 pu, I=330.240 A, Breaker=CLOSE
[2026-04-28 23:49:45] Bus 3: V=1.023 pu, I=639.800 A, Breaker=CLOSE
[2026-04-28 23:49:45] Bus 4: V=1.039 pu, I=212.840 A, Breaker=CLOSE
[2026-04-28 23:49:45] Bus 5: V=0.992 pu, I=174.820 A, Breaker=CLOSE


[2026-04-28 23:49:49] Bus 1: V=0.971 pu, I=547.820 A, Breaker=CLOSE
[2026-04-28 23:49:49] Bus 2: V=0.952 pu, I=319.340 A, Breaker=CLOSE
[2026-04-28 23:49:49] Bus 3: V=1.014 pu, I=548.280 A, Breaker=CLOSE
[2026-04-28 23:49:49] Bus 4: V=0.972 pu, I=625.920 A, Breaker=CLOSE
[2026-04-28 23:49:49] Bus 5: V=1.030 pu, I=151.180 A, Breaker=CLOSE


[2026-04-28 23:49:53] Bus 1: V=1.030 pu, I=657.820 A, Breaker=CLOSE
[2026-04-28 23:49:53] Bus 2: V=0.984 pu, I=275.540 A, Breaker=CLOSE
[2026-04-28 23:49:53] Bus 3: V=1.045 pu, I=383.320 A, Breaker=CLOSE
[2026-04-28 23:49:53] Bus 4: V=0.959 pu, I=238.440 A, Breaker=CLOSE
[2026-04-28 23:49:53] Bus 5: V=1.034 pu, I=586.300 A, Breaker=CLOSE


[2026-04-28 23:49:57] Bus 1: V=1.030 pu, I=657.820 A, Breaker=CLOSE
[2026-04-28 23:49:57] Bus 2: V=0.984 pu, I=275.540 A, Breaker=CLOSE
[2026-04-28 23:49:57] Bus 3: V=1.045 pu, I=383.320 A, Breaker=CLOSE
[2026-04-28 23:49:57] Bus 4: V=0.959 pu, I=238.440 A, Breaker=CLOSE
[2026-04-28 23:49:57] Bus 5: V=1.034 pu, I=586.300 A, Breaker=CLOSE


[2026-04-28 23:50:01] Bus 1: V=1.030 pu, I=680.860 A, Breaker=CLOSE
[2026-04-28 23:50:01] Bus 2: V=1.003 pu, I=891.580 A, Breaker=CLOSE
[2026-04-28 23:50:01] Bus 3: V=0.987 pu, I=568.700 A, Breaker=CLOSE
[2026-04-28 23:50:01] Bus 4: V=1.032 pu, I=610.860 A, Breaker=CLOSE
[2026-04-28 23:50:01] Bus 5: V=1.036 pu, I=566.280 A, Breaker=CLOSE


[2026-04-28 23:50:05] Bus 1: V=1.020 pu, I=181.820 A, Breaker=CLOSE
[2026-04-28 23:50:05] Bus 2: V=0.972 pu, I=383.720 A, Breaker=CLOSE
[2026-04-28 23:50:05] Bus 3: V=0.957 pu, I=337.480 A, Breaker=CLOSE
[2026-04-28 23:50:05] Bus 4: V=0.960 pu, I=383.760 A, Breaker=CLOSE
