timestamp,run,fase,layer,source,destination,latency_ms
2026-05-12 23:30:44.754003,1,attack,field,h2,h3,2.46
2026-05-12 23:30:44.754027,1,attack,field,h2,h3,4.29
2026-05-12 23:30:44.754034,1,attack,field,h2,h3,2.62
2026-05-12 23:30:44.754039,1,attack,field,h2,h3,3.98
2026-05-12 23:30:44.754043,1,attack,field,h2,h3,1.78
2026-05-12 23:30:44.754048,1,attack,field,h2,h3,1.92
2026-05-12 23:30:44.754052,1,attack,field,h2,h3,1.33
2026-05-12 23:30:44.754056,1,attack,field,h2,h3,2.39
2026-05-12 23:30:44.754060,1,attack,field,h2,h3,1.79
2026-05-12 23:30:44.754065,1,attack,field,h2,h3,2.23
2026-05-12 23:30:44.754069,1,attack,field,h2,h3,2.66
2026-05-12 23:30:44.754073,1,attack,field,h2,h3,2.29
2026-05-12 23:30:44.754077,1,attack,field,h2,h3,2.88
2026-05-12 23:30:44.754081,1,attack,field,h2,h3,3.87
2026-05-12 23:30:44.754086,1,attack,field,h2,h3,2.63
2026-05-12 23:30:44.754090,1,attack,field,h2,h3,1.24
2026-05-12 23:30:44.754094,1,attack,field,h2,h3,1.45
2026-05-12 23:30:44.754098,1,attack,field,h2,h3,2.1
2026-05-12 23:30:44.754102,1,attack,field,h2,h3,1.51
2026-05-12 23:30:44.754107,1,attack,field,h2,h3,0.611
2026-05-12 23:31:04.959441,2,attack,field,h2,h3,0.845
2026-05-12 23:31:04.959473,2,attack,field,h2,h3,0.774
2026-05-12 23:31:04.959480,2,attack,field,h2,h3,1.04
2026-05-12 23:31:04.959485,2,attack,field,h2,h3,1.08
2026-05-12 23:31:04.959490,2,attack,field,h2,h3,0.794
2026-05-12 23:31:04.959494,2,attack,field,h2,h3,1.56
2026-05-12 23:31:04.959499,2,attack,field,h2,h3,2.8
2026-05-12 23:31:04.959504,2,attack,field,h2,h3,1.23
2026-05-12 23:31:04.959508,2,attack,field,h2,h3,1.21
2026-05-12 23:31:04.959512,2,attack,field,h2,h3,1.48
2026-05-12 23:31:04.959516,2,attack,field,h2,h3,1.46
2026-05-12 23:31:04.959520,2,attack,field,h2,h3,1.45
2026-05-12 23:31:04.959525,2,attack,field,h2,h3,0.934
2026-05-12 23:31:04.959529,2,attack,field,h2,h3,2.33
2026-05-12 23:31:04.959533,2,attack,field,h2,h3,2.49
2026-05-12 23:31:04.959537,2,attack,field,h2,h3,0.839
2026-05-12 23:31:04.959542,2,attack,field,h2,h3,0.679
2026-05-12 23:31:04.959547,2,attack,field,h2,h3,1.91
2026-05-12 23:31:04.959551,2,attack,field,h2,h3,2.82
2026-05-12 23:31:04.959555,2,attack,field,h2,h3,1.04
2026-05-12 23:31:25.524623,3,attack,field,h2,h3,0.937
2026-05-12 23:31:25.524981,3,attack,field,h2,h3,0.641
2026-05-12 23:31:25.524994,3,attack,field,h2,h3,2.81
2026-05-12 23:31:25.525000,3,attack,field,h2,h3,1.01
2026-05-12 23:31:25.525005,3,attack,field,h2,h3,0.804
2026-05-12 23:31:25.525009,3,attack,field,h2,h3,1.43
2026-05-12 23:31:25.525014,3,attack,field,h2,h3,2.53
2026-05-12 23:31:25.525018,3,attack,field,h2,h3,2.15
2026-05-12 23:31:25.525024,3,attack,field,h2,h3,0.903
2026-05-12 23:31:25.525029,3,attack,field,h2,h3,1.43
2026-05-12 23:31:25.525034,3,attack,field,h2,h3,1.66
2026-05-12 23:31:25.525039,3,attack,field,h2,h3,1.16
2026-05-12 23:31:25.525043,3,attack,field,h2,h3,1.59
2026-05-12 23:31:25.525048,3,attack,field,h2,h3,1.33
2026-05-12 23:31:25.525052,3,attack,field,h2,h3,3.26
2026-05-12 23:31:25.525056,3,attack,field,h2,h3,1.67
2026-05-12 23:31:25.525060,3,attack,field,h2,h3,1.05
2026-05-12 23:31:25.525064,3,attack,field,h2,h3,0.97
2026-05-12 23:31:25.525069,3,attack,field,h2,h3,1.3
2026-05-12 23:31:25.525074,3,attack,field,h2,h3,2.74
2026-05-12 23:31:46.018507,1,attack,system,h3,h4,4.41
2026-05-12 23:31:46.018536,1,attack,system,h3,h4,0.325
2026-05-12 23:31:46.018541,1,attack,system,h3,h4,0.957
2026-05-12 23:31:46.018544,1,attack,system,h3,h4,0.097
2026-05-12 23:31:46.018548,1,attack,system,h3,h4,0.378
2026-05-12 23:31:46.018551,1,attack,system,h3,h4,0.117
2026-05-12 23:31:46.018554,1,attack,system,h3,h4,0.124
2026-05-12 23:31:46.018558,1,attack,system,h3,h4,0.091
