timestamp,iterasi_ke,run_id,bus,v_in,i_in,v_out,i_out,v_dt,breaker_cmd,breaker_fb
2026-05-05 11:09:35,2,20260505_110934,1,1.012000,169.260000,1.012000,169.260000,1.050041,1,1
2026-05-05 11:09:35,2,20260505_110934,2,0.977000,330.240000,0.977000,330.240000,1.050000,1,1
2026-05-05 11:09:35,2,20260505_110934,3,1.022000,653.260000,1.022000,653.260000,1.040516,1,1
2026-05-05 11:09:35,2,20260505_110934,4,1.039000,210.600000,1.039000,210.600000,1.037750,1,1
2026-05-05 11:09:35,2,20260505_110934,5,0.992000,176.660000,0.992000,176.660000,1.039604,1,1
2026-05-05 11:09:38,mitm_proxy_i,20260505_110934,1,,553.600000,,1091.680000,addr=10,,
2026-05-05 11:09:38,mitm_proxy_i,20260505_110934,2,,319.320000,,986.120000,addr=11,,
2026-05-05 11:09:38,mitm_proxy_i,20260505_110934,3,,559.820000,,1167.000000,addr=12,,
2026-05-05 11:09:38,mitm_proxy_i,20260505_110934,4,,619.340000,,1002.720000,addr=13,,
2026-05-05 11:09:38,mitm_proxy_i,20260505_110934,5,,152.780000,,1029.660000,addr=14,,
2026-05-05 11:09:39,3,20260505_110934,1,0.971000,1091.680000,0.971000,1091.680000,1.048815,1,1
2026-05-05 11:09:39,3,20260505_110934,2,0.952000,986.120000,0.952000,986.120000,1.048505,1,1
2026-05-05 11:09:39,3,20260505_110934,3,1.014000,1167.000000,1.014000,1167.000000,1.040399,1,1
2026-05-05 11:09:39,3,20260505_110934,4,0.972000,1002.720000,0.972000,1002.720000,1.039671,1,1
2026-05-05 11:09:39,3,20260505_110934,5,1.030000,1029.660000,1.030000,1029.660000,1.041386,1,1
2026-05-05 11:09:43,mitm_proxy_i,20260505_110934,1,,664.740000,,1225.600000,addr=10,,
2026-05-05 11:09:43,mitm_proxy_i,20260505_110934,2,,275.540000,,1234.960000,addr=11,,
2026-05-05 11:09:43,mitm_proxy_i,20260505_110934,3,,391.400000,,1167.020000,addr=12,,
2026-05-05 11:09:43,mitm_proxy_i,20260505_110934,4,,235.920000,,1031.980000,addr=13,,
2026-05-05 11:09:43,mitm_proxy_i,20260505_110934,5,,592.460000,,1053.300000,addr=14,,
2026-05-05 11:09:43,4,20260505_110934,1,1.030000,1225.600000,1.030000,1225.600000,1.041002,1,1
2026-05-05 11:09:43,4,20260505_110934,2,0.984000,1234.960000,0.984000,1234.960000,1.042752,1,1
2026-05-05 11:09:43,4,20260505_110934,3,1.045000,1167.020000,1.045000,1167.020000,1.036795,1,1
2026-05-05 11:09:43,4,20260505_110934,4,0.959000,1031.980000,0.959000,1031.980000,1.035917,1,1
2026-05-05 11:09:43,4,20260505_110934,5,1.034000,1053.300000,1.034000,1053.300000,1.037407,1,1
2026-05-05 11:09:47,mitm_proxy_i,20260505_110934,1,,688.040000,,1072.340000,addr=10,,
