timestamp,run,layer,source,destination,latency_ms
2026-05-05 12:10:59.783677,1,field,h2,h3,4.66
2026-05-05 12:10:59.783706,1,field,h2,h3,0.613
2026-05-05 12:10:59.783713,1,field,h2,h3,0.103
2026-05-05 12:10:59.783718,1,field,h2,h3,0.144
2026-05-05 12:10:59.783722,1,field,h2,h3,0.111
2026-05-05 12:10:59.783726,1,field,h2,h3,0.134
2026-05-05 12:10:59.783730,1,field,h2,h3,0.137
2026-05-05 12:10:59.783734,1,field,h2,h3,0.104
2026-05-05 12:10:59.783738,1,field,h2,h3,0.12
2026-05-05 12:10:59.783743,1,field,h2,h3,0.233
2026-05-05 12:10:59.783747,1,field,h2,h3,0.125
2026-05-05 12:10:59.783752,1,field,h2,h3,0.119
2026-05-05 12:10:59.783756,1,field,h2,h3,0.136
2026-05-05 12:10:59.783760,1,field,h2,h3,0.125
2026-05-05 12:10:59.783766,1,field,h2,h3,0.117
2026-05-05 12:10:59.783770,1,field,h2,h3,0.102
2026-05-05 12:10:59.783775,1,field,h2,h3,0.129
2026-05-05 12:10:59.783779,1,field,h2,h3,0.114
2026-05-05 12:10:59.783783,1,field,h2,h3,0.107
2026-05-05 12:10:59.783787,1,field,h2,h3,0.124
2026-05-05 12:11:20.295970,1,system,h3,h4,4.07
2026-05-05 12:11:20.296016,1,system,h3,h4,0.636
2026-05-05 12:11:20.296024,1,system,h3,h4,0.186
2026-05-05 12:11:20.296030,1,system,h3,h4,0.1
2026-05-05 12:11:20.296035,1,system,h3,h4,0.121
2026-05-05 12:11:20.296041,1,system,h3,h4,0.116
2026-05-05 12:11:20.296046,1,system,h3,h4,0.127
2026-05-05 12:11:20.296051,1,system,h3,h4,0.174
2026-05-05 12:11:20.296056,1,system,h3,h4,0.157
2026-05-05 12:11:20.296062,1,system,h3,h4,0.141
2026-05-05 12:11:20.296067,1,system,h3,h4,0.147
2026-05-05 12:11:20.296072,1,system,h3,h4,0.117
2026-05-05 12:11:20.296077,1,system,h3,h4,0.122
2026-05-05 12:11:20.296082,1,system,h3,h4,0.162
2026-05-05 12:11:20.296087,1,system,h3,h4,0.119
2026-05-05 12:11:20.296092,1,system,h3,h4,0.139
2026-05-05 12:11:20.296097,1,system,h3,h4,0.123
2026-05-05 12:11:20.296103,1,system,h3,h4,0.068
2026-05-05 12:11:20.296108,1,system,h3,h4,0.12
2026-05-05 12:11:20.296113,1,system,h3,h4,0.134
