timestamp,run,layer,source,destination,latency_ms
2026-05-05 12:38:10.172100,1,field,h2,h3,11.8
2026-05-05 12:38:10.172128,1,field,h2,h3,0.454
2026-05-05 12:38:10.172135,1,field,h2,h3,0.116
2026-05-05 12:38:10.172139,1,field,h2,h3,0.064
2026-05-05 12:38:10.172144,1,field,h2,h3,0.137
2026-05-05 12:38:10.172148,1,field,h2,h3,0.143
2026-05-05 12:38:10.172152,1,field,h2,h3,0.104
2026-05-05 12:38:10.172156,1,field,h2,h3,0.122
2026-05-05 12:38:10.172160,1,field,h2,h3,0.081
2026-05-05 12:38:10.172164,1,field,h2,h3,0.169
2026-05-05 12:38:10.172168,1,field,h2,h3,0.127
2026-05-05 12:38:10.172172,1,field,h2,h3,0.297
2026-05-05 12:38:10.172176,1,field,h2,h3,0.132
2026-05-05 12:38:10.172180,1,field,h2,h3,0.132
2026-05-05 12:38:10.172186,1,field,h2,h3,0.129
2026-05-05 12:38:10.172190,1,field,h2,h3,0.163
2026-05-05 12:38:10.172194,1,field,h2,h3,0.103
2026-05-05 12:38:10.172198,1,field,h2,h3,0.126
2026-05-05 12:38:10.172202,1,field,h2,h3,0.157
2026-05-05 12:38:10.172206,1,field,h2,h3,0.138
2026-05-05 12:38:30.584601,1,system,h3,h4,3.68
2026-05-05 12:38:30.584629,1,system,h3,h4,0.868
2026-05-05 12:38:30.584636,1,system,h3,h4,0.125
2026-05-05 12:38:30.584641,1,system,h3,h4,0.096
2026-05-05 12:38:30.584645,1,system,h3,h4,0.073
2026-05-05 12:38:30.584650,1,system,h3,h4,0.128
2026-05-05 12:38:30.584654,1,system,h3,h4,0.118
2026-05-05 12:38:30.584658,1,system,h3,h4,0.096
2026-05-05 12:38:30.584663,1,system,h3,h4,0.125
2026-05-05 12:38:30.584667,1,system,h3,h4,0.135
2026-05-05 12:38:30.584671,1,system,h3,h4,0.118
2026-05-05 12:38:30.584675,1,system,h3,h4,0.113
2026-05-05 12:38:30.584679,1,system,h3,h4,0.096
2026-05-05 12:38:30.584683,1,system,h3,h4,0.134
2026-05-05 12:38:30.584687,1,system,h3,h4,0.099
2026-05-05 12:38:30.584690,1,system,h3,h4,0.116
2026-05-05 12:38:30.584694,1,system,h3,h4,0.107
2026-05-05 12:38:30.584699,1,system,h3,h4,0.121
2026-05-05 12:38:30.584703,1,system,h3,h4,0.094
2026-05-05 12:38:30.584707,1,system,h3,h4,0.118
