timestamp,run,layer,source,destination,latency_ms
2026-05-05 12:57:28.018213,1,field,h2,h3,1.86
2026-05-05 12:57:28.018240,1,field,h2,h3,1.72
2026-05-05 12:57:28.018245,1,field,h2,h3,1.8
2026-05-05 12:57:28.018248,1,field,h2,h3,1.47
2026-05-05 12:57:28.018252,1,field,h2,h3,2.29
2026-05-05 12:57:28.018255,1,field,h2,h3,7.01
2026-05-05 12:57:28.018258,1,field,h2,h3,2.44
2026-05-05 12:57:28.018261,1,field,h2,h3,4.36
2026-05-05 12:57:28.018264,1,field,h2,h3,3.85
2026-05-05 12:57:28.018267,1,field,h2,h3,8.14
2026-05-05 12:57:28.018270,1,field,h2,h3,7.64
2026-05-05 12:57:28.018273,1,field,h2,h3,7.13
2026-05-05 12:57:28.018276,1,field,h2,h3,0.242
2026-05-05 12:57:28.018280,1,field,h2,h3,5.7
2026-05-05 12:57:28.018283,1,field,h2,h3,2.55
2026-05-05 12:57:28.018286,1,field,h2,h3,2.31
2026-05-05 12:57:28.018289,1,field,h2,h3,2.64
2026-05-05 12:57:28.018292,1,field,h2,h3,5.08
2026-05-05 12:57:28.018295,1,field,h2,h3,2.58
2026-05-05 12:57:28.018298,1,field,h2,h3,2.28
2026-05-05 12:57:48.380127,1,system,h3,h4,4.59
2026-05-05 12:57:48.380228,1,system,h3,h4,7.03
2026-05-05 12:57:48.380238,1,system,h3,h4,2.56
2026-05-05 12:57:48.380243,1,system,h3,h4,3.39
2026-05-05 12:57:48.380247,1,system,h3,h4,4.04
2026-05-05 12:57:48.380251,1,system,h3,h4,4.51
2026-05-05 12:57:48.380254,1,system,h3,h4,2.57
2026-05-05 12:57:48.380259,1,system,h3,h4,0.342
2026-05-05 12:57:48.380263,1,system,h3,h4,0.325
2026-05-05 12:57:48.380268,1,system,h3,h4,3.28
2026-05-05 12:57:48.380271,1,system,h3,h4,2.85
2026-05-05 12:57:48.380275,1,system,h3,h4,2.37
2026-05-05 12:57:48.380278,1,system,h3,h4,2.64
2026-05-05 12:57:48.380282,1,system,h3,h4,0.136
2026-05-05 12:57:48.380285,1,system,h3,h4,2.58
2026-05-05 12:57:48.380289,1,system,h3,h4,0.099
2026-05-05 12:57:48.380293,1,system,h3,h4,2.47
2026-05-05 12:57:48.380297,1,system,h3,h4,3.52
2026-05-05 12:57:48.380301,1,system,h3,h4,7.84
2026-05-05 12:57:48.380304,1,system,h3,h4,2.86
