probe,t_h2_unix,t_h4_unix,delta_ms,status
40,,1778955906.575790,,MISSING_H2
41,1778955906.472851,1778955910.631326,4158.4749,OK
42,1778955910.544216,1778955914.684481,4140.2650,OK
43,1778955914.573942,1778955918.739684,4165.7422,OK
44,1778955918.607398,1778955922.796510,4189.1119,OK
45,1778955922.649059,1778955926.851481,4202.4219,OK
46,1778955926.678353,1778955930.903252,4224.8988,OK
47,1778955930.712781,1778955934.955452,4242.6710,OK
48,1778955934.745608,1778955939.011917,4266.3090,OK
49,1778955938.776675,1778955943.063238,4286.5629,OK
50,1778955942.818692,1778955947.120599,4301.9071,OK
51,1778955946.852178,1778955951.175569,4323.3910,OK
52,1778955950.883790,1778955955.231995,4348.2051,OK
53,1778955954.913923,1778955959.291538,4377.6150,OK
54,1778955958.945110,,,MISSING_H4
