timestamp,run,layer,source,destination,latency_ms
2026-04-29 01:53:24.196877,1,field,h2,h3,3.33
2026-04-29 01:53:24.196904,1,field,h2,h3,0.592
2026-04-29 01:53:24.196909,1,field,h2,h3,0.114
2026-04-29 01:53:24.196912,1,field,h2,h3,0.148
2026-04-29 01:53:24.196915,1,field,h2,h3,0.126
2026-04-29 01:53:24.196918,1,field,h2,h3,0.092
2026-04-29 01:53:24.196921,1,field,h2,h3,0.111
2026-04-29 01:53:24.196925,1,field,h2,h3,0.133
2026-04-29 01:53:24.196928,1,field,h2,h3,0.092
2026-04-29 01:53:24.196931,1,field,h2,h3,0.102
2026-04-29 01:53:24.196934,1,field,h2,h3,0.108
2026-04-29 01:53:24.196937,1,field,h2,h3,0.09
2026-04-29 01:53:24.196940,1,field,h2,h3,0.162
2026-04-29 01:53:24.196943,1,field,h2,h3,0.141
2026-04-29 01:53:24.196946,1,field,h2,h3,0.682
2026-04-29 01:53:24.196949,1,field,h2,h3,0.109
2026-04-29 01:53:24.196955,1,field,h2,h3,0.088
2026-04-29 01:53:24.196958,1,field,h2,h3,0.147
2026-04-29 01:53:24.196961,1,field,h2,h3,0.091
2026-04-29 01:53:24.196964,1,field,h2,h3,0.12
2026-04-29 01:53:44.675790,1,system,h3,h4,4.53
2026-04-29 01:53:44.675821,1,system,h3,h4,0.542
2026-04-29 01:53:44.675827,1,system,h3,h4,0.095
2026-04-29 01:53:44.675832,1,system,h3,h4,2.44
2026-04-29 01:53:44.675837,1,system,h3,h4,0.105
2026-04-29 01:53:44.675841,1,system,h3,h4,0.088
2026-04-29 01:53:44.675845,1,system,h3,h4,0.084
2026-04-29 01:53:44.675850,1,system,h3,h4,0.112
2026-04-29 01:53:44.675854,1,system,h3,h4,0.143
2026-04-29 01:53:44.675858,1,system,h3,h4,0.093
2026-04-29 01:53:44.675862,1,system,h3,h4,0.093
2026-04-29 01:53:44.675866,1,system,h3,h4,0.115
2026-04-29 01:53:44.675869,1,system,h3,h4,0.153
2026-04-29 01:53:44.675873,1,system,h3,h4,0.128
2026-04-29 01:53:44.675877,1,system,h3,h4,0.116
2026-04-29 01:53:44.675881,1,system,h3,h4,0.077
2026-04-29 01:53:44.675885,1,system,h3,h4,0.104
2026-04-29 01:53:44.675890,1,system,h3,h4,0.103
2026-04-29 01:53:44.675894,1,system,h3,h4,0.096
2026-04-29 01:53:44.675898,1,system,h3,h4,0.102
