timestamp,iterasi_ke,run_id,bus,v_in,i_in,v_out,i_out,v_dt,breaker_cmd,breaker_fb
2026-05-05 10:49:28,2,20260505_104925,1,1.012000,169.260000,1.012000,169.260000,1.050041,1,1
2026-05-05 10:49:28,2,20260505_104925,2,0.977000,330.240000,0.977000,330.240000,1.050000,1,1
2026-05-05 10:49:28,2,20260505_104925,3,1.022000,653.260000,1.022000,653.260000,1.040516,1,1
2026-05-05 10:49:28,2,20260505_104925,4,1.039000,210.600000,1.039000,210.600000,1.037750,1,1
2026-05-05 10:49:28,2,20260505_104925,5,0.992000,176.660000,0.992000,176.660000,1.039604,1,1
2026-05-05 10:49:31,mitm_proxy_i,20260505_104925,1,,553.600000,,1310.700000,addr=10,,
2026-05-05 10:49:31,mitm_proxy_i,20260505_104925,2,,319.320000,,1310.700000,addr=11,,
2026-05-05 10:49:31,mitm_proxy_i,20260505_104925,3,,559.820000,,1310.700000,addr=12,,
2026-05-05 10:49:31,mitm_proxy_i,20260505_104925,4,,619.340000,,1310.700000,addr=13,,
2026-05-05 10:49:31,mitm_proxy_i,20260505_104925,5,,152.780000,,1310.700000,addr=14,,
2026-05-05 10:49:32,3,20260505_104925,1,0.971000,1310.700000,0.971000,1310.700000,1.048815,1,1
2026-05-05 10:49:32,3,20260505_104925,2,0.952000,1310.700000,0.952000,1310.700000,1.048505,1,1
2026-05-05 10:49:32,3,20260505_104925,3,1.014000,1310.700000,1.014000,1310.700000,1.040399,1,1
2026-05-05 10:49:32,3,20260505_104925,4,0.972000,1310.700000,0.972000,1310.700000,1.039671,1,1
2026-05-05 10:49:32,3,20260505_104925,5,1.030000,1310.700000,1.030000,1310.700000,1.041386,1,1
2026-05-05 10:49:35,mitm_proxy_i,20260505_104925,1,,664.740000,,1310.700000,addr=10,,
2026-05-05 10:49:35,mitm_proxy_i,20260505_104925,2,,275.540000,,1310.700000,addr=11,,
2026-05-05 10:49:35,mitm_proxy_i,20260505_104925,3,,391.400000,,1310.700000,addr=12,,
2026-05-05 10:49:35,mitm_proxy_i,20260505_104925,4,,235.920000,,1310.700000,addr=13,,
2026-05-05 10:49:35,mitm_proxy_i,20260505_104925,5,,592.460000,,1310.700000,addr=14,,
2026-05-05 10:49:36,4,20260505_104925,1,1.030000,1310.700000,1.030000,1310.700000,1.039083,1,1
2026-05-05 10:49:36,4,20260505_104925,2,0.984000,1310.700000,0.984000,1310.700000,1.040092,1,1
2026-05-05 10:49:36,4,20260505_104925,3,1.045000,1310.700000,1.045000,1310.700000,1.034427,1,1
2026-05-05 10:49:36,4,20260505_104925,4,0.959000,1310.700000,0.959000,1310.700000,1.032632,1,1
2026-05-05 10:49:36,4,20260505_104925,5,1.034000,1310.700000,1.034000,1310.700000,1.034182,1,1
2026-05-05 10:49:39,mitm_proxy_i,20260505_104925,1,,688.040000,,1310.700000,addr=10,,
2026-05-05 10:49:39,mitm_proxy_i,20260505_104925,2,,891.580000,,1310.700000,addr=11,,
2026-05-05 10:49:39,mitm_proxy_i,20260505_104925,3,,580.660000,,1310.700000,addr=12,,
2026-05-05 10:49:39,mitm_proxy_i,20260505_104925,4,,604.400000,,1310.700000,addr=13,,
2026-05-05 10:49:39,mitm_proxy_i,20260505_104925,5,,572.240000,,1310.700000,addr=14,,
2026-05-05 10:49:40,5,20260505_104925,1,1.030000,1310.700000,1.030000,1310.700000,1.031082,1,1
2026-05-05 10:49:40,5,20260505_104925,2,1.002000,1310.700000,1.002000,1310.700000,1.030268,1,1
2026-05-05 10:49:40,5,20260505_104925,3,0.987000,1310.700000,0.987000,1310.700000,1.022771,1,1
2026-05-05 10:49:40,5,20260505_104925,4,1.032000,1310.700000,1.032000,1310.700000,1.018133,1,1
2026-05-05 10:49:40,5,20260505_104925,5,1.036000,1310.700000,1.036000,1310.700000,1.019897,1,1
2026-05-05 10:49:43,mitm_proxy_i,20260505_104925,1,,183.740000,,1310.700000,addr=10,,
2026-05-05 10:49:43,mitm_proxy_i,20260505_104925,2,,383.720000,,1310.700000,addr=11,,
2026-05-05 10:49:43,mitm_proxy_i,20260505_104925,3,,344.600000,,1310.700000,addr=12,,
2026-05-05 10:49:43,mitm_proxy_i,20260505_104925,4,,379.720000,,1310.700000,addr=13,,
2026-05-05 10:49:43,mitm_proxy_i,20260505_104925,5,,425.060000,,1310.700000,addr=14,,
2026-05-05 10:49:44,6,20260505_104925,1,1.020000,1310.700000,1.020000,1310.700000,1.025279,1,1
2026-05-05 10:49:44,6,20260505_104925,2,0.972000,1310.700000,0.972000,1310.700000,1.021588,1,1
2026-05-05 10:49:44,6,20260505_104925,3,0.957000,1310.700000,0.957000,1310.700000,1.011131,1,1
2026-05-05 10:49:44,6,20260505_104925,4,0.960000,1310.700000,0.960000,1310.700000,1.002782,1,1
2026-05-05 10:49:44,6,20260505_104925,5,1.012000,1310.700000,1.012000,1310.700000,1.004982,1,1
