timestamp,run,layer,source,destination,latency_ms
2026-05-05 15:25:43.190171,1,field,h2,h3,4.45
2026-05-05 15:25:43.190199,1,field,h2,h3,0.399
2026-05-05 15:25:43.190204,1,field,h2,h3,0.056
2026-05-05 15:25:43.190208,1,field,h2,h3,0.07
2026-05-05 15:25:43.190211,1,field,h2,h3,0.057
2026-05-05 15:25:43.190214,1,field,h2,h3,0.056
2026-05-05 15:25:43.190217,1,field,h2,h3,0.066
2026-05-05 15:25:43.190220,1,field,h2,h3,0.061
2026-05-05 15:25:43.190223,1,field,h2,h3,0.055
2026-05-05 15:25:43.190227,1,field,h2,h3,3.42
2026-05-05 15:25:43.190230,1,field,h2,h3,73.0
2026-05-05 15:25:43.190233,1,field,h2,h3,0.378
2026-05-05 15:25:43.190236,1,field,h2,h3,0.582
2026-05-05 15:25:43.190239,1,field,h2,h3,0.047
2026-05-05 15:25:43.190242,1,field,h2,h3,8.57
2026-05-05 15:25:43.190245,1,field,h2,h3,1.93
2026-05-05 15:25:43.190248,1,field,h2,h3,0.059
2026-05-05 15:25:43.190251,1,field,h2,h3,0.196
2026-05-05 15:25:43.190254,1,field,h2,h3,0.054
2026-05-05 15:25:43.190257,1,field,h2,h3,0.056
2026-05-05 15:26:13.642537,1,system,h3,h4,26739.0
2026-05-05 15:26:13.642564,1,system,h3,h4,15734.0
2026-05-05 15:26:13.642568,1,system,h3,h4,15467.0
2026-05-05 15:26:13.642572,1,system,h3,h4,27959.0
