timestamp,run,layer,source,destination,latency_ms
2026-05-07 23:24:27.832713,1,field,h2,h3,6.42
2026-05-07 23:24:27.832754,1,field,h2,h3,2.51
2026-05-07 23:24:27.832764,1,field,h2,h3,0.28
2026-05-07 23:24:27.832773,1,field,h2,h3,0.245
2026-05-07 23:24:27.832780,1,field,h2,h3,1.11
2026-05-07 23:24:27.832787,1,field,h2,h3,0.138
2026-05-07 23:24:27.832795,1,field,h2,h3,0.17
2026-05-07 23:24:27.832802,1,field,h2,h3,1.69
2026-05-07 23:24:27.832808,1,field,h2,h3,0.189
2026-05-07 23:24:27.832815,1,field,h2,h3,0.175
2026-05-07 23:24:27.832822,1,field,h2,h3,0.362
2026-05-07 23:24:27.832829,1,field,h2,h3,0.304
2026-05-07 23:24:27.832835,1,field,h2,h3,0.099
2026-05-07 23:24:27.832842,1,field,h2,h3,0.199
2026-05-07 23:24:27.832848,1,field,h2,h3,0.149
2026-05-07 23:24:27.832855,1,field,h2,h3,0.147
2026-05-07 23:24:27.832861,1,field,h2,h3,0.168
2026-05-07 23:24:27.832868,1,field,h2,h3,0.155
2026-05-07 23:24:27.832875,1,field,h2,h3,0.144
2026-05-07 23:24:27.832881,1,field,h2,h3,0.196
2026-05-07 23:24:48.719598,1,system,h3,h4,25.9
2026-05-07 23:24:48.719662,1,system,h3,h4,0.985
2026-05-07 23:24:48.719673,1,system,h3,h4,0.529
2026-05-07 23:24:48.719681,1,system,h3,h4,0.462
2026-05-07 23:24:48.719688,1,system,h3,h4,0.085
2026-05-07 23:24:48.719695,1,system,h3,h4,0.172
2026-05-07 23:24:48.719737,1,system,h3,h4,0.167
2026-05-07 23:24:48.719747,1,system,h3,h4,0.151
2026-05-07 23:24:48.719754,1,system,h3,h4,0.145
2026-05-07 23:24:48.719762,1,system,h3,h4,0.838
2026-05-07 23:24:48.719768,1,system,h3,h4,0.32
2026-05-07 23:24:48.719774,1,system,h3,h4,0.434
2026-05-07 23:24:48.719780,1,system,h3,h4,0.135
2026-05-07 23:24:48.719787,1,system,h3,h4,0.195
2026-05-07 23:24:48.719793,1,system,h3,h4,0.145
2026-05-07 23:24:48.719799,1,system,h3,h4,0.488
2026-05-07 23:24:48.719805,1,system,h3,h4,0.749
2026-05-07 23:24:48.719812,1,system,h3,h4,0.141
2026-05-07 23:24:48.719818,1,system,h3,h4,0.524
2026-05-07 23:24:48.719824,1,system,h3,h4,0.825
