timestamp,run,layer,source,destination,latency_ms
2026-05-08 00:09:14.257368,1,field,h2,h3,1.16
2026-05-08 00:09:14.257409,1,field,h2,h3,0.159
2026-05-08 00:09:14.257421,1,field,h2,h3,0.148
2026-05-08 00:09:14.257429,1,field,h2,h3,0.092
2026-05-08 00:09:14.257436,1,field,h2,h3,0.172
2026-05-08 00:09:14.257443,1,field,h2,h3,0.144
2026-05-08 00:09:14.257451,1,field,h2,h3,0.154
2026-05-08 00:09:14.257458,1,field,h2,h3,0.1
2026-05-08 00:09:14.257465,1,field,h2,h3,0.161
2026-05-08 00:09:14.257472,1,field,h2,h3,0.152
2026-05-08 00:09:14.257480,1,field,h2,h3,0.136
2026-05-08 00:09:14.257487,1,field,h2,h3,0.094
2026-05-08 00:09:14.257493,1,field,h2,h3,0.169
2026-05-08 00:09:14.257500,1,field,h2,h3,0.136
2026-05-08 00:09:14.257507,1,field,h2,h3,0.148
2026-05-08 00:09:14.257513,1,field,h2,h3,0.163
2026-05-08 00:09:14.257520,1,field,h2,h3,0.106
2026-05-08 00:09:14.257528,1,field,h2,h3,0.142
2026-05-08 00:09:14.257544,1,field,h2,h3,0.535
2026-05-08 00:09:14.257557,1,field,h2,h3,0.167
2026-05-08 00:09:34.696496,1,system,h3,h4,2.03
2026-05-08 00:09:34.696542,1,system,h3,h4,0.632
2026-05-08 00:09:34.696553,1,system,h3,h4,0.183
2026-05-08 00:09:34.696732,1,system,h3,h4,0.158
2026-05-08 00:09:34.696750,1,system,h3,h4,0.176
2026-05-08 00:09:34.696759,1,system,h3,h4,0.146
2026-05-08 00:09:34.696766,1,system,h3,h4,0.256
2026-05-08 00:09:34.696774,1,system,h3,h4,0.211
2026-05-08 00:09:34.696781,1,system,h3,h4,0.189
2026-05-08 00:09:34.696788,1,system,h3,h4,0.13
2026-05-08 00:09:34.696795,1,system,h3,h4,0.141
2026-05-08 00:09:34.696802,1,system,h3,h4,0.181
2026-05-08 00:09:34.696808,1,system,h3,h4,0.135
2026-05-08 00:09:34.696815,1,system,h3,h4,0.142
2026-05-08 00:09:34.696822,1,system,h3,h4,0.245
2026-05-08 00:09:34.696828,1,system,h3,h4,0.162
2026-05-08 00:09:34.696834,1,system,h3,h4,0.124
2026-05-08 00:09:34.696842,1,system,h3,h4,0.155
2026-05-08 00:09:34.696849,1,system,h3,h4,0.181
2026-05-08 00:09:34.696993,1,system,h3,h4,0.177
