timestamp,run,layer,source,destination,latency_ms
2026-05-08 00:29:00.484491,1,field,h2,h3,14.1
2026-05-08 00:29:00.484566,1,field,h2,h3,1.18
2026-05-08 00:29:00.484572,1,field,h2,h3,0.113
2026-05-08 00:29:00.484578,1,field,h2,h3,0.129
2026-05-08 00:29:00.484582,1,field,h2,h3,0.117
2026-05-08 00:29:00.484587,1,field,h2,h3,0.141
2026-05-08 00:29:00.484591,1,field,h2,h3,0.141
2026-05-08 00:29:00.484596,1,field,h2,h3,0.122
2026-05-08 00:29:00.484600,1,field,h2,h3,0.08
2026-05-08 00:29:00.484605,1,field,h2,h3,0.138
2026-05-08 00:29:00.484609,1,field,h2,h3,0.141
2026-05-08 00:29:00.484614,1,field,h2,h3,0.151
2026-05-08 00:29:00.484618,1,field,h2,h3,0.069
2026-05-08 00:29:00.484622,1,field,h2,h3,0.153
2026-05-08 00:29:00.484626,1,field,h2,h3,0.134
2026-05-08 00:29:00.484630,1,field,h2,h3,0.13
2026-05-08 00:29:00.484634,1,field,h2,h3,0.133
2026-05-08 00:29:00.484639,1,field,h2,h3,0.108
2026-05-08 00:29:00.484643,1,field,h2,h3,0.127
2026-05-08 00:29:00.484647,1,field,h2,h3,0.196
2026-05-08 00:29:20.931792,1,system,h3,h4,4.02
2026-05-08 00:29:20.931823,1,system,h3,h4,0.596
2026-05-08 00:29:20.931830,1,system,h3,h4,0.1
2026-05-08 00:29:20.931836,1,system,h3,h4,0.137
2026-05-08 00:29:20.931842,1,system,h3,h4,0.201
2026-05-08 00:29:20.931848,1,system,h3,h4,0.12
2026-05-08 00:29:20.931853,1,system,h3,h4,0.12
2026-05-08 00:29:20.931858,1,system,h3,h4,0.122
2026-05-08 00:29:20.931863,1,system,h3,h4,0.141
2026-05-08 00:29:20.931867,1,system,h3,h4,0.13
2026-05-08 00:29:20.931872,1,system,h3,h4,0.177
2026-05-08 00:29:20.931876,1,system,h3,h4,0.134
2026-05-08 00:29:20.931880,1,system,h3,h4,0.113
2026-05-08 00:29:20.931884,1,system,h3,h4,0.166
2026-05-08 00:29:20.931888,1,system,h3,h4,0.127
2026-05-08 00:29:20.931892,1,system,h3,h4,0.123
2026-05-08 00:29:20.931896,1,system,h3,h4,0.115
2026-05-08 00:29:20.931904,1,system,h3,h4,0.125
2026-05-08 00:29:20.931909,1,system,h3,h4,0.106
2026-05-08 00:29:20.931913,1,system,h3,h4,0.116
