cycle_id,ts_received,ts_sent,bus,V_sent,I_sent,power_factor,breaker_actual
13,1780259504.154933,1780259504.155521,1,1.014078,722.582813,0.956500,1
13,1780259504.161217,1780259504.161681,2,1.013527,324.516512,0.902600,1
13,1780259504.166514,1780259504.166992,3,1.008448,401.229292,0.904100,1
13,1780259504.172070,1780259504.172530,4,1.006066,456.781826,0.915000,1
13,1780259504.177208,1780259504.177692,5,1.009656,459.208125,0.987700,1
13,1780259505.147673,1780259505.147968,1,1.020975,902.374746,0.980000,1
13,1780259505.153173,1780259505.153708,2,1.010361,430.351824,0.925200,1
13,1780259505.158441,1780259505.158898,3,1.006015,452.311229,0.915600,1
13,1780259505.163631,1780259505.164091,4,1.013125,518.406865,0.802000,1
13,1780259505.168521,1780259505.169036,5,1.004359,508.219683,0.968400,1
15,1780259506.158489,1780259506.159068,1,1.024396,778.999428,0.969300,1
15,1780259506.163997,1780259506.164491,2,1.006860,327.031211,0.919700,1
15,1780259506.168894,1780259506.169339,3,1.008553,442.053001,0.903600,1
15,1780259506.174023,1780259506.174471,4,1.014214,468.692929,0.884100,1
15,1780259506.178897,1780259506.179339,5,1.010782,478.164184,0.985900,1
15,1780259507.128999,1780259507.129551,1,1.017639,780.613949,0.969300,1
15,1780259507.159898,1780259507.161469,2,1.014386,328.521837,0.919700,1
15,1780259507.175225,1780259507.175740,3,1.009036,505.813535,0.925900,1
15,1780259507.181582,1780259507.182319,4,1.010457,515.729587,0.807500,1
15,1780259507.188189,1780259507.188654,5,1.006471,470.882821,0.951900,1
16,1780259508.128854,1780259508.129369,1,1.021718,840.134593,0.975100,1
16,1780259508.135048,1780259508.135632,2,1.012292,351.848817,0.917500,1
16,1780259508.142493,1780259508.144010,3,1.014032,506.087414,0.925900,1
16,1780259508.166800,1780259508.167747,4,1.008717,514.307840,0.870800,1
16,1780259508.173378,1780259508.173843,5,1.006961,463.752344,0.965300,1
18,1780259509.184258,1780259509.184580,1,1.018990,918.845406,0.984600,1
18,1780259509.187273,1780259509.187540,2,1.015512,436.686314,0.942300,1
18,1780259509.190180,1780259509.190457,3,1.004628,484.865846,0.957500,1
18,1780259509.193598,1780259509.193881,4,1.011195,479.091193,0.868400,1
18,1780259509.196724,1780259509.196999,5,1.005707,454.049386,0.978800,1
19,1780259510.199502,1780259510.199955,1,1.020846,771.316923,0.971200,1
19,1780259510.204810,1780259510.205273,2,1.018290,388.532699,0.943000,1
19,1780259510.209768,1780259510.210355,3,1.007337,377.050827,0.937700,1
19,1780259510.214977,1780259510.215439,4,1.009323,463.939221,0.895900,1
19,1780259510.219950,1780259510.220402,5,0.998816,463.202985,0.967400,1
20,1780259511.192192,1780259511.192915,1,1.023026,842.547157,0.983100,1
20,1780259511.197953,1780259511.198588,2,1.010800,339.796925,0.976300,1
20,1780259511.203544,1780259511.204100,3,1.011569,499.069911,0.903700,1
20,1780259511.208797,1780259511.209241,4,1.004896,505.969936,0.820800,1
20,1780259511.213983,1780259511.214611,5,1.005977,491.168268,0.957100,1
21,1780259512.189910,1780259512.190373,1,1.023275,827.009089,0.983000,1
21,1780259512.196897,1780259512.197401,2,1.014266,412.195352,0.969600,1
21,1780259512.202591,1780259512.203089,3,1.011049,380.295126,0.937500,1
21,1780259512.207941,1780259512.208423,4,1.010528,482.891982,0.864100,1
21,1780259512.213332,1780259512.213994,5,1.006552,496.986655,0.956100,1
22,1780259513.227180,1780259513.227649,1,1.022391,855.912066,0.978000,1
22,1780259513.232320,1780259513.232780,2,1.009735,403.766551,0.943200,1
22,1780259513.240052,1780259513.240517,3,1.011145,467.225944,0.927700,1
22,1780259513.246527,1780259513.247010,4,1.018236,493.413075,0.839700,1
22,1780259513.252563,1780259513.253017,5,1.009744,459.668095,0.963000,1
22,1780259514.213688,1780259514.214641,1,1.020397,766.724175,0.982700,1
22,1780259514.220768,1780259514.221292,2,1.011667,270.357968,0.974300,1
22,1780259514.226000,1780259514.226519,3,1.004418,468.035733,0.954800,1
22,1780259514.230216,1780259514.230526,4,1.011845,468.455262,0.884700,1
22,1780259514.234286,1780259514.234549,5,1.003920,479.961458,0.952300,1
24,1780259515.390183,1780259515.390741,1,1.023799,769.419837,0.976000,1
24,1780259515.398203,1780259515.398570,2,1.015419,404.760060,0.975800,1
24,1780259515.404834,1780259515.405372,3,1.009003,350.522873,0.923700,1
24,1780259515.410842,1780259515.411510,4,1.012298,447.250801,0.934500,1
24,1780259515.416706,1780259515.417168,5,1.004329,457.707164,0.980400,1
25,1780259516.389008,1780259516.389553,1,1.022964,827.699915,0.970700,1
25,1780259516.394854,1780259516.395430,2,1.004084,418.709948,0.910300,1
25,1780259516.400664,1780259516.401197,3,1.008711,414.862424,0.929500,1
25,1780259516.407247,1780259516.407754,4,1.011199,471.714947,0.882500,1
25,1780259516.412627,1780259516.413151,5,1.011494,462.103122,0.984900,1
26,1780259517.391508,1780259517.391977,1,1.023409,781.664374,0.971000,1
26,1780259517.396983,1780259517.397553,2,1.015357,354.829063,0.916900,1
26,1780259517.402316,1780259517.402789,3,1.006768,420.561192,0.945700,1
26,1780259517.408182,1780259517.408659,4,1.010346,476.419618,0.873000,1
26,1780259517.413112,1780259517.413586,5,1.011273,470.804845,0.962500,1
27,1780259518.398062,1780259518.398476,1,1.013110,844.385880,0.977800,1
27,1780259518.404456,1780259518.405127,2,1.004438,437.028175,0.952000,1
27,1780259518.410144,1780259518.410636,3,1.009951,409.816523,0.926600,1
27,1780259518.414989,1780259518.415490,4,1.009971,490.682269,0.849400,1
27,1780259518.420253,1780259518.420706,5,1.007237,470.556449,0.959000,1
