cycle_id,ts_received,ts_sent,bus,V_received,I_received,P_sent,Q_sent,breaker_actual
13,1780259505.031258,1780259505.031386,1,1.014000,722.566667,133.522411,40.724311,1
13,1780259505.031951,1780259505.032107,2,1.013000,324.500000,56.529193,26.960670,1
13,1780259505.032368,1780259505.032521,3,1.008000,401.200000,69.661246,32.925240,1
13,1780259505.032767,1780259505.032875,4,1.006000,456.766667,80.106322,35.321533,1
13,1780259505.033191,1780259505.033333,5,1.009000,459.200000,87.190950,13.803027,1
14,1780259506.033348,1780259506.033470,1,1.020000,902.366667,171.855171,34.896681,1
14,1780259506.034114,1780259506.034249,2,1.010000,430.333333,76.615263,31.424502,1
14,1780259506.034574,1780259506.034782,3,1.006000,452.300000,79.374987,34.857924,1
14,1780259506.035087,1780259506.035202,4,1.013000,518.400000,80.242069,59.763736,1
14,1780259506.035513,1780259506.035612,5,1.004000,508.200000,94.140493,24.244984,1
15,1780259507.036063,1780259507.036240,1,1.024000,778.966667,147.309364,37.367778,1
15,1780259507.036867,1780259507.037045,2,1.006000,327.000000,57.642822,24.607840,1
15,1780259507.037309,1780259507.037420,3,1.008000,442.033333,76.708782,36.365975,1
15,1780259507.038435,1780259507.038572,4,1.014000,468.666667,80.049150,42.310585,1
15,1780259507.038824,1780259507.038939,5,1.010000,478.133333,90.710294,15.396144,1
16,1780259508.037080,1780259508.037230,1,1.017000,780.600000,146.609133,37.190151,1
16,1780259508.038236,1780259508.038381,2,1.014000,328.500000,58.367733,24.917307,1
16,1780259508.039571,1780259508.039725,3,1.009000,505.800000,90.030029,36.732397,1
16,1780259508.040104,1780259508.040250,4,1.010000,515.700000,80.133544,58.536444,1
16,1780259508.040603,1780259508.040744,5,1.006000,470.866667,85.909377,27.653529,1
17,1780259509.167025,1780259509.167138,1,1.021000,840.133333,159.358938,36.242779,1
17,1780259509.168825,1780259509.168969,2,1.012000,351.833333,62.241046,26.981461,1
17,1780259509.169186,1780259509.169302,3,1.014000,506.066667,90.523864,36.933883,1
17,1780259509.170247,1780259509.170418,4,1.008000,514.300000,86.009969,48.559623,1
17,1780259509.170601,1780259509.170690,5,1.006000,463.733333,85.798938,23.211263,1
18,1780259510.167243,1780259510.167462,1,1.018000,918.833333,175.467894,31.155497,1
18,1780259510.171532,1780259510.172258,2,1.015000,436.666667,79.571691,28.269326,1
18,1780259510.172593,1780259510.172715,3,1.004000,484.833333,88.801086,26.750065,1
18,1780259510.179128,1780259510.179238,4,1.011000,479.066667,80.134630,45.757606,1
18,1780259510.180258,1780259510.180455,5,1.005000,454.033333,85.094418,17.806395,1
19,1780259511.167673,1780259511.167770,1,1.020000,771.300000,145.574561,35.713993,1
19,1780259511.168229,1780259511.168368,2,1.018000,388.500000,71.056499,25.076443,1
19,1780259511.168562,1780259511.168655,3,1.007000,377.033333,67.830723,25.133318,1
19,1780259511.168988,1780259511.169086,4,1.009000,463.933333,79.902357,39.621703,1
19,1780259511.169242,1780259511.169326,5,0.998000,463.200000,85.203706,22.305273,1
20,1780259512.168821,1780259512.168920,1,1.023000,842.533333,161.440961,30.062957,1
20,1780259512.169302,1780259512.169410,2,1.010000,339.766667,63.832043,14.149988,1
20,1780259512.169613,1780259512.169705,3,1.011000,499.066667,86.873499,41.160006,1
20,1780259512.169865,1780259512.169949,4,1.004000,505.966667,79.441288,55.285222,1
20,1780259512.170104,1780259512.170184,5,1.005000,491.166667,90.013070,27.251061,1
21,1780259513.175400,1780259513.175542,1,1.023000,827.000000,158.448442,29.595131,1
21,1780259513.175869,1780259513.176020,2,1.014000,412.166667,77.207011,19.484530,1
21,1780259513.176259,1780259513.176370,3,1.011000,380.266667,68.669519,25.489047,1
21,1780259513.176616,1780259513.176728,4,1.010000,482.866667,80.290824,46.767725,1
21,1780259513.176947,1780259513.177124,5,1.006000,496.966667,91.071370,27.912989,1
22,1780259514.176264,1780259514.176365,1,1.022000,855.900000,162.991925,34.765759,1
