cmd_id,origin_cycle,ts_received,ts_sent,bus,breaker_DT
8,11,1780259598.850785,1780259598.860436,1,1
8,11,1780259598.850785,1780259598.860436,2,1
8,11,1780259598.850785,1780259598.860436,3,1
8,11,1780259598.850785,1780259598.860436,4,1
8,11,1780259598.850785,1780259598.860436,5,1
9,12,1780259599.851158,1780259599.861751,1,1
9,12,1780259599.851158,1780259599.861751,2,1
9,12,1780259599.851158,1780259599.861751,3,1
9,12,1780259599.851158,1780259599.861751,4,1
9,12,1780259599.851158,1780259599.861751,5,1
10,13,1780259600.852461,1780259600.860581,1,1
10,13,1780259600.852461,1780259600.860581,2,1
10,13,1780259600.852461,1780259600.860581,3,1
10,13,1780259600.852461,1780259600.860581,4,1
10,13,1780259600.852461,1780259600.860581,5,1
11,14,1780259601.853871,1780259601.863822,1,1
11,14,1780259601.853871,1780259601.863822,2,1
11,14,1780259601.853871,1780259601.863822,3,1
11,14,1780259601.853871,1780259601.863822,4,1
11,14,1780259601.853871,1780259601.863822,5,1
12,15,1780259602.854005,1780259602.862543,1,1
12,15,1780259602.854005,1780259602.862543,2,1
12,15,1780259602.854005,1780259602.862543,3,1
12,15,1780259602.854005,1780259602.862543,4,1
12,15,1780259602.854005,1780259602.862543,5,1
12,15,1780259603.967281,1780259604.005506,1,1
12,15,1780259603.967281,1780259604.005506,2,1
12,15,1780259603.967281,1780259604.005506,3,1
12,15,1780259603.967281,1780259604.005506,4,1
12,15,1780259603.967281,1780259604.005506,5,1
13,16,1780259604.979060,1780259604.992750,1,1
13,16,1780259604.979060,1780259604.992750,2,1
13,16,1780259604.979060,1780259604.992750,3,1
13,16,1780259604.979060,1780259604.992750,4,1
13,16,1780259604.979060,1780259604.992750,5,1
14,17,1780259605.979909,1780259605.992003,1,1
14,17,1780259605.979909,1780259605.992003,2,1
14,17,1780259605.979909,1780259605.992003,3,1
14,17,1780259605.979909,1780259605.992003,4,1
14,17,1780259605.979909,1780259605.992003,5,1
15,18,1780259606.981037,1780259606.991011,1,1
15,18,1780259606.981037,1780259606.991011,2,1
15,18,1780259606.981037,1780259606.991011,3,1
15,18,1780259606.981037,1780259606.991011,4,1
15,18,1780259606.981037,1780259606.991011,5,1
16,19,1780259607.984310,1780259607.994144,1,1
16,19,1780259607.984310,1780259607.994144,2,1
16,19,1780259607.984310,1780259607.994144,3,1
16,19,1780259607.984310,1780259607.994144,4,1
16,19,1780259607.984310,1780259607.994144,5,1
17,20,1780259609.027699,1780259609.040032,1,1
17,20,1780259609.027699,1780259609.040032,2,1
17,20,1780259609.027699,1780259609.040032,3,1
17,20,1780259609.027699,1780259609.040032,4,1
17,20,1780259609.027699,1780259609.040032,5,1
18,21,1780259610.029108,1780259610.041936,1,1
18,21,1780259610.029108,1780259610.041936,2,1
18,21,1780259610.029108,1780259610.041936,3,1
18,21,1780259610.029108,1780259610.041936,4,1
18,21,1780259610.029108,1780259610.041936,5,1
19,22,1780259611.038339,1780259611.051539,1,1
19,22,1780259611.038339,1780259611.051539,2,1
19,22,1780259611.038339,1780259611.051539,3,1
19,22,1780259611.038339,1780259611.051539,4,1
19,22,1780259611.038339,1780259611.051539,5,1
21,24,1780259612.050875,1780259612.062673,1,1
21,24,1780259612.050875,1780259612.062673,2,1
21,24,1780259612.050875,1780259612.062673,3,1
21,24,1780259612.050875,1780259612.062673,4,1
21,24,1780259612.050875,1780259612.062673,5,1
21,24,1780259613.059391,1780259613.072192,1,1
21,24,1780259613.059391,1780259613.072192,2,1
21,24,1780259613.059391,1780259613.072192,3,1
21,24,1780259613.059391,1780259613.072192,4,1
21,24,1780259613.059391,1780259613.072192,5,1
22,25,1780259614.061097,1780259614.069943,1,1
22,25,1780259614.061097,1780259614.069943,2,1
22,25,1780259614.061097,1780259614.069943,3,1
22,25,1780259614.061097,1780259614.069943,4,1
22,25,1780259614.061097,1780259614.069943,5,1
23,26,1780259615.062151,1780259615.080504,1,1
23,26,1780259615.062151,1780259615.080504,2,1
23,26,1780259615.062151,1780259615.080504,3,1
23,26,1780259615.062151,1780259615.080504,4,1
23,26,1780259615.062151,1780259615.080504,5,1
25,28,1780259616.079491,1780259616.107746,1,1
25,28,1780259616.079491,1780259616.107746,2,1
25,28,1780259616.079491,1780259616.107746,3,1
25,28,1780259616.079491,1780259616.107746,4,1
25,28,1780259616.079491,1780259616.107746,5,1
26,29,1780259617.083804,1780259617.094718,1,1
26,29,1780259617.083804,1780259617.094718,2,1
26,29,1780259617.083804,1780259617.094718,3,1
26,29,1780259617.083804,1780259617.094718,4,1
26,29,1780259617.083804,1780259617.094718,5,1
27,30,1780259618.125669,1780259618.154866,1,1
27,30,1780259618.125669,1780259618.154866,2,1
27,30,1780259618.125669,1780259618.154866,3,1
