cmd_id,origin_cycle,ts_sent,bus,breaker_DT
8,12,1780259694.329998,1,1
8,12,1780259694.329998,2,1
8,12,1780259694.329998,3,1
8,12,1780259694.329998,4,1
8,12,1780259694.329998,5,1
9,13,1780259695.368192,1,1
9,13,1780259695.368192,2,1
9,13,1780259695.368192,3,1
9,13,1780259695.368192,4,1
9,13,1780259695.368192,5,1
10,14,1780259696.357629,1,1
10,14,1780259696.357629,2,1
10,14,1780259696.357629,3,1
10,14,1780259696.357629,4,1
10,14,1780259696.357629,5,1
11,15,1780259697.246217,1,1
11,15,1780259697.246217,2,1
11,15,1780259697.246217,3,1
11,15,1780259697.246217,4,1
11,15,1780259697.246217,5,1
12,16,1780259698.263811,1,1
12,16,1780259698.263811,2,1
12,16,1780259698.263811,3,1
12,16,1780259698.263811,4,1
12,16,1780259698.263811,5,1
13,17,1780259699.322888,1,1
13,17,1780259699.322888,2,1
13,17,1780259699.322888,3,1
13,17,1780259699.322888,4,1
13,17,1780259699.322888,5,1
14,18,1780259700.401115,1,1
14,18,1780259700.401115,2,1
14,18,1780259700.401115,3,1
14,18,1780259700.401115,4,1
14,18,1780259700.401115,5,1
15,19,1780259701.306901,1,1
15,19,1780259701.306901,2,1
15,19,1780259701.306901,3,1
15,19,1780259701.306901,4,1
15,19,1780259701.306901,5,1
16,20,1780259702.289248,1,1
16,20,1780259702.289248,2,1
16,20,1780259702.289248,3,1
16,20,1780259702.289248,4,1
16,20,1780259702.289248,5,1
17,21,1780259703.369600,1,1
17,21,1780259703.369600,2,1
17,21,1780259703.369600,3,1
17,21,1780259703.369600,4,1
17,21,1780259703.369600,5,1
18,22,1780259704.386892,1,1
18,22,1780259704.386892,2,1
18,22,1780259704.386892,3,1
18,22,1780259704.386892,4,1
18,22,1780259704.386892,5,1
19,23,1780259705.422734,1,1
19,23,1780259705.422734,2,1
19,23,1780259705.422734,3,1
19,23,1780259705.422734,4,1
19,23,1780259705.422734,5,1
20,24,1780259706.454638,1,1
20,24,1780259706.454638,2,1
20,24,1780259706.454638,3,1
20,24,1780259706.454638,4,1
20,24,1780259706.454638,5,1
21,25,1780259707.335762,1,1
21,25,1780259707.335762,2,1
21,25,1780259707.335762,3,1
21,25,1780259707.335762,4,1
21,25,1780259707.335762,5,1
22,26,1780259708.344646,1,1
22,26,1780259708.344646,2,1
22,26,1780259708.344646,3,1
22,26,1780259708.344646,4,1
22,26,1780259708.344646,5,1
23,27,1780259709.373614,1,1
23,27,1780259709.373614,2,1
23,27,1780259709.373614,3,1
23,27,1780259709.373614,4,1
23,27,1780259709.373614,5,1
24,28,1780259710.391504,1,1
24,28,1780259710.391504,2,1
24,28,1780259710.391504,3,1
24,28,1780259710.391504,4,1
24,28,1780259710.391504,5,1
25,29,1780259711.440078,1,1
25,29,1780259711.440078,2,1
25,29,1780259711.440078,3,1
25,29,1780259711.440078,4,1
25,29,1780259711.440078,5,1
26,30,1780259712.407385,1,1
26,30,1780259712.407385,2,1
26,30,1780259712.407385,3,1
26,30,1780259712.407385,4,1
26,30,1780259712.407385,5,1
27,31,1780259713.419742,1,1
27,31,1780259713.419742,2,1
27,31,1780259713.419742,3,1
27,31,1780259713.419742,4,1
27,31,1780259713.419742,5,1
28,32,1780259714.522800,1,1
28,32,1780259714.522800,2,1
28,32,1780259714.522800,3,1
28,32,1780259714.522800,4,1
28,32,1780259714.522800,5,1
29,33,1780259715.445943,1,1
29,33,1780259715.445943,2,1
29,33,1780259715.445943,3,1
29,33,1780259715.445943,4,1
29,33,1780259715.445943,5,1
30,34,1780259716.524789,1,1
30,34,1780259716.524789,2,1
30,34,1780259716.524789,3,1
30,34,1780259716.524789,4,1
30,34,1780259716.524789,5,1
31,35,1780259717.571562,1,1
31,35,1780259717.571562,2,1
31,35,1780259717.571562,3,1
31,35,1780259717.571562,4,1
31,35,1780259717.571562,5,1
32,36,1780259718.433813,1,1
32,36,1780259718.433813,2,1
32,36,1780259718.433813,3,1
32,36,1780259718.433813,4,1
32,36,1780259718.433813,5,1
33,37,1780259719.440974,1,1
33,37,1780259719.440974,2,1
33,37,1780259719.440974,3,1
33,37,1780259719.440974,4,1
33,37,1780259719.440974,5,1
34,38,1780259720.448302,1,1
34,38,1780259720.448302,2,1
34,38,1780259720.448302,3,1
34,38,1780259720.448302,4,1
34,38,1780259720.448302,5,1
35,39,1780259721.477140,1,1
35,39,1780259721.477140,2,1
35,39,1780259721.477140,3,1
35,39,1780259721.477140,4,1
35,39,1780259721.477140,5,1
36,40,1780259722.515261,1,1
36,40,1780259722.515261,2,1
36,40,1780259722.515261,3,1
36,40,1780259722.515261,4,1
36,40,1780259722.515261,5,1
37,41,1780259723.523270,1,1
37,41,1780259723.523270,2,1
37,41,1780259723.523270,3,1
37,41,1780259723.523270,4,1
37,41,1780259723.523270,5,1
38,42,1780259724.526301,1,1
38,42,1780259724.526301,2,1
38,42,1780259724.526301,3,1
38,42,1780259724.526301,4,1
38,42,1780259724.526301,5,1
39,43,1780259725.531292,1,1
39,43,1780259725.531292,2,1
39,43,1780259725.531292,3,1
39,43,1780259725.531292,4,1
39,43,1780259725.531292,5,1
