cycle_id,ts_received,bus,line,V_DT,I_line,breaker_actual
12,1780259694.282490,1,1,1.020000,900.386837,1
12,1780259694.282490,2,2,1.010221,472.972835,1
12,1780259694.282490,3,3,1.008695,157.167901,1
12,1780259694.282490,4,4,1.010000,497.969795,1
12,1780259694.282490,5,,1.007170,0.000000,1
13,1780259695.297214,1,1,1.020000,723.107467,1
13,1780259695.297214,2,2,1.010637,405.390787,1
13,1780259695.297214,3,3,1.008886,116.103820,1
13,1780259695.297214,4,4,1.010000,459.860957,1
13,1780259695.297214,5,,1.007550,0.000000,1
14,1780259696.305497,1,1,1.020000,901.616930,1
14,1780259696.305497,2,2,1.009769,487.970302,1
14,1780259696.305497,3,3,1.008218,195.489661,1
14,1780259696.305497,4,4,1.010000,506.755467,1
14,1780259696.305497,5,,1.006862,0.000000,1
15,1780259697.165565,1,1,1.020000,776.849508,1
15,1780259697.165565,2,2,1.010523,458.961178,1
15,1780259697.165565,3,3,1.008662,147.263558,1
15,1780259697.165565,4,4,1.010000,479.369353,1
15,1780259697.165565,5,,1.007396,0.000000,1
16,1780259698.194449,1,1,1.020000,842.684655,1
16,1780259698.194449,2,2,1.010110,501.413618,1
16,1780259698.194449,3,3,1.008272,162.051498,1
16,1780259698.194449,4,4,1.010000,470.470515,1
16,1780259698.194449,5,,1.006847,0.000000,1
17,1780259699.278057,1,1,1.020000,766.332713,1
17,1780259699.278057,2,2,1.010865,475.876321,1
17,1780259699.278057,3,3,1.008790,118.933416,1
17,1780259699.278057,4,4,1.010000,463.234648,1
17,1780259699.278057,5,,1.007083,0.000000,1
18,1780259700.351525,1,1,1.020000,914.913063,1
18,1780259700.351525,2,2,1.009994,489.559113,1
18,1780259700.351525,3,3,1.008461,143.896661,1
18,1780259700.351525,4,4,1.010000,452.960099,1
18,1780259700.351525,5,,1.007381,0.000000,1
19,1780259701.220667,1,1,1.020000,770.091673,1
19,1780259701.220667,2,2,1.010682,383.377088,1
19,1780259701.220667,3,3,1.009123,89.872818,1
19,1780259701.220667,4,4,1.010000,458.995219,1
19,1780259701.220667,5,,1.007143,0.000000,1
20,1780259702.232827,1,1,1.020000,848.453502,1
20,1780259702.232827,2,2,1.010628,509.608681,1
20,1780259702.232827,3,3,1.008506,156.966387,1
20,1780259702.232827,4,4,1.010000,490.295215,1
20,1780259702.232827,5,,1.006786,0.000000,1
21,1780259703.314348,1,1,1.020000,828.679936,1
21,1780259703.314348,2,2,1.010795,417.547707,1
21,1780259703.314348,3,3,1.009173,110.245986,1
21,1780259703.314348,4,4,1.010000,496.606156,1
21,1780259703.314348,5,,1.006730,0.000000,1
22,1780259704.341808,1,1,1.020000,858.446859,1
22,1780259704.341808,2,2,1.010126,462.960001,1
22,1780259704.341808,3,3,1.008424,146.922921,1
22,1780259704.341808,4,4,1.010000,460.549766,1
22,1780259704.341808,5,,1.007065,0.000000,1
23,1780259705.375618,1,1,1.020000,758.564962,1
23,1780259705.375618,2,2,1.011496,488.864610,1
23,1780259705.375618,3,3,1.009400,77.006609,1
23,1780259705.375618,4,4,1.010000,478.121456,1
23,1780259705.375618,5,,1.006801,0.000000,1
24,1780259706.400700,1,1,1.020000,767.512965,1
24,1780259706.400700,2,2,1.011022,361.263955,1
24,1780259706.400700,3,3,1.009366,73.127296,1
24,1780259706.400700,4,4,1.010000,456.157198,1
24,1780259706.400700,5,,1.007396,0.000000,1
25,1780259707.232590,1,1,1.020000,826.671079,1
25,1780259707.232590,2,2,1.010017,426.416838,1
25,1780259707.232590,3,3,1.008556,144.428962,1
25,1780259707.232590,4,4,1.010000,463.725632,1
25,1780259707.232590,5,,1.007456,0.000000,1
26,1780259708.282368,1,1,1.020000,782.052477,1
26,1780259708.282368,2,2,1.010590,436.538193,1
26,1780259708.282368,3,3,1.008957,110.794689,1
26,1780259708.282368,4,4,1.010000,472.679412,1
26,1780259708.282368,5,,1.006980,0.000000,1
27,1780259709.313387,1,1,1.020000,844.560238,1
27,1780259709.313387,2,2,1.010261,416.083487,1
27,1780259709.313387,3,3,1.008708,128.336761,1
27,1780259709.313387,4,4,1.010000,470.560136,1
27,1780259709.313387,5,,1.006943,0.000000,1
28,1780259710.338913,1,1,1.020000,718.079763,1
28,1780259710.338913,2,2,1.010919,385.804180,1
28,1780259710.338913,3,3,1.009094,93.120374,1
28,1780259710.338913,4,4,1.010000,456.663708,1
28,1780259710.338913,5,,1.007290,0.000000,1
29,1780259711.385018,1,1,1.020000,797.949010,1
29,1780259711.385018,2,2,1.010720,494.793775,1
29,1780259711.385018,3,3,1.008487,150.309418,1
29,1780259711.385018,4,4,1.010000,468.013253,1
29,1780259711.385018,5,,1.007254,0.000000,1
30,1780259712.345962,1,1,1.020000,819.325032,1
30,1780259712.345962,2,2,1.010408,509.132360,1
30,1780259712.345962,3,3,1.008539,153.987399,1
30,1780259712.345962,4,4,1.010000,477.459626,1
30,1780259712.345962,5,,1.007296,0.000000,1
31,1780259713.363398,1,1,1.020000,781.284686,1
31,1780259713.363398,2,2,1.010261,374.578432,1
31,1780259713.363398,3,3,1.008872,123.161960,1
31,1780259713.363398,4,4,1.010000,477.527326,1
31,1780259713.363398,5,,1.007049,0.000000,1
32,1780259714.468292,1,1,1.020000,892.445709,1
32,1780259714.468292,2,2,1.009881,508.347637,1
32,1780259714.468292,3,3,1.007923,198.078604,1
32,1780259714.468292,4,4,1.010000,476.942500,1
