cycle_id,ts_received,bus,line,V_DT,I_line,breaker_actual
12,1780260122.032809,1,1,1.020000,807.437971,1
12,1780260122.032809,2,2,1.010532,375.869964,1
12,1780260122.032809,3,3,1.009129,95.926453,1
12,1780260122.032809,4,4,1.010000,469.441420,1
12,1780260122.032809,5,,1.007042,0.000000,1
13,1780260123.062236,1,1,1.020000,784.708383,1
13,1780260123.062236,2,2,1.010686,473.593797,1
13,1780260123.062236,3,3,1.008975,136.549744,1
13,1780260123.062236,4,4,1.010000,497.969795,1
13,1780260123.062236,5,,1.007170,0.000000,1
14,1780260124.245408,1,1,1.020000,854.385338,1
14,1780260124.245408,2,2,1.009964,437.810986,1
14,1780260124.245408,3,3,1.008480,175.486829,1
14,1780260124.245408,4,4,1.010000,507.140438,1
14,1780260124.245408,5,,1.006860,0.000000,1
15,1780260125.099953,1,1,1.020000,805.629033,1
15,1780260125.099953,2,2,1.010520,490.078376,1
15,1780260125.099953,3,3,1.008667,161.005153,1
15,1780260125.099953,4,4,1.010000,506.755467,1
15,1780260125.099953,5,,1.006862,0.000000,1
16,1780260126.118474,1,1,1.020000,865.222766,1
16,1780260126.118474,2,2,1.010100,525.875438,1
16,1780260126.118474,3,3,1.008266,178.728154,1
16,1780260126.118474,4,4,1.010000,479.369353,1
16,1780260126.118474,5,,1.007396,0.000000,1
17,1780260127.120419,1,1,1.020000,794.116191,1
17,1780260127.120419,2,2,1.010777,504.492276,1
17,1780260127.120419,3,3,1.008674,128.872064,1
17,1780260127.120419,4,4,1.010000,470.470515,1
17,1780260127.120419,5,,1.006847,0.000000,1
18,1780260128.126624,1,1,1.020000,918.333782,1
18,1780260128.126624,2,2,1.009992,493.273667,1
18,1780260128.126624,3,3,1.008460,146.175738,1
18,1780260128.126624,4,4,1.010000,463.234648,1
18,1780260128.126624,5,,1.007083,0.000000,1
19,1780260129.172914,1,1,1.020000,769.573301,1
19,1780260129.172914,2,2,1.010682,382.821079,1
19,1780260129.172914,3,3,1.009123,89.456391,1
19,1780260129.172914,4,4,1.010000,452.960099,1
19,1780260129.172914,5,,1.007381,0.000000,1
20,1780260130.209828,1,1,1.020000,848.453502,1
20,1780260130.209828,2,2,1.010628,509.608681,1
20,1780260130.209828,3,3,1.008506,156.966387,1
20,1780260130.209828,4,4,1.010000,490.295215,1
20,1780260130.209828,5,,1.006786,0.000000,1
21,1780260131.227077,1,1,1.020000,828.679936,1
21,1780260131.227077,2,2,1.010795,417.547707,1
21,1780260131.227077,3,3,1.009173,110.245986,1
21,1780260131.227077,4,4,1.010000,496.606156,1
21,1780260131.227077,5,,1.006730,0.000000,1
22,1780260132.285910,1,1,1.020000,858.446859,1
22,1780260132.285910,2,2,1.010126,462.960001,1
22,1780260132.285910,3,3,1.008424,146.922921,1
22,1780260132.285910,4,4,1.010000,460.549766,1
22,1780260132.285910,5,,1.007065,0.000000,1
23,1780260133.798360,1,1,1.020000,858.446859,1
23,1780260133.798360,2,2,1.010126,462.960001,1
23,1780260133.798360,3,3,1.008424,146.922921,1
23,1780260133.798360,4,4,1.010000,460.549766,1
23,1780260133.798360,5,,1.007065,0.000000,1
25,1780260137.904252,1,1,1.020000,858.446859,1
25,1780260137.904252,2,2,1.010126,462.960001,1
25,1780260137.904252,3,3,1.008424,146.922921,1
25,1780260137.904252,4,4,1.010000,460.549766,1
25,1780260137.904252,5,,1.007065,0.000000,1
27,1780260139.874132,1,1,1.020000,859.668081,1
27,1780260139.874132,2,2,1.009767,459.219798,1
27,1780260139.874132,3,3,1.008220,163.963639,1
27,1780260139.874132,4,4,1.010000,460.549766,1
27,1780260139.874132,5,,1.007065,0.000000,1
28,1780260141.621709,1,1,1.020000,808.315345,1
28,1780260141.621709,2,2,1.010034,404.767781,1
28,1780260141.621709,3,3,1.008583,133.713392,1
28,1780260141.621709,4,4,1.010000,460.549766,1
28,1780260141.621709,5,,1.007065,0.000000,1
31,1780260142.924925,1,1,1.020000,808.985808,1
31,1780260142.924925,2,2,1.010022,403.831165,1
31,1780260142.924925,3,3,1.008576,133.789210,1
31,1780260142.924925,4,4,1.010000,453.751307,1
31,1780260142.924925,5,,1.007308,0.000000,1
32,1780260144.087082,1,1,1.020000,765.642276,1
32,1780260144.087082,2,2,1.010251,353.788128,1
32,1780260144.087082,3,3,1.008872,109.340239,1
32,1780260144.087082,4,4,1.010000,453.751307,1
32,1780260144.087082,5,,1.007308,0.000000,1
34,1780260145.421300,1,1,1.020000,784.898548,1
34,1780260145.421300,2,2,1.010243,375.339227,1
34,1780260145.421300,3,3,1.008866,125.359169,1
34,1780260145.421300,4,4,1.010000,482.523162,1
34,1780260145.421300,5,,1.006934,0.000000,1
35,1780260147.013120,1,1,1.020000,740.236048,1
35,1780260147.013120,2,2,1.011572,433.922849,1
35,1780260147.013120,3,3,1.009682,67.292603,1
35,1780260147.013120,4,4,1.010000,482.523162,1
35,1780260147.013120,5,,1.006934,0.000000,1
37,1780260148.352330,1,1,1.020000,761.250094,1
37,1780260148.352330,2,2,1.011563,455.378673,1
37,1780260148.352330,3,3,1.009676,91.104442,1
37,1780260148.352330,4,4,1.010000,510.195457,1
37,1780260148.352330,5,,1.006649,0.000000,1
38,1780260149.505754,1,1,1.020000,741.967335,1
38,1780260149.505754,2,2,1.011514,430.515885,1
38,1780260149.505754,3,3,1.009729,88.418331,1
38,1780260149.505754,4,4,1.010000,510.195457,1
38,1780260149.505754,5,,1.006649,0.000000,1
39,1780260150.528609,1,1,1.020000,712.573810,1
39,1780260150.528609,2,2,1.011284,399.552120,1
39,1780260150.528609,3,3,1.009393,91.057264,1
39,1780260150.528609,4,4,1.010000,477.955412,1
39,1780260150.528609,5,,1.007357,0.000000,1
40,1780260151.564301,1,1,1.020000,712.573810,1
40,1780260151.564301,2,2,1.011284,399.552120,1
40,1780260151.564301,3,3,1.009393,91.057264,1
40,1780260151.564301,4,4,1.010000,477.955412,1
40,1780260151.564301,5,,1.007357,0.000000,1
41,1780260152.571744,1,1,1.020000,681.849076,1
41,1780260152.571744,2,2,1.011593,391.835687,1
41,1780260152.571744,3,3,1.009587,78.478575,1
41,1780260152.571744,4,4,1.010000,477.955412,1
41,1780260152.571744,5,,1.007357,0.000000,1
42,1780260153.299458,1,1,1.020000,686.556625,1
42,1780260153.299458,2,2,1.011591,396.469620,1
42,1780260153.299458,3,3,1.009586,83.878385,1
42,1780260153.299458,4,4,1.010000,488.154032,1
42,1780260153.299458,5,,1.007095,0.000000,1
43,1780260154.094816,1,1,1.020000,821.779826,1
43,1780260154.094816,2,2,1.010481,479.596841,1
43,1780260154.094816,3,3,1.008581,155.960316,1
43,1780260154.094816,4,4,1.010000,488.154032,1
43,1780260154.094816,5,,1.007095,0.000000,1
44,1780260154.793391,1,1,1.020000,805.871698,1
44,1780260154.793391,2,2,1.010487,462.788959,1
44,1780260154.793391,3,3,1.008585,142.888506,1
44,1780260154.793391,4,4,1.010000,467.346917,1
44,1780260154.793391,5,,1.007325,0.000000,1
45,1780260155.404019,1,1,1.020000,797.427765,1
45,1780260155.404019,2,2,1.011133,516.317860,1
45,1780260155.404019,3,3,1.009235,96.757586,1
45,1780260155.404019,4,4,1.010000,485.575201,1
45,1780260155.404019,5,,1.006806,0.000000,1
46,1780260156.241321,1,1,1.020000,895.494590,1
46,1780260156.241321,2,2,1.010695,494.339834,1
46,1780260156.241321,3,3,1.008947,118.027333,1
46,1780260156.241321,4,4,1.010000,484.790931,1
46,1780260156.241321,5,,1.006811,0.000000,1
47,1780260157.147073,1,1,1.020000,862.690169,1
47,1780260157.147073,2,2,1.010719,466.167524,1
47,1780260157.147073,3,3,1.009166,110.839339,1
47,1780260157.147073,4,4,1.010000,499.758115,1
47,1780260157.147073,5,,1.006629,0.000000,1
48,1780260158.238132,1,1,1.020000,869.842315,1
48,1780260158.238132,2,2,1.010272,472.066441,1
48,1780260158.238132,3,3,1.008847,135.458647,1
48,1780260158.238132,4,4,1.010000,496.875569,1
48,1780260158.238132,5,,1.006758,0.000000,1
49,1780260159.284522,1,1,1.020000,720.158798,1
49,1780260159.284522,2,2,1.011334,428.972820,1
49,1780260159.284522,3,3,1.009486,98.782531,1
49,1780260159.284522,4,4,1.010000,508.564672,1
49,1780260159.284522,5,,1.006617,0.000000,1
50,1780260160.293955,1,1,1.020000,731.316700,1
50,1780260160.293955,2,2,1.011042,384.941077,1
50,1780260160.293955,3,3,1.009547,98.142919,1
50,1780260160.293955,4,4,1.010000,511.730467,1
50,1780260160.293955,5,,1.006595,0.000000,1
51,1780260161.313552,1,1,1.020000,831.438513,1
51,1780260161.313552,2,2,1.010153,438.566849,1
51,1780260161.313552,3,3,1.008420,168.387658,1
51,1780260161.313552,4,4,1.010000,495.237260,1
51,1780260161.313552,5,,1.006805,0.000000,1
52,1780260162.140303,1,1,1.020000,888.489469,1
52,1780260162.140303,2,2,1.009954,470.740913,1
52,1780260162.140303,3,3,1.008321,155.674506,1
