cmd_id,origin_cycle,ts_received,ts_sent,bus,breaker_DT
3,7,1780260217.803540,1780260218.280754,1,1
3,7,1780260217.803540,1780260218.280754,2,1
3,7,1780260217.803540,1780260218.280754,3,1
3,7,1780260217.803540,1780260218.280754,4,0
3,7,1780260217.803540,1780260218.280754,5,0
5,9,1780260219.690393,1780260219.974620,1,0
5,9,1780260219.690393,1780260219.974620,2,0
5,9,1780260219.690393,1780260219.974620,3,0
5,9,1780260219.690393,1780260219.974620,4,1
5,9,1780260219.690393,1780260219.974620,5,1
7,11,1780260220.975567,1780260221.293172,1,1
7,11,1780260220.975567,1780260221.293172,2,1
7,11,1780260220.975567,1780260221.293172,3,0
7,11,1780260220.975567,1780260221.293172,4,0
7,11,1780260220.975567,1780260221.293172,5,1
9,13,1780260222.164980,1780260222.389191,1,1
9,13,1780260222.164980,1780260222.389191,2,1
9,13,1780260222.164980,1780260222.389191,3,1
9,13,1780260222.164980,1780260222.389191,4,1
9,13,1780260222.164980,1780260222.389191,5,0
11,15,1780260223.335660,1780260223.596255,1,1
11,15,1780260223.335660,1780260223.596255,2,1
11,15,1780260223.335660,1780260223.596255,3,0
11,15,1780260223.335660,1780260223.596255,4,1
11,15,1780260223.335660,1780260223.596255,5,1
12,16,1780260224.473410,1780260224.711982,1,1
12,16,1780260224.473410,1780260224.711982,2,1
12,16,1780260224.473410,1780260224.711982,3,1
12,16,1780260224.473410,1780260224.711982,4,0
12,16,1780260224.473410,1780260224.711982,5,0
13,17,1780260225.473928,1780260225.554610,1,0
13,17,1780260225.473928,1780260225.554610,2,0
13,17,1780260225.473928,1780260225.554610,3,0
13,17,1780260225.473928,1780260225.554610,4,1
13,17,1780260225.473928,1780260225.554610,5,0
14,18,1780260226.478319,1780260226.612367,1,1
14,18,1780260226.478319,1780260226.612367,2,1
14,18,1780260226.478319,1780260226.612367,3,1
14,18,1780260226.478319,1780260226.612367,4,1
14,18,1780260226.478319,1780260226.612367,5,1
15,19,1780260227.491241,1780260227.632746,1,1
15,19,1780260227.491241,1780260227.632746,2,1
15,19,1780260227.491241,1780260227.632746,3,1
15,19,1780260227.491241,1780260227.632746,4,0
15,19,1780260227.491241,1780260227.632746,5,0
16,20,1780260228.510044,1780260228.631251,1,1
16,20,1780260228.510044,1780260228.631251,2,0
16,20,1780260228.510044,1780260228.631251,3,0
16,20,1780260228.510044,1780260228.631251,4,1
16,20,1780260228.510044,1780260228.631251,5,0
17,21,1780260229.510699,1780260229.716580,1,0
17,21,1780260229.510699,1780260229.716580,2,0
17,21,1780260229.510699,1780260229.716580,3,0
17,21,1780260229.510699,1780260229.716580,4,1
17,21,1780260229.510699,1780260229.716580,5,0
18,22,1780260230.519453,1780260230.833021,1,1
18,22,1780260230.519453,1780260230.833021,2,1
18,22,1780260230.519453,1780260230.833021,3,0
18,22,1780260230.519453,1780260230.833021,4,1
18,22,1780260230.519453,1780260230.833021,5,0
20,24,1780260231.968795,1780260232.193541,1,1
20,24,1780260231.968795,1780260232.193541,2,0
20,24,1780260231.968795,1780260232.193541,3,0
20,24,1780260231.968795,1780260232.193541,4,1
20,24,1780260231.968795,1780260232.193541,5,0
21,25,1780260233.150691,1780260233.431409,1,1
21,25,1780260233.150691,1780260233.431409,2,1
21,25,1780260233.150691,1780260233.431409,3,1
21,25,1780260233.150691,1780260233.431409,4,1
21,25,1780260233.150691,1780260233.431409,5,0
21,25,1780260234.471475,1780260234.794413,1,1
21,25,1780260234.471475,1780260234.794413,2,1
21,25,1780260234.471475,1780260234.794413,3,0
21,25,1780260234.471475,1780260234.794413,4,1
21,25,1780260234.471475,1780260234.794413,5,0
23,27,1780260235.615083,1780260235.885340,1,0
23,27,1780260235.615083,1780260235.885340,2,0
23,27,1780260235.615083,1780260235.885340,3,0
23,27,1780260235.615083,1780260235.885340,4,1
23,27,1780260235.615083,1780260235.885340,5,0
24,28,1780260236.866145,1780260237.104977,1,1
24,28,1780260236.866145,1780260237.104977,2,1
24,28,1780260236.866145,1780260237.104977,3,0
24,28,1780260236.866145,1780260237.104977,4,1
24,28,1780260236.866145,1780260237.104977,5,0
26,30,1780260237.973786,1780260238.217017,1,1
26,30,1780260237.973786,1780260238.217017,2,0
26,30,1780260237.973786,1780260238.217017,3,0
26,30,1780260237.973786,1780260238.217017,4,1
26,30,1780260237.973786,1780260238.217017,5,0
27,31,1780260238.974248,1780260239.179796,1,1
27,31,1780260238.974248,1780260239.179796,2,1
27,31,1780260238.974248,1780260239.179796,3,1
27,31,1780260238.974248,1780260239.179796,4,1
27,31,1780260238.974248,1780260239.179796,5,0
28,32,1780260239.974498,1780260240.257505,1,1
28,32,1780260239.974498,1780260240.257505,2,1
28,32,1780260239.974498,1780260240.257505,3,0
28,32,1780260239.974498,1780260240.257505,4,1
28,32,1780260239.974498,1780260240.257505,5,0
29,33,1780260241.358866,1780260241.663188,1,0
29,33,1780260241.358866,1780260241.663188,2,0
29,33,1780260241.358866,1780260241.663188,3,0
29,33,1780260241.358866,1780260241.663188,4,1
29,33,1780260241.358866,1780260241.663188,5,0
31,35,1780260242.814571,1780260243.100772,1,1
31,35,1780260242.814571,1780260243.100772,2,1
31,35,1780260242.814571,1780260243.100772,3,1
31,35,1780260242.814571,1780260243.100772,4,1
31,35,1780260242.814571,1780260243.100772,5,0
32,36,1780260243.824400,1780260243.984930,1,1
32,36,1780260243.824400,1780260243.984930,2,0
32,36,1780260243.824400,1780260243.984930,3,0
32,36,1780260243.824400,1780260243.984930,4,1
32,36,1780260243.824400,1780260243.984930,5,0
32,36,1780260245.265522,1780260245.509867,1,0
32,36,1780260245.265522,1780260245.509867,2,0
32,36,1780260245.265522,1780260245.509867,3,0
32,36,1780260245.265522,1780260245.509867,4,1
32,36,1780260245.265522,1780260245.509867,5,0
34,38,1780260246.265825,1780260246.459236,1,1
34,38,1780260246.265825,1780260246.459236,2,1
34,38,1780260246.265825,1780260246.459236,3,1
34,38,1780260246.265825,1780260246.459236,4,1
34,38,1780260246.265825,1780260246.459236,5,0
35,39,1780260247.266517,1780260247.509746,1,1
35,39,1780260247.266517,1780260247.509746,2,0
35,39,1780260247.266517,1780260247.509746,3,0
35,39,1780260247.266517,1780260247.509746,4,1
35,39,1780260247.266517,1780260247.509746,5,0
36,40,1780260248.266666,1780260248.459567,1,1
36,40,1780260248.266666,1780260248.459567,2,1
36,40,1780260248.266666,1780260248.459567,3,1
36,40,1780260248.266666,1780260248.459567,4,1
36,40,1780260248.266666,1780260248.459567,5,0
37,41,1780260249.278436,1780260249.334595,1,1
37,41,1780260249.278436,1780260249.334595,2,0
37,41,1780260249.278436,1780260249.334595,3,0
37,41,1780260249.278436,1780260249.334595,4,1
37,41,1780260249.278436,1780260249.334595,5,0
38,42,1780260250.279355,1780260250.328922,1,1
38,42,1780260250.279355,1780260250.328922,2,1
38,42,1780260250.279355,1780260250.328922,3,0
38,42,1780260250.279355,1780260250.328922,4,1
38,42,1780260250.279355,1780260250.328922,5,0
39,43,1780260251.298685,1780260251.387984,1,1
39,43,1780260251.298685,1780260251.387984,2,1
39,43,1780260251.298685,1780260251.387984,3,0
39,43,1780260251.298685,1780260251.387984,4,1
39,43,1780260251.298685,1780260251.387984,5,0
40,44,1780260252.301214,1780260252.381480,1,1
40,44,1780260252.301214,1780260252.381480,2,1
40,44,1780260252.301214,1780260252.381480,3,1
40,44,1780260252.301214,1780260252.381480,4,1
40,44,1780260252.301214,1780260252.381480,5,0
41,45,1780260253.302172,1780260253.391366,1,1
41,45,1780260253.302172,1780260253.391366,2,1
41,45,1780260253.302172,1780260253.391366,3,1
41,45,1780260253.302172,1780260253.391366,4,1
41,45,1780260253.302172,1780260253.391366,5,0
42,46,1780260254.302332,1780260254.387838,1,0
42,46,1780260254.302332,1780260254.387838,2,0
42,46,1780260254.302332,1780260254.387838,3,0
42,46,1780260254.302332,1780260254.387838,4,1
42,46,1780260254.302332,1780260254.387838,5,0
43,47,1780260255.307180,1780260255.429615,1,0
43,47,1780260255.307180,1780260255.429615,2,0
43,47,1780260255.307180,1780260255.429615,3,0
43,47,1780260255.307180,1780260255.429615,4,1
