cmd_id,origin_cycle,ts_received,bus,breaker_DT
0,0,1780260312.960365,1,1
0,0,1780260312.960365,2,1
0,0,1780260312.960365,3,1
0,0,1780260312.960365,4,1
0,0,1780260312.960365,5,1
0,0,1780260313.963190,1,1
0,0,1780260313.963190,2,1
0,0,1780260313.963190,3,1
0,0,1780260313.963190,4,1
0,0,1780260313.963190,5,1
0,0,1780260314.964224,1,1
0,0,1780260314.964224,2,1
0,0,1780260314.964224,3,1
0,0,1780260314.964224,4,1
0,0,1780260314.964224,5,1
0,0,1780260315.964703,1,1
0,0,1780260315.964703,2,1
0,0,1780260315.964703,3,1
0,0,1780260315.964703,4,1
0,0,1780260315.964703,5,1
0,0,1780260316.965000,1,1
0,0,1780260316.965000,2,1
0,0,1780260316.965000,3,0
0,0,1780260316.965000,4,0
0,0,1780260316.965000,5,1
1,5,1780260317.968360,1,1
1,5,1780260317.968360,2,1
1,5,1780260317.968360,3,0
1,5,1780260317.968360,4,0
1,5,1780260317.968360,5,0
1,5,1780260318.968718,1,1
1,5,1780260318.968718,2,1
1,5,1780260318.968718,3,0
1,5,1780260318.968718,4,0
1,5,1780260318.968718,5,0
1,5,1780260319.970378,1,0
1,5,1780260319.970378,2,0
1,5,1780260319.970378,3,0
1,5,1780260319.970378,4,0
1,5,1780260319.970378,5,0
3,8,1780260320.972312,1,0
3,8,1780260320.972312,2,0
3,8,1780260320.972312,3,0
3,8,1780260320.972312,4,1
3,8,1780260320.972312,5,1
4,9,1780260321.982993,1,0
4,9,1780260321.982993,2,0
4,9,1780260321.982993,3,0
4,9,1780260321.982993,4,1
4,9,1780260321.982993,5,1
7,14,1780260322.983626,1,0
7,14,1780260322.983626,2,0
7,14,1780260322.983626,3,0
7,14,1780260322.983626,4,1
7,14,1780260322.983626,5,1
10,18,1780260323.987159,1,1
10,18,1780260323.987159,2,1
10,18,1780260323.987159,3,1
10,18,1780260323.987159,4,0
10,18,1780260323.987159,5,0
13,21,1780260324.987216,1,1
13,21,1780260324.987216,2,0
13,21,1780260324.987216,3,0
13,21,1780260324.987216,4,1
13,21,1780260324.987216,5,1
14,22,1780260325.988618,1,1
14,22,1780260325.988618,2,1
14,22,1780260325.988618,3,1
14,22,1780260325.988618,4,1
14,22,1780260325.988618,5,1
15,23,1780260326.989302,1,1
15,23,1780260326.989302,2,1
15,23,1780260326.989302,3,1
15,23,1780260326.989302,4,1
15,23,1780260326.989302,5,0
16,24,1780260327.996518,1,1
16,24,1780260327.996518,2,1
16,24,1780260327.996518,3,0
16,24,1780260327.996518,4,1
16,24,1780260327.996518,5,1
17,25,1780260328.996647,1,0
17,25,1780260328.996647,2,0
17,25,1780260328.996647,3,0
17,25,1780260328.996647,4,1
17,25,1780260328.996647,5,1
18,26,1780260330.000905,1,0
18,26,1780260330.000905,2,0
18,26,1780260330.000905,3,0
18,26,1780260330.000905,4,1
18,26,1780260330.000905,5,0
19,27,1780260331.002075,1,1
19,27,1780260331.002075,2,1
19,27,1780260331.002075,3,0
19,27,1780260331.002075,4,1
19,27,1780260331.002075,5,1
20,28,1780260332.002364,1,1
20,28,1780260332.002364,2,0
20,28,1780260332.002364,3,0
20,28,1780260332.002364,4,1
20,28,1780260332.002364,5,1
21,29,1780260333.003409,1,1
21,29,1780260333.003409,2,1
21,29,1780260333.003409,3,1
21,29,1780260333.003409,4,1
21,29,1780260333.003409,5,0
22,30,1780260334.008921,1,1
22,30,1780260334.008921,2,1
22,30,1780260334.008921,3,0
22,30,1780260334.008921,4,1
22,30,1780260334.008921,5,1
23,31,1780260335.010010,1,0
23,31,1780260335.010010,2,0
23,31,1780260335.010010,3,0
23,31,1780260335.010010,4,1
23,31,1780260335.010010,5,0
24,32,1780260336.010249,1,1
24,32,1780260336.010249,2,1
24,32,1780260336.010249,3,1
24,32,1780260336.010249,4,1
24,32,1780260336.010249,5,0
25,33,1780260337.010946,1,1
25,33,1780260337.010946,2,0
25,33,1780260337.010946,3,0
25,33,1780260337.010946,4,1
25,33,1780260337.010946,5,1
26,34,1780260338.011194,1,1
26,34,1780260338.011194,2,1
26,34,1780260338.011194,3,1
26,34,1780260338.011194,4,1
26,34,1780260338.011194,5,0
27,35,1780260339.011436,1,1
27,35,1780260339.011436,2,1
27,35,1780260339.011436,3,1
27,35,1780260339.011436,4,1
27,35,1780260339.011436,5,0
28,36,1780260340.011980,1,1
28,36,1780260340.011980,2,1
28,36,1780260340.011980,3,0
28,36,1780260340.011980,4,1
28,36,1780260340.011980,5,1
29,37,1780260341.013535,1,0
29,37,1780260341.013535,2,0
29,37,1780260341.013535,3,0
29,37,1780260341.013535,4,1
29,37,1780260341.013535,5,0
30,38,1780260342.060369,1,1
30,38,1780260342.060369,2,1
30,38,1780260342.060369,3,1
30,38,1780260342.060369,4,1
30,38,1780260342.060369,5,1
31,39,1780260343.062925,1,1
31,39,1780260343.062925,2,0
31,39,1780260343.062925,3,0
31,39,1780260343.062925,4,1
31,39,1780260343.062925,5,1
32,40,1780260344.067280,1,1
32,40,1780260344.067280,2,0
32,40,1780260344.067280,3,0
32,40,1780260344.067280,4,1
32,40,1780260344.067280,5,1
33,41,1780260345.068474,1,1
33,41,1780260345.068474,2,1
