cycle_id,ts_received,ts_sent,bus,V_sent,I_sent,power_factor,breaker_actual
11,1780260312.536791,1780260312.538074,1,1.021184,754.111323,0.971400,1
11,1780260313.428343,1780260313.428872,2,1.005002,436.516210,0.951200,1
11,1780260314.176535,1780260314.178421,3,1.010519,400.448227,0.904100,1
11,1780260314.823302,1780260314.824211,4,1.004926,451.750834,0.915000,1
11,1780260315.496942,1780260315.497815,5,1.004331,506.097716,0.968400,1
16,1780260317.066931,1780260317.068205,1,1.020916,859.397799,0.917000,1
16,1780260317.641523,1780260317.644357,2,1.008563,351.003315,0.917500,1
16,1780260318.141160,1780260318.143658,3,1.006926,476.591232,0.918000,0
16,1780260318.590396,1780260318.590885,4,1.008017,472.809629,0.884100,0
16,1780260319.028877,1780260319.029769,5,1.008670,481.862175,0.985900,0
19,1780260320.081740,1780260320.082758,1,1.018139,0.000000,1.000000,0
19,1780260320.523377,1780260320.523815,2,1.005968,441.473701,0.942300,0
19,1780260320.964811,1780260320.965490,3,1.006896,486.572641,0.957500,0
19,1780260321.010816,1780260321.011379,4,1.008658,468.797965,0.884100,1
19,1780260321.032320,1780260321.032930,5,1.005438,481.898049,0.985900,1
20,1780260321.101291,1780260321.101881,1,1.017576,0.367138,1.000000,0
20,1780260321.182216,1780260321.182675,2,1.008280,439.398719,0.942300,0
20,1780260321.302587,1780260321.303571,3,1.005145,488.159365,0.957500,0
20,1780260321.408453,1780260321.409627,4,1.003957,469.750943,0.884100,1
20,1780260321.510584,1780260321.511708,5,1.006682,478.840776,0.985900,1
21,1780260322.176265,1780260322.177085,1,1.021492,0.000000,1.000000,0
21,1780260322.279306,1780260322.281804,2,1.002606,442.875102,0.942300,0
21,1780260322.363532,1780260322.364222,3,1.007008,487.618763,0.957500,0
21,1780260322.462695,1780260322.463348,4,1.014322,470.776699,0.884100,1
21,1780260322.511558,1780260322.512096,5,1.007358,478.117915,0.985900,1
22,1780260323.178360,1780260323.179668,1,1.021846,0.000000,1.000000,1
22,1780260323.273729,1780260323.275311,2,1.005642,439.736152,0.942300,1
22,1780260323.363695,1780260323.364598,3,1.002097,485.403318,0.957500,1
22,1780260323.457127,1780260323.457587,4,1.013867,467.185645,0.884100,0
22,1780260323.566357,1780260323.567159,5,1.002627,480.425693,0.985900,0
23,1780260324.312569,1780260324.313133,1,1.024330,437.667745,0.676700,1
23,1780260324.490657,1780260324.491225,2,1.006300,265.589314,0.974300,0
23,1780260324.674436,1780260324.675033,3,1.010072,469.162274,0.954800,0
23,1780260324.852157,1780260324.854921,4,1.006641,433.666057,0.961900,1
23,1780260325.098812,1780260325.100909,5,1.010305,480.302544,0.985900,1
24,1780260325.432085,1780260325.434247,1,1.020737,405.151544,0.974300,1
24,1780260325.582572,1780260325.583648,2,1.019782,405.428543,0.975800,1
24,1780260325.717580,1780260325.722547,3,1.010556,471.088273,0.954800,1
24,1780260325.834858,1780260325.835502,4,1.005295,434.122600,0.961900,1
24,1780260325.946064,1780260325.946915,5,1.009865,480.861102,0.985900,1
25,1780260326.391738,1780260326.392211,1,1.014078,827.016147,0.970700,1
25,1780260326.499133,1780260326.502056,2,1.012527,413.883179,0.910300,1
25,1780260326.610381,1780260326.610833,3,1.008448,417.295958,0.929500,1
25,1780260326.719673,1780260326.721841,4,1.006066,473.515159,0.882500,1
25,1780260326.838698,1780260326.839158,5,1.008656,463.408125,0.984900,0
26,1780260327.437785,1780260327.438694,1,1.020975,780.408080,0.971000,1
26,1780260327.600948,1780260327.603709,2,1.011361,356.818490,0.916900,1
26,1780260327.711193,1780260327.713257,3,1.007015,418.411229,0.945700,0
26,1780260327.900452,1780260327.901105,4,1.013125,476.273532,0.873000,1
26,1780260328.113475,1780260328.113930,5,1.004359,472.619683,0.962500,1
27,1780260328.392241,1780260328.393997,1,1.024396,847.366094,0.935500,0
27,1780260328.504075,1780260328.507589,2,1.003860,436.497878,0.952000,0
27,1780260328.661781,1780260328.662789,3,1.005553,411.519667,0.926600,0
27,1780260328.753191,1780260328.754409,4,1.014214,474.692929,0.873000,1
27,1780260328.836724,1780260328.837205,5,1.010782,469.297517,0.962500,1
28,1780260329.412034,1780260329.413343,1,1.017639,0.947282,1.000000,0
