cmd_id,origin_cycle,ts_received,bus,breaker_DT
0,0,1780259824.132148,1,1
0,0,1780259824.132148,2,1
0,0,1780259824.132148,3,1
0,0,1780259824.132148,4,1
0,0,1780259824.132148,5,1
0,0,1780259826.620078,1,1
0,0,1780259826.620078,2,1
0,0,1780259826.620078,3,1
0,0,1780259826.620078,4,1
0,0,1780259826.620078,5,1
0,0,1780259827.621951,1,1
0,0,1780259827.621951,2,1
0,0,1780259827.621951,3,1
0,0,1780259827.621951,4,1
0,0,1780259827.621951,5,1
0,0,1780259828.622117,1,1
0,0,1780259828.622117,2,1
0,0,1780259828.622117,3,1
0,0,1780259828.622117,4,1
0,0,1780259828.622117,5,1
0,0,1780259829.623598,1,1
0,0,1780259829.623598,2,1
0,0,1780259829.623598,3,1
0,0,1780259829.623598,4,1
0,0,1780259829.623598,5,1
0,0,1780259830.624963,1,1
0,0,1780259830.624963,2,1
0,0,1780259830.624963,3,1
0,0,1780259830.624963,4,1
0,0,1780259830.624963,5,1
0,0,1780259831.626276,1,1
0,0,1780259831.626276,2,1
0,0,1780259831.626276,3,1
0,0,1780259831.626276,4,1
0,0,1780259831.626276,5,1
0,0,1780259832.627036,1,1
0,0,1780259832.627036,2,1
0,0,1780259832.627036,3,1
0,0,1780259832.627036,4,1
0,0,1780259832.627036,5,1
0,0,1780259833.629310,1,1
0,0,1780259833.629310,2,1
0,0,1780259833.629310,3,1
0,0,1780259833.629310,4,1
0,0,1780259833.629310,5,1
3,6,1780259834.629987,1,1
3,6,1780259834.629987,2,1
3,6,1780259834.629987,3,1
3,6,1780259834.629987,4,1
3,6,1780259834.629987,5,1
5,8,1780259835.630874,1,1
5,8,1780259835.630874,2,1
5,8,1780259835.630874,3,1
5,8,1780259835.630874,4,1
5,8,1780259835.630874,5,1
6,9,1780259836.631284,1,1
6,9,1780259836.631284,2,1
6,9,1780259836.631284,3,1
6,9,1780259836.631284,4,1
6,9,1780259836.631284,5,1
7,10,1780259837.632094,1,1
7,10,1780259837.632094,2,1
7,10,1780259837.632094,3,1
7,10,1780259837.632094,4,1
7,10,1780259837.632094,5,1
0,0,1780259921.506696,1,1
0,0,1780259921.506696,2,1
0,0,1780259921.506696,3,1
0,0,1780259921.506696,4,1
0,0,1780259921.506696,5,1
0,0,1780259922.508156,1,1
0,0,1780259922.508156,2,1
0,0,1780259922.508156,3,1
0,0,1780259922.508156,4,1
0,0,1780259922.508156,5,1
0,0,1780259923.508509,1,1
0,0,1780259923.508509,2,1
0,0,1780259923.508509,3,1
0,0,1780259923.508509,4,1
0,0,1780259923.508509,5,1
0,0,1780259924.509932,1,1
0,0,1780259924.509932,2,1
0,0,1780259924.509932,3,1
0,0,1780259924.509932,4,1
0,0,1780259924.509932,5,1
0,0,1780259925.510128,1,1
0,0,1780259925.510128,2,1
0,0,1780259925.510128,3,1
0,0,1780259925.510128,4,1
0,0,1780259925.510128,5,1
0,0,1780259926.510428,1,1
0,0,1780259926.510428,2,1
0,0,1780259926.510428,3,1
0,0,1780259926.510428,4,1
0,0,1780259926.510428,5,1
0,0,1780259927.511839,1,1
0,0,1780259927.511839,2,1
0,0,1780259927.511839,3,1
0,0,1780259927.511839,4,1
0,0,1780259927.511839,5,1
0,0,1780259928.513512,1,1
0,0,1780259928.513512,2,1
0,0,1780259928.513512,3,1
0,0,1780259928.513512,4,1
0,0,1780259928.513512,5,1
3,7,1780259929.514441,1,1
3,7,1780259929.514441,2,1
3,7,1780259929.514441,3,1
3,7,1780259929.514441,4,1
3,7,1780259929.514441,5,1
4,8,1780259930.515747,1,1
4,8,1780259930.515747,2,1
4,8,1780259930.515747,3,1
4,8,1780259930.515747,4,1
4,8,1780259930.515747,5,1
5,9,1780259931.516744,1,1
5,9,1780259931.516744,2,1
5,9,1780259931.516744,3,1
5,9,1780259931.516744,4,1
5,9,1780259931.516744,5,1
6,10,1780259932.516925,1,1
6,10,1780259932.516925,2,1
6,10,1780259932.516925,3,1
6,10,1780259932.516925,4,1
6,10,1780259932.516925,5,1
0,0,1780260016.423453,1,1
0,0,1780260016.423453,2,1
0,0,1780260016.423453,3,1
0,0,1780260016.423453,4,1
0,0,1780260016.423453,5,1
0,0,1780260017.425961,1,1
0,0,1780260017.425961,2,1
0,0,1780260017.425961,3,1
0,0,1780260017.425961,4,1
0,0,1780260017.425961,5,1
0,0,1780260018.428396,1,1
0,0,1780260018.428396,2,1
0,0,1780260018.428396,3,1
0,0,1780260018.428396,4,1
0,0,1780260018.428396,5,1
0,0,1780260019.429575,1,1
0,0,1780260019.429575,2,1
0,0,1780260019.429575,3,1
0,0,1780260019.429575,4,1
0,0,1780260019.429575,5,1
0,0,1780260020.429978,1,1
0,0,1780260020.429978,2,1
0,0,1780260020.429978,3,1
0,0,1780260020.429978,4,1
0,0,1780260020.429978,5,1
0,0,1780260021.431281,1,1
0,0,1780260021.431281,2,1
0,0,1780260021.431281,3,1
0,0,1780260021.431281,4,1
0,0,1780260021.431281,5,1
0,0,1780260022.432000,1,1
0,0,1780260022.432000,2,1
0,0,1780260022.432000,3,1
0,0,1780260022.432000,4,1
0,0,1780260022.432000,5,1
1,3,1780260023.441740,1,1
1,3,1780260023.441740,2,1
1,3,1780260023.441740,3,0
1,3,1780260023.441740,4,0
1,3,1780260023.441740,5,0
5,7,1780260024.442055,1,0
5,7,1780260024.442055,2,0
5,7,1780260024.442055,3,0
5,7,1780260024.442055,4,1
5,7,1780260024.442055,5,1
6,8,1780260025.443480,1,1
6,8,1780260025.443480,2,1
6,8,1780260025.443480,3,1
6,8,1780260025.443480,4,0
6,8,1780260025.443480,5,1
7,9,1780260026.444624,1,1
7,9,1780260026.444624,2,0
7,9,1780260026.444624,3,0
7,9,1780260026.444624,4,1
7,9,1780260026.444624,5,1
