cmd_id,origin_cycle,ts_sent,bus,breaker_DT
10,13,1780259838.110231,1,1
10,13,1780259838.110231,2,1
10,13,1780259838.110231,3,1
10,13,1780259838.110231,4,1
10,13,1780259838.110231,5,1
11,14,1780259839.129468,1,1
11,14,1780259839.129468,2,1
11,14,1780259839.129468,3,1
11,14,1780259839.129468,4,1
11,14,1780259839.129468,5,1
12,15,1780259840.138825,1,1
12,15,1780259840.138825,2,1
12,15,1780259840.138825,3,1
12,15,1780259840.138825,4,1
12,15,1780259840.138825,5,1
13,16,1780259841.131696,1,1
13,16,1780259841.131696,2,1
13,16,1780259841.131696,3,1
13,16,1780259841.131696,4,1
13,16,1780259841.131696,5,1
14,17,1780259842.125949,1,1
14,17,1780259842.125949,2,1
14,17,1780259842.125949,3,1
14,17,1780259842.125949,4,1
14,17,1780259842.125949,5,1
15,18,1780259843.134218,1,1
15,18,1780259843.134218,2,1
15,18,1780259843.134218,3,1
15,18,1780259843.134218,4,1
15,18,1780259843.134218,5,1
16,19,1780259844.164852,1,1
16,19,1780259844.164852,2,1
16,19,1780259844.164852,3,1
16,19,1780259844.164852,4,1
16,19,1780259844.164852,5,1
17,20,1780259845.150238,1,1
17,20,1780259845.150238,2,1
17,20,1780259845.150238,3,1
17,20,1780259845.150238,4,1
17,20,1780259845.150238,5,1
18,21,1780259846.184178,1,1
18,21,1780259846.184178,2,1
18,21,1780259846.184178,3,1
18,21,1780259846.184178,4,1
18,21,1780259846.184178,5,1
19,22,1780259847.178059,1,1
19,22,1780259847.178059,2,1
19,22,1780259847.178059,3,1
19,22,1780259847.178059,4,1
19,22,1780259847.178059,5,1
20,23,1780259848.163909,1,1
20,23,1780259848.163909,2,1
20,23,1780259848.163909,3,1
20,23,1780259848.163909,4,1
20,23,1780259848.163909,5,1
21,24,1780259849.166940,1,1
21,24,1780259849.166940,2,1
21,24,1780259849.166940,3,1
21,24,1780259849.166940,4,1
21,24,1780259849.166940,5,1
22,25,1780259850.170647,1,1
22,25,1780259850.170647,2,1
22,25,1780259850.170647,3,1
22,25,1780259850.170647,4,1
22,25,1780259850.170647,5,1
23,26,1780259851.202050,1,1
23,26,1780259851.202050,2,1
23,26,1780259851.202050,3,1
23,26,1780259851.202050,4,1
23,26,1780259851.202050,5,1
24,27,1780259852.177974,1,1
24,27,1780259852.177974,2,1
24,27,1780259852.177974,3,1
24,27,1780259852.177974,4,1
24,27,1780259852.177974,5,1
25,28,1780259853.198830,1,1
25,28,1780259853.198830,2,1
25,28,1780259853.198830,3,1
25,28,1780259853.198830,4,1
25,28,1780259853.198830,5,1
26,29,1780259854.183470,1,1
26,29,1780259854.183470,2,1
26,29,1780259854.183470,3,1
26,29,1780259854.183470,4,1
26,29,1780259854.183470,5,1
27,30,1780259855.188335,1,1
27,30,1780259855.188335,2,1
27,30,1780259855.188335,3,1
27,30,1780259855.188335,4,1
27,30,1780259855.188335,5,1
28,31,1780259856.186806,1,1
28,31,1780259856.186806,2,1
28,31,1780259856.186806,3,1
28,31,1780259856.186806,4,1
28,31,1780259856.186806,5,1
29,32,1780259857.194653,1,1
29,32,1780259857.194653,2,1
29,32,1780259857.194653,3,1
29,32,1780259857.194653,4,1
29,32,1780259857.194653,5,1
30,33,1780259858.215004,1,1
30,33,1780259858.215004,2,1
30,33,1780259858.215004,3,1
30,33,1780259858.215004,4,1
30,33,1780259858.215004,5,1
31,34,1780259859.222370,1,1
31,34,1780259859.222370,2,1
31,34,1780259859.222370,3,1
31,34,1780259859.222370,4,1
31,34,1780259859.222370,5,1
32,35,1780259860.232874,1,1
32,35,1780259860.232874,2,1
32,35,1780259860.232874,3,1
32,35,1780259860.232874,4,1
32,35,1780259860.232874,5,1
33,36,1780259861.238256,1,1
33,36,1780259861.238256,2,1
33,36,1780259861.238256,3,1
33,36,1780259861.238256,4,1
33,36,1780259861.238256,5,1
34,37,1780259862.242112,1,1
34,37,1780259862.242112,2,1
34,37,1780259862.242112,3,1
34,37,1780259862.242112,4,1
34,37,1780259862.242112,5,1
35,38,1780259863.234925,1,1
35,38,1780259863.234925,2,1
35,38,1780259863.234925,3,1
35,38,1780259863.234925,4,1
35,38,1780259863.234925,5,1
36,39,1780259864.257850,1,1
36,39,1780259864.257850,2,1
36,39,1780259864.257850,3,1
36,39,1780259864.257850,4,1
36,39,1780259864.257850,5,1
37,40,1780259865.251999,1,1
37,40,1780259865.251999,2,1
37,40,1780259865.251999,3,1
37,40,1780259865.251999,4,1
37,40,1780259865.251999,5,1
38,41,1780259866.243949,1,1
38,41,1780259866.243949,2,1
38,41,1780259866.243949,3,1
38,41,1780259866.243949,4,1
38,41,1780259866.243949,5,1
39,42,1780259867.245036,1,1
39,42,1780259867.245036,2,1
39,42,1780259867.245036,3,1
39,42,1780259867.245036,4,1
39,42,1780259867.245036,5,1
40,43,1780259868.261354,1,1
40,43,1780259868.261354,2,1
40,43,1780259868.261354,3,1
40,43,1780259868.261354,4,1
40,43,1780259868.261354,5,1
41,44,1780259869.266142,1,1
41,44,1780259869.266142,2,1
41,44,1780259869.266142,3,1
41,44,1780259869.266142,4,1
41,44,1780259869.266142,5,1
42,45,1780259870.275874,1,1
42,45,1780259870.275874,2,1
42,45,1780259870.275874,3,1
42,45,1780259870.275874,4,1
42,45,1780259870.275874,5,1
43,46,1780259871.111191,1,1
43,46,1780259871.111191,2,1
43,46,1780259871.111191,3,1
43,46,1780259871.111191,4,1
43,46,1780259871.111191,5,1
44,47,1780259872.291031,1,1
44,47,1780259872.291031,2,1
44,47,1780259872.291031,3,1
44,47,1780259872.291031,4,1
44,47,1780259872.291031,5,1
45,48,1780259873.295247,1,1
45,48,1780259873.295247,2,1
45,48,1780259873.295247,3,1
45,48,1780259873.295247,4,1
45,48,1780259873.295247,5,1
46,49,1780259874.283505,1,1
46,49,1780259874.283505,2,1
46,49,1780259874.283505,3,1
46,49,1780259874.283505,4,1
46,49,1780259874.283505,5,1
47,50,1780259875.283936,1,1
47,50,1780259875.283936,2,1
47,50,1780259875.283936,3,1
47,50,1780259875.283936,4,1
47,50,1780259875.283936,5,1
48,51,1780259876.105268,1,1
48,51,1780259876.105268,2,1
48,51,1780259876.105268,3,1
48,51,1780259876.105268,4,1
48,51,1780259876.105268,5,1
49,52,1780259877.122021,1,1
49,52,1780259877.122021,2,1
49,52,1780259877.122021,3,1
49,52,1780259877.122021,4,1
49,52,1780259877.122021,5,1
50,53,1780259878.126601,1,1
50,53,1780259878.126601,2,1
50,53,1780259878.126601,3,1
50,53,1780259878.126601,4,1
50,53,1780259878.126601,5,1
51,54,1780259879.133258,1,1
51,54,1780259879.133258,2,1
51,54,1780259879.133258,3,1
51,54,1780259879.133258,4,1
51,54,1780259879.133258,5,1
52,55,1780259880.119485,1,1
52,55,1780259880.119485,2,1
52,55,1780259880.119485,3,1
52,55,1780259880.119485,4,1
52,55,1780259880.119485,5,1
53,56,1780259881.160006,1,1
53,56,1780259881.160006,2,1
53,56,1780259881.160006,3,1
53,56,1780259881.160006,4,1
53,56,1780259881.160006,5,1
54,57,1780259882.163033,1,1
54,57,1780259882.163033,2,1
54,57,1780259882.163033,3,1
54,57,1780259882.163033,4,1
54,57,1780259882.163033,5,1
55,58,1780259883.165490,1,1
55,58,1780259883.165490,2,1
55,58,1780259883.165490,3,1
55,58,1780259883.165490,4,1
55,58,1780259883.165490,5,1
56,59,1780259884.182836,1,1
56,59,1780259884.182836,2,1
56,59,1780259884.182836,3,1
56,59,1780259884.182836,4,1
56,59,1780259884.182836,5,1
57,60,1780259885.149170,1,1
57,60,1780259885.149170,2,1
57,60,1780259885.149170,3,1
57,60,1780259885.149170,4,1
57,60,1780259885.149170,5,1
58,61,1780259886.183637,1,1
58,61,1780259886.183637,2,1
58,61,1780259886.183637,3,1
58,61,1780259886.183637,4,1
58,61,1780259886.183637,5,1
59,62,1780259887.261131,1,1
59,62,1780259887.261131,2,1
59,62,1780259887.261131,3,1
59,62,1780259887.261131,4,1
59,62,1780259887.261131,5,1
60,63,1780259888.230992,1,1
60,63,1780259888.230992,2,1
60,63,1780259888.230992,3,1
60,63,1780259888.230992,4,1
60,63,1780259888.230992,5,1
61,64,1780259889.236432,1,1
61,64,1780259889.236432,2,1
61,64,1780259889.236432,3,1
61,64,1780259889.236432,4,1
61,64,1780259889.236432,5,1
62,65,1780259890.256633,1,1
62,65,1780259890.256633,2,1
62,65,1780259890.256633,3,1
62,65,1780259890.256633,4,1
62,65,1780259890.256633,5,1
63,66,1780259891.291481,1,1
63,66,1780259891.291481,2,1
63,66,1780259891.291481,3,1
63,66,1780259891.291481,4,1
63,66,1780259891.291481,5,1
64,67,1780259892.293976,1,1
64,67,1780259892.293976,2,1
64,67,1780259892.293976,3,1
64,67,1780259892.293976,4,1
64,67,1780259892.293976,5,1
65,68,1780259893.274602,1,1
65,68,1780259893.274602,2,1
65,68,1780259893.274602,3,1
65,68,1780259893.274602,4,1
65,68,1780259893.274602,5,1
66,69,1780259894.289156,1,1
66,69,1780259894.289156,2,1
66,69,1780259894.289156,3,1
66,69,1780259894.289156,4,1
66,69,1780259894.289156,5,1
67,70,1780259895.298718,1,1
67,70,1780259895.298718,2,1
67,70,1780259895.298718,3,1
67,70,1780259895.298718,4,1
67,70,1780259895.298718,5,1
68,71,1780259896.322353,1,1
68,71,1780259896.322353,2,1
68,71,1780259896.322353,3,1
68,71,1780259896.322353,4,1
68,71,1780259896.322353,5,1
69,72,1780259897.327769,1,1
69,72,1780259897.327769,2,1
69,72,1780259897.327769,3,1
69,72,1780259897.327769,4,1
69,72,1780259897.327769,5,1
70,73,1780259898.337958,1,1
70,73,1780259898.337958,2,1
70,73,1780259898.337958,3,1
70,73,1780259898.337958,4,1
70,73,1780259898.337958,5,1
71,74,1780259899.327538,1,1
71,74,1780259899.327538,2,1
71,74,1780259899.327538,3,1
71,74,1780259899.327538,4,1
71,74,1780259899.327538,5,1
72,75,1780259900.348739,1,1
72,75,1780259900.348739,2,1
72,75,1780259900.348739,3,1
72,75,1780259900.348739,4,1
72,75,1780259900.348739,5,1
73,76,1780259901.359294,1,1
73,76,1780259901.359294,2,1
73,76,1780259901.359294,3,1
73,76,1780259901.359294,4,1
73,76,1780259901.359294,5,1
74,77,1780259902.208255,1,1
74,77,1780259902.208255,2,1
74,77,1780259902.208255,3,1
74,77,1780259902.208255,4,1
74,77,1780259902.208255,5,1
75,78,1780259903.355342,1,1
75,78,1780259903.355342,2,1
75,78,1780259903.355342,3,1
75,78,1780259903.355342,4,1
75,78,1780259903.355342,5,1
76,79,1780259904.213952,1,1
76,79,1780259904.213952,2,1
76,79,1780259904.213952,3,1
76,79,1780259904.213952,4,1
76,79,1780259904.213952,5,1
77,82,1780259911.505648,1,1
77,82,1780259911.505648,2,1
77,82,1780259911.505648,3,1
77,82,1780259911.505648,4,1
77,82,1780259911.505648,5,1
78,84,1780259911.676519,1,1
78,84,1780259911.676519,2,1
78,84,1780259911.676519,3,1
78,84,1780259911.676519,4,1
78,84,1780259911.676519,5,1
79,86,1780259912.254163,1,1
79,86,1780259912.254163,2,1
79,86,1780259912.254163,3,1
79,86,1780259912.254163,4,1
79,86,1780259912.254163,5,1
80,88,1780259913.631593,1,1
80,88,1780259913.631593,2,1
80,88,1780259913.631593,3,1
80,88,1780259913.631593,4,1
80,88,1780259913.631593,5,1
81,89,1780259914.572473,1,1
81,89,1780259914.572473,2,1
81,89,1780259914.572473,3,1
81,89,1780259914.572473,4,1
81,89,1780259914.572473,5,1
82,90,1780259915.532674,1,1
82,90,1780259915.532674,2,1
82,90,1780259915.532674,3,1
82,90,1780259915.532674,4,1
82,90,1780259915.532674,5,1
83,91,1780259916.519773,1,1
83,91,1780259916.519773,2,1
83,91,1780259916.519773,3,1
83,91,1780259916.519773,4,1
83,91,1780259916.519773,5,1
84,92,1780259917.486371,1,1
84,92,1780259917.486371,2,1
84,92,1780259917.486371,3,1
84,92,1780259917.486371,4,1
84,92,1780259917.486371,5,1
85,93,1780259918.236948,1,1
85,93,1780259918.236948,2,1
85,93,1780259918.236948,3,1
85,93,1780259918.236948,4,1
85,93,1780259918.236948,5,1
