cycle_id,ts_received,ts_sent,bus,V_sent,I_sent,power_factor,breaker_actual
13,1780259837.968542,1780259837.968887,1,1.014078,722.582813,0.956500,1
13,1780259837.994214,1780259837.994912,2,1.013527,324.516512,0.902600,1
13,1780259838.003648,1780259838.004224,3,1.008448,401.229292,0.904100,1
13,1780259838.019410,1780259838.019813,4,1.006066,456.781826,0.915000,1
13,1780259838.030537,1780259838.030977,5,1.009656,459.208125,0.987700,1
14,1780259838.965041,1780259838.965647,1,1.020975,902.374746,0.980000,1
14,1780259838.973688,1780259838.974092,2,1.010361,430.351824,0.925200,1
14,1780259838.985925,1780259838.986456,3,1.006015,452.311229,0.915600,1
14,1780259838.996134,1780259838.996575,4,1.013125,518.406865,0.802000,1
14,1780259839.002055,1780259839.002417,5,1.004359,508.219683,0.968400,1
15,1780259839.971688,1780259839.972023,1,1.024396,778.999428,0.969300,1
15,1780259839.979788,1780259839.980129,2,1.006860,327.031211,0.919700,1
15,1780259839.990694,1780259839.991052,3,1.008553,442.053001,0.903600,1
15,1780259839.997239,1780259839.998003,4,1.014214,468.692929,0.884100,1
15,1780259840.007961,1780259840.008644,5,1.010782,478.164184,0.985900,1
16,1780259840.968642,1780259840.969162,1,1.017639,841.080615,0.975100,1
16,1780259840.976334,1780259840.977765,2,1.013386,352.288504,0.917500,1
16,1780259840.984776,1780259840.985689,3,1.009036,505.813535,0.925900,1
16,1780259840.992084,1780259840.992580,4,1.010457,515.729587,0.807500,1
16,1780259841.005659,1780259841.006128,5,1.006471,470.882821,0.951900,1
17,1780259841.965172,1780259841.965453,1,1.021718,761.301259,0.972400,1
17,1780259841.968827,1780259841.969544,2,1.013292,292.048817,0.950200,1
17,1780259841.975248,1780259841.976071,3,1.015032,475.220747,0.918000,1
17,1780259841.981732,1780259841.982771,4,1.008717,476.841173,0.870800,1
17,1780259841.997763,1780259841.999268,5,1.006961,463.752344,0.965300,1
18,1780259842.973551,1780259842.974232,1,1.018990,918.845406,0.984600,1
18,1780259842.979441,1780259842.979924,2,1.015512,436.686314,0.942300,1
18,1780259842.984656,1780259842.985347,3,1.004628,484.865846,0.957500,1
18,1780259842.990812,1780259842.991319,4,1.011195,479.091193,0.868400,1
18,1780259843.005615,1780259843.006341,5,1.005707,454.049386,0.978800,1
19,1780259843.978813,1780259843.979500,1,1.020846,771.316923,0.971200,1
19,1780259843.986426,1780259843.987017,2,1.018290,388.532699,0.943000,1
19,1780259843.999730,1780259844.000504,3,1.007337,377.050827,0.937700,1
19,1780259844.009478,1780259844.010629,4,1.009323,463.939221,0.895900,1
19,1780259844.015644,1780259844.015977,5,0.998816,463.202985,0.967400,1
20,1780259844.984007,1780259844.984350,1,1.023026,842.547157,0.983100,1
20,1780259844.990557,1780259844.990880,2,1.010800,339.796925,0.976300,1
20,1780259844.994202,1780259844.994577,3,1.011569,499.069911,0.903700,1
20,1780259845.012330,1780259845.014915,4,1.004896,505.969936,0.820800,1
20,1780259845.025736,1780259845.026700,5,1.005977,491.168268,0.957100,1
21,1780259845.972430,1780259845.972747,1,1.023275,827.009089,0.983000,1
21,1780259845.978918,1780259845.979272,2,1.014266,412.195352,0.969600,1
21,1780259845.988569,1780259845.988998,3,1.011049,380.295126,0.937500,1
21,1780259845.998447,1780259845.999018,4,1.010528,482.891982,0.864100,1
21,1780259846.008922,1780259846.009355,5,1.006552,496.986655,0.956100,1
22,1780259846.974847,1780259846.975361,1,1.022391,855.912066,0.978000,1
22,1780259846.980041,1780259846.980624,2,1.009735,403.766551,0.943200,1
22,1780259846.985868,1780259846.986509,3,1.011145,467.225944,0.927700,1
22,1780259846.991166,1780259846.991763,4,1.018236,493.413075,0.839700,1
22,1780259846.996316,1780259846.996971,5,1.009744,459.668095,0.963000,1
23,1780259847.977295,1780259847.977984,1,1.020397,766.724175,0.982700,1
23,1780259847.984774,1780259847.985070,2,1.011667,270.357968,0.974300,1
23,1780259847.990692,1780259847.992296,3,1.004418,468.035733,0.954800,1
23,1780259847.998290,1780259847.998714,4,1.011845,468.455262,0.884700,1
23,1780259848.011743,1780259848.012179,5,1.003920,479.961458,0.952300,1
24,1780259848.981488,1780259848.982421,1,1.023799,769.419837,0.976000,1
24,1780259848.988874,1780259848.989321,2,1.015419,404.760060,0.975800,1
24,1780259848.995293,1780259848.995948,3,1.009003,350.522873,0.923700,1
24,1780259849.004321,1780259849.005207,4,1.012298,447.250801,0.934500,1
