cycle_id,ts_received,ts_sent,bus,V_received,I_received,P_sent,Q_sent,breaker_actual
13,1780259932.807385,1780259932.807489,1,1.014000,722.566667,133.522411,40.724311,1
13,1780259932.808092,1780259932.808202,2,1.013000,324.500000,56.529193,26.960670,1
13,1780259932.808456,1780259932.808606,3,1.008000,401.200000,69.661246,32.925240,1
13,1780259932.808816,1780259932.809032,4,1.006000,456.766667,80.106322,35.321533,1
13,1780259932.809228,1780259932.809317,5,1.009000,459.200000,87.190950,13.803027,1
14,1780259933.809564,1780259933.809868,1,1.020000,902.366667,171.855171,34.896681,1
14,1780259933.811525,1780259933.811682,2,1.010000,430.333333,76.615263,31.424502,1
14,1780259933.812053,1780259933.812180,3,1.006000,452.300000,79.374987,34.857924,1
14,1780259933.812460,1780259933.812602,4,1.013000,518.400000,80.242069,59.763736,1
14,1780259933.812907,1780259933.813039,5,1.004000,508.200000,94.140493,24.244984,1
15,1780259934.809895,1780259934.810024,1,1.024000,778.966667,147.309364,37.367778,1
15,1780259934.810709,1780259934.810843,2,1.006000,327.000000,57.642822,24.607840,1
15,1780259934.811139,1780259934.811260,3,1.008000,442.033333,76.708782,36.365975,1
15,1780259934.811616,1780259934.811759,4,1.014000,468.666667,80.049150,42.310585,1
15,1780259934.812063,1780259934.812168,5,1.010000,478.133333,90.710294,15.396144,1
16,1780259935.810252,1780259935.810439,1,1.017000,841.066667,158.910957,36.140895,1
16,1780259935.810884,1780259935.810992,2,1.013000,352.266667,62.379283,27.041387,1
16,1780259935.811187,1780259935.811290,3,1.009000,505.800000,90.030029,36.732397,1
16,1780259935.811476,1780259935.811577,4,1.010000,515.700000,80.133544,58.536444,1
16,1780259935.811756,1780259935.811851,5,1.006000,470.866667,85.909377,27.653529,1
17,1780259936.810592,1780259936.810704,1,1.021000,761.300000,144.005750,34.553092,1
17,1780259936.811139,1780259936.812405,2,1.013000,292.033333,53.556256,17.565052,1
17,1780259936.812859,1780259936.813015,3,1.015000,475.200000,84.360368,36.444082,1
17,1780259936.813241,1780259936.813346,4,1.008000,476.833333,79.744157,45.022063,1
17,1780259936.813645,1780259936.813761,5,1.006000,463.733333,85.798938,23.211263,1
18,1780259937.811438,1780259937.811539,1,1.018000,918.833333,175.467894,31.155497,1
18,1780259937.811970,1780259937.812073,2,1.015000,436.666667,79.571691,28.269326,1
18,1780259937.812263,1780259937.812351,3,1.004000,484.833333,88.801086,26.750065,1
18,1780259937.812612,1780259937.812711,4,1.011000,479.066667,80.134630,45.757606,1
