cycle_id,ts_received,bus,line,V_DT,I_line,breaker_actual
13,1780259932.929183,1,1,1.020000,723.107467,1
13,1780259932.929183,2,2,1.010637,405.390787,1
13,1780259932.929183,3,3,1.008886,116.103820,1
13,1780259932.929183,4,4,1.010000,459.860957,1
13,1780259932.929183,5,,1.007550,0.000000,1
14,1780259933.930933,1,1,1.020000,901.616930,1
14,1780259933.930933,2,2,1.009769,487.970302,1
14,1780259933.930933,3,3,1.008218,195.489661,1
14,1780259933.930933,4,4,1.010000,506.755467,1
14,1780259933.930933,5,,1.006862,0.000000,1
15,1780259934.933164,1,1,1.020000,776.849508,1
15,1780259934.933164,2,2,1.010523,458.961178,1
15,1780259934.933164,3,3,1.008662,147.263558,1
15,1780259934.933164,4,4,1.010000,479.369353,1
15,1780259934.933164,5,,1.007396,0.000000,1
16,1780259935.944947,1,1,1.020000,842.684655,1
16,1780259935.944947,2,2,1.010110,501.413618,1
16,1780259935.944947,3,3,1.008272,162.051498,1
16,1780259935.944947,4,4,1.010000,470.470515,1
16,1780259935.944947,5,,1.006847,0.000000,1
17,1780259936.954128,1,1,1.020000,766.332713,1
17,1780259936.954128,2,2,1.010865,475.876321,1
17,1780259936.954128,3,3,1.008790,118.933416,1
17,1780259936.954128,4,4,1.010000,463.234648,1
17,1780259936.954128,5,,1.007083,0.000000,1
18,1780259937.958399,1,1,1.020000,914.913063,1
18,1780259937.958399,2,2,1.009994,489.559113,1
18,1780259937.958399,3,3,1.008461,143.896661,1
18,1780259937.958399,4,4,1.010000,452.960099,1
18,1780259937.958399,5,,1.007381,0.000000,1
19,1780259938.960870,1,1,1.020000,770.091673,1
19,1780259938.960870,2,2,1.010682,383.377088,1
19,1780259938.960870,3,3,1.009123,89.872818,1
19,1780259938.960870,4,4,1.010000,458.995219,1
19,1780259938.960870,5,,1.007143,0.000000,1
20,1780259939.965552,1,1,1.020000,848.453502,1
20,1780259939.965552,2,2,1.010628,509.608681,1
20,1780259939.965552,3,3,1.008506,156.966387,1
20,1780259939.965552,4,4,1.010000,490.295215,1
20,1780259939.965552,5,,1.006786,0.000000,1
21,1780259940.967307,1,1,1.020000,828.679936,1
21,1780259940.967307,2,2,1.010795,417.547707,1
21,1780259940.967307,3,3,1.009173,110.245986,1
21,1780259940.967307,4,4,1.010000,496.606156,1
21,1780259940.967307,5,,1.006730,0.000000,1
22,1780259941.970325,1,1,1.020000,858.446859,1
22,1780259941.970325,2,2,1.010126,462.960001,1
22,1780259941.970325,3,3,1.008424,146.922921,1
22,1780259941.970325,4,4,1.010000,460.549766,1
22,1780259941.970325,5,,1.007065,0.000000,1
23,1780259942.992086,1,1,1.020000,758.564962,1
23,1780259942.992086,2,2,1.011496,488.864610,1
23,1780259942.992086,3,3,1.009400,77.006609,1
23,1780259942.992086,4,4,1.010000,478.121456,1
23,1780259942.992086,5,,1.006801,0.000000,1
24,1780259943.994843,1,1,1.020000,767.512965,1
24,1780259943.994843,2,2,1.011022,361.263955,1
24,1780259943.994843,3,3,1.009366,73.127296,1
24,1780259943.994843,4,4,1.010000,456.157198,1
24,1780259943.994843,5,,1.007396,0.000000,1
25,1780259944.998772,1,1,1.020000,826.671079,1
25,1780259944.998772,2,2,1.010017,426.416838,1
25,1780259944.998772,3,3,1.008556,144.428962,1
25,1780259944.998772,4,4,1.010000,463.725632,1
25,1780259944.998772,5,,1.007456,0.000000,1
26,1780259946.003194,1,1,1.020000,782.052477,1
26,1780259946.003194,2,2,1.010590,436.538193,1
26,1780259946.003194,3,3,1.008957,110.794689,1
26,1780259946.003194,4,4,1.010000,472.679412,1
26,1780259946.003194,5,,1.006980,0.000000,1
27,1780259947.007804,1,1,1.020000,844.560238,1
