cycle_id,ts_received,ts_sent,bus,V_received,I_received,P_sent,Q_sent,breaker_actual
0,1780260515.101503,1780260515.101989,1,0.000000,0.000000,0.000000,0.000000,0
0,1780260515.110416,1780260515.110702,2,0.000000,0.000000,0.000000,0.000000,0
0,1780260515.111382,1780260515.111518,3,0.000000,0.000000,0.000000,0.000000,0
0,1780260515.111729,1780260515.111868,4,0.000000,0.000000,0.000000,0.000000,0
0,1780260515.112061,1780260515.112174,5,0.000000,0.000000,0.000000,0.000000,0
3,1780260516.103026,1780260516.103198,1,1.019000,842.700000,157.945692,42.664240,1
3,1780260516.103511,1780260516.103627,2,1.009000,439.533333,76.637898,35.583865,1
3,1780260516.103818,1780260516.103945,3,1.005000,428.266667,72.384699,38.536584,1
3,1780260516.104126,1780260516.104255,4,1.013000,510.433333,80.338876,57.016177,1
3,1780260516.104441,1780260516.104564,5,1.010000,468.700000,87.504605,21.854100,1
4,1780260517.104162,1780260517.104276,1,1.021000,737.933333,138.796253,36.626998,1
4,1780260517.104550,1780260517.104663,2,1.006000,289.233333,50.774738,22.252769,1
4,1780260517.104839,1780260517.104988,3,1.010000,445.866667,79.706806,31.752285,1
4,1780260517.105168,1780260517.105272,4,1.004000,463.366667,79.081342,40.031763,1
4,1780260517.105478,1780260517.105589,5,1.004000,466.033333,86.792974,20.348647,1
5,1780260518.115008,1780260518.115165,1,1.020000,886.933333,168.347104,36.990722,1
5,1780260518.115480,1780260518.115597,2,1.011000,427.833333,74.210064,35.836416,1
5,1780260518.115769,1780260518.115879,3,1.008000,465.333333,84.255368,29.791342,1
5,1780260518.116041,1780260518.116174,4,1.008000,520.400000,80.234010,59.590683,1
5,1780260518.116350,1780260518.116453,5,1.008000,483.700000,88.825707,27.191528,1
6,1780260519.116114,1780260519.116239,1,1.018000,827.266667,155.783378,38.426020,1
6,1780260519.116610,1780260519.116797,2,1.008000,441.133333,78.526565,31.795964,1
6,1780260519.117035,1780260519.117174,3,1.010000,368.000000,62.932891,32.467704,1
6,1780260519.117368,1780260519.117500,4,1.008000,490.500000,79.599358,50.375212,1
6,1780260519.117707,1780260519.117813,5,1.005000,501.933333,93.620069,21.732009,1
7,1780260520.125430,1780260520.125602,1,1.017000,839.133333,160.025281,28.788995,1
7,1780260520.125961,1780260520.126096,2,1.012000,399.833333,73.885570,22.004433,1
7,1780260520.126278,1780260520.126372,3,1.009000,410.900000,76.432221,19.944426,1
7,1780260520.126509,1780260520.126696,4,1.003000,459.366667,79.356436,37.530367,1
7,1780260520.126928,1780260520.127034,5,1.006000,474.766667,88.459088,21.345094,1
8,1780260521.126081,1780260521.126201,1,1.021000,910.833333,174.541333,30.472094,1
8,1780260521.126476,1780260521.126595,2,1.005000,411.033333,74.729381,24.694698,1
8,1780260521.126768,1780260521.126877,3,1.010000,480.866667,86.241296,33.539561,1
8,1780260521.127041,1780260521.127149,4,1.014000,524.300000,80.394716,61.616304,1
8,1780260521.127310,1780260521.127411,5,1.007000,502.266667,91.719745,29.556861,1
9,1780260522.127102,1780260522.127199,1,1.021000,681.333333,126.135915,40.692914,1
9,1780260522.127446,1780260522.127537,2,1.009000,317.733333,56.390125,23.474702,1
9,1780260522.127666,1780260522.127749,3,1.006000,359.366667,62.060301,29.881180,1
9,1780260522.127871,1780260522.127967,4,1.013000,461.800000,79.707634,39.882150,1
9,1780260522.128087,1780260522.128163,5,1.002000,466.766667,85.642522,24.611922,1
10,1780260523.132932,1780260523.133124,1,1.024000,793.533333,149.816341,39.030054,1
10,1780260523.133444,1780260523.133590,2,1.004000,382.400000,67.969505,27.033991,1
10,1780260523.133805,1780260523.133911,3,1.010000,410.533333,71.012449,34.613836,1
10,1780260523.134136,1780260523.134248,4,1.006000,466.900000,79.932589,40.240099,1
10,1780260523.134416,1780260523.134554,5,1.011000,462.733333,88.018175,14.048949,1
11,1780260524.134146,1780260524.134304,1,1.020000,754.466667,142.426775,34.814802,1
11,1780260524.134832,1780260524.134971,2,1.015000,380.900000,69.881019,23.289572,1
11,1780260524.135603,1780260524.135750,3,1.010000,358.966667,65.318510,22.472689,1
11,1780260524.136162,1780260524.136309,4,1.005000,459.833333,79.930035,36.927653,1
11,1780260524.136541,1780260524.136652,5,1.009000,468.600000,86.948897,23.558073,1
12,1780260525.136057,1780260525.136175,1,1.014000,894.333333,170.169931,29.912208,1
12,1780260525.136486,1780260525.136595,2,1.012000,432.500000,79.321657,25.732427,1
12,1780260525.136745,1780260525.136834,3,1.008000,425.400000,76.926820,27.510446,1
12,1780260525.136961,1780260525.137044,4,1.006000,480.266667,80.085334,45.386450,1
12,1780260525.137218,1780260525.137306,5,1.008000,496.066667,93.459380,18.483020,1
