cycle_id,ts_sent,bus,V_sent,I_sent,P_bus,Q_bus,power_factor,breaker_actual
13,1780260635.646687,1,1.020000,728.531422,-127.227514,-62.113152,0.898627,1
13,1780260635.646687,2,1.008855,327.817683,56.871442,27.129086,0.902568,1
13,1780260635.646687,3,1.006363,400.713884,69.463591,32.832479,0.904097,0
14,1780260636.652543,1,1.020000,901.416562,-171.681665,-34.823273,0.980042,1
14,1780260636.652543,2,1.009775,428.619748,76.291029,31.297566,0.925174,1
14,1780260636.652543,3,1.008216,452.941001,79.663160,34.982853,0.915607,1
14,1780260636.652543,4,1.010000,518.378698,-80.000000,-59.585834,0.801989,1
14,1780260636.652543,5,1.006861,506.806900,94.145476,24.264748,0.968354,1
15,1780260637.664203,1,1.020000,472.852849,-55.318468,-73.376266,0.601992,1
15,1780260637.664203,2,1.010627,327.206277,57.946405,24.732171,0.919730,1
15,1780260637.664203,3,1.008720,442.456400,76.841044,36.418407,0.903647,1
15,1780260637.664203,4,1.010000,419.597133,-80.000000,10.931679,0.990793,0
16,1780260638.663158,1,1.020000,349.371483,-62.165106,-27.300136,0.915600,1
16,1780260638.663158,2,1.014839,349.371483,61.982015,26.860718,0.917546,0
17,1780260639.649622,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
18,1780260640.683486,1,1.020000,927.609675,-170.448525,-58.684487,0.945528,1
18,1780260640.683486,2,1.007489,441.633108,79.883641,28.372319,0.942329,1
18,1780260640.683486,3,1.004913,486.214857,89.132351,26.859906,0.957470,0
19,1780260641.665620,1,1.020000,766.432968,-139.422900,-52.402718,0.936066,1
19,1780260641.665620,2,1.009321,388.520658,70.451311,24.872954,0.942958,1
19,1780260641.665620,3,1.007169,377.942825,68.004756,25.200793,0.937687,0
20,1780260642.737355,1,1.020000,844.291750,-161.310965,-29.997108,0.983146,1
20,1780260642.737355,2,1.010652,338.373633,63.611711,14.099519,0.976305,1
20,1780260642.737355,3,1.008533,496.841232,86.275588,40.875483,0.903705,1
20,1780260642.737355,4,1.010000,506.508729,-80.000000,-55.677572,0.820783,1
20,1780260642.737355,5,1.006787,490.231820,90.005861,27.233251,0.957146,1
21,1780260643.740281,1,1.020000,831.049518,-158.751986,-29.681662,0.982967,1
21,1780260643.740281,2,1.010783,414.380959,77.378835,19.513935,0.969641,1
21,1780260643.740281,3,1.009160,382.532323,68.953344,25.593168,0.937505,1
21,1780260643.740281,4,1.010000,481.097721,-80.000000,-46.590703,0.864136,1
21,1780260643.740281,5,1.006730,496.699275,91.089702,27.913992,0.956114,1
22,1780260644.742371,1,1.020000,0.000000,0.000000,0.000000,1.000000,0
