cycle_id,ts_received,ts_sent,bus,V_sent,I_sent,power_factor,breaker_actual
13,1780260635.657118,1780260635.657637,1,1.014078,727.582813,0.898600,1
13,1780260635.665254,1780260635.665791,2,1.011527,325.116512,0.902600,1
13,1780260635.674057,1780260635.674474,3,1.005448,402.229292,0.904100,1
13,1780260635.682896,1780260635.683279,4,1.006066,526.181826,0.793700,1
13,1780260635.689891,1780260635.690352,5,1.008656,504.008125,0.951800,1
14,1780260636.667304,1780260636.667743,1,1.020975,902.374746,0.980000,1
14,1780260636.673849,1780260636.674272,2,1.010361,430.351824,0.925200,1
14,1780260636.679050,1780260636.679508,3,1.006015,452.311229,0.915600,1
14,1780260636.684124,1780260636.684547,4,1.013125,518.406865,0.802000,0
14,1780260636.690387,1780260636.691384,5,1.004359,508.219683,0.968400,1
14,1780260637.647751,1780260637.648040,1,1.024396,900.732761,0.980000,1
14,1780260637.671302,1780260637.671875,2,1.006860,326.997878,0.919700,0
14,1780260637.675186,1780260637.675470,3,1.008553,442.019667,0.903600,0
14,1780260637.680568,1780260637.680857,4,1.014214,418.059595,0.990800,1
14,1780260637.686822,1780260637.687168,5,1.010782,504.897517,0.968400,1
16,1780260638.669013,1780260638.669499,1,1.017639,350.313949,0.915600,0
16,1780260638.675725,1780260638.676241,2,1.018386,350.655170,0.917500,1
16,1780260638.682324,1780260638.682777,3,1.010036,442.680201,0.903600,0
16,1780260638.688867,1780260638.689368,4,1.010457,420.462920,0.990800,1
16,1780260638.695861,1780260638.696303,5,1.006471,507.216154,0.968400,1
17,1780260639.658901,1780260639.659397,1,1.021718,0.001259,1.000000,1
17,1780260639.665584,1780260639.666076,2,1.017292,350.215484,0.917500,1
17,1780260639.671937,1780260639.672382,3,1.015032,442.954081,0.903600,0
17,1780260639.678838,1780260639.679326,4,1.008717,419.041173,0.990800,1
17,1780260639.685684,1780260639.686309,5,1.006961,508.185677,0.968400,1
18,1780260640.689164,1780260640.689666,1,1.018990,928.178739,0.945500,1
18,1780260640.695937,1780260640.696404,2,1.012512,437.786314,0.942300,1
18,1780260640.702821,1780260640.703400,3,1.001628,486.565846,0.957500,0
18,1780260640.709174,1780260640.709694,4,1.011195,419.957860,0.990800,1
18,1780260640.717386,1780260640.718297,5,1.005707,507.782719,0.968400,1
19,1780260641.718621,1780260641.719075,1,1.020846,765.650256,0.936100,1
19,1780260641.726899,1780260641.727422,2,1.016290,389.066033,0.943000,1
19,1780260641.733523,1780260641.734099,3,1.005337,377.784161,0.937700,1
19,1780260641.740239,1780260641.740747,4,1.009323,419.505888,0.990800,1
19,1780260641.746627,1780260641.747133,5,0.998816,506.069651,0.968400,1
20,1780260642.745246,1780260642.745541,1,1.023026,842.547157,0.983100,1
20,1780260642.749707,1780260642.749979,2,1.010800,339.796925,0.976300,1
20,1780260642.753182,1780260642.753456,3,1.011569,499.069911,0.903700,1
20,1780260642.756924,1780260642.757232,4,1.004896,505.969936,0.820800,1
20,1780260642.760366,1780260642.760639,5,1.005977,491.168268,0.957100,1
21,1780260643.750877,1780260643.751495,1,1.023275,827.009089,0.983000,0
21,1780260643.759499,1780260643.760303,2,1.014266,412.195352,0.969600,0
21,1780260643.768749,1780260643.769406,3,1.011049,380.295126,0.937500,0
21,1780260643.777429,1780260643.778303,4,1.010528,482.891982,0.864100,1
21,1780260643.786513,1780260643.787179,5,1.006552,496.986655,0.956100,1
22,1780260644.760465,1780260644.760996,1,1.022391,0.212066,1.000000,0
22,1780260644.769642,1780260644.770250,2,1.010735,416.666551,0.969600,0
22,1780260644.777602,1780260644.778417,3,1.012145,382.092611,0.937500,0
