cycle_id,ts_received,bus,line,V_DT,I_line,breaker_actual
12,1780260635.636397,1,1,1.020000,864.958308,1
12,1780260635.636397,2,2,1.008180,426.416130,1
12,1780260635.636397,3,3,1.005781,0.000000,0
12,1780260635.636397,4,4,0.000000,0.000000,0
12,1780260635.636397,5,,0.000000,0.000000,1
13,1780260636.728721,1,1,1.020000,1138.721459,1
13,1780260636.728721,2,2,1.010434,853.422886,1
13,1780260636.728721,3,3,1.008742,566.049570,1
13,1780260636.728721,4,4,1.010000,504.693078,1
13,1780260636.728721,5,,1.006616,0.000000,1
14,1780260637.628297,1,1,1.020000,1232.203673,1
14,1780260637.628297,2,2,1.007066,627.810902,1
14,1780260637.628297,3,3,1.005768,358.448407,1
14,1780260637.628297,4,4,1.010000,0.000000,0
14,1780260637.628297,5,,0.000000,0.000000,1
15,1780260638.707921,1,1,1.020000,323.990849,1
15,1780260638.707921,2,2,1.015240,0.000000,0
15,1780260638.707921,3,3,0.000000,0.000000,0
15,1780260638.707921,4,4,0.000000,0.000000,1
15,1780260638.707921,5,,0.000000,0.000000,1
16,1780260639.739351,1,1,1.020000,0.000000,0
16,1780260639.739351,2,2,0.000000,0.000000,1
16,1780260639.739351,3,3,0.000000,0.000000,0
16,1780260639.739351,4,4,0.000000,0.000000,1
16,1780260639.739351,5,,0.000000,0.000000,1
17,1780260640.783169,1,1,1.020000,800.511219,1
17,1780260640.783169,2,2,1.007913,447.283393,1
17,1780260640.783169,3,3,1.005129,0.000000,0
17,1780260640.783169,4,4,0.000000,0.000000,1
17,1780260640.783169,5,,0.000000,0.000000,1
18,1780260641.694562,1,1,1.020000,924.077231,1
18,1780260641.694562,2,2,1.007537,484.611083,1
18,1780260641.694562,3,3,1.004971,0.000000,0
18,1780260641.694562,4,4,0.000000,0.000000,1
18,1780260641.694562,5,,0.000000,0.000000,1
19,1780260642.729890,1,1,1.020000,1209.970554,1
19,1780260642.729890,2,2,1.010465,853.161729,1
19,1780260642.729890,3,3,1.008970,561.894903,1
19,1780260642.729890,4,4,1.010000,501.596527,1
19,1780260642.729890,5,,1.006894,0.000000,1
20,1780260643.718231,1,1,1.020000,1255.925150,1
20,1780260643.718231,2,2,1.010416,929.838406,1
20,1780260643.718231,3,3,1.008356,572.511388,1
20,1780260643.718231,4,4,1.010000,490.295215,1
20,1780260643.718231,5,,1.006786,0.000000,1
21,1780260644.740192,1,1,1.020000,0.000000,0
21,1780260644.740192,2,2,0.000000,0.000000,0
21,1780260644.740192,3,3,0.000000,0.000000,0
21,1780260644.740192,4,4,0.000000,0.000000,1
21,1780260644.740192,5,,0.000000,0.000000,1
22,1780260645.826575,1,1,1.020000,0.000000,0
22,1780260645.826575,2,2,0.000000,0.000000,0
22,1780260645.826575,3,3,0.000000,0.000000,0
22,1780260645.826575,4,4,0.000000,0.000000,1
22,1780260645.826575,5,,0.000000,0.000000,1
23,1780260646.904308,1,1,1.020000,413.701400,1
23,1780260646.904308,2,2,1.014907,0.000000,0
23,1780260646.904308,3,3,0.000000,0.000000,0
23,1780260646.904308,4,4,0.000000,0.000000,1
23,1780260646.904308,5,,0.000000,0.000000,1
24,1780260647.749516,1,1,1.020000,404.576239,1
24,1780260647.749516,2,2,1.015198,0.000000,0
24,1780260647.749516,3,3,0.000000,0.000000,0
24,1780260647.749516,4,4,0.000000,0.000000,1
24,1780260647.749516,5,,0.000000,0.000000,1
25,1780260648.933646,1,1,1.020000,993.286101,1
25,1780260648.933646,2,2,1.005565,575.665515,1
25,1780260648.933646,3,3,1.002282,0.000000,0
25,1780260648.933646,4,4,0.000000,0.000000,1
25,1780260648.933646,5,,0.000000,0.000000,1
26,1780260649.833383,1,1,1.020000,1172.364280,1
26,1780260649.833383,2,2,1.003242,634.975054,1
26,1780260649.833383,3,3,0.999718,0.000000,0
26,1780260649.833383,4,4,0.000000,0.000000,1
26,1780260649.833383,5,,0.000000,0.000000,1
27,1780260650.880004,1,1,1.020000,1482.760847,1
27,1780260650.880004,2,2,1.008502,891.276637,1
27,1780260650.880004,3,3,1.007626,618.076000,1
27,1780260650.880004,4,4,1.010000,498.807457,1
27,1780260650.880004,5,,1.006716,0.000000,1
28,1780260651.901396,1,1,1.020000,1447.815918,1
28,1780260651.901396,2,2,1.008541,988.906936,1
28,1780260651.901396,3,3,1.006906,627.288599,1
28,1780260651.901396,4,4,1.010000,456.663708,1
28,1780260651.901396,5,,1.007290,0.000000,1
29,1780260652.827948,1,1,1.020000,0.000000,0
29,1780260652.827948,2,2,0.000000,0.000000,0
29,1780260652.827948,3,3,0.000000,0.000000,0
29,1780260652.827948,4,4,0.000000,0.000000,1
29,1780260652.827948,5,,0.000000,0.000000,1
30,1780260653.850063,1,1,1.020000,0.000000,0
30,1780260653.850063,2,2,0.000000,0.000000,0
30,1780260653.850063,3,3,0.000000,0.000000,0
30,1780260653.850063,4,4,0.000000,0.000000,1
30,1780260653.850063,5,,0.000000,0.000000,1
31,1780260654.873687,1,1,1.020000,299.643673,1
31,1780260654.873687,2,2,1.016373,0.000000,0
31,1780260654.873687,3,3,0.000000,0.000000,0
31,1780260654.873687,4,4,0.000000,0.000000,1
31,1780260654.873687,5,,0.000000,0.000000,1
32,1780260655.916103,1,1,1.020000,387.137552,1
32,1780260655.916103,2,2,1.014879,0.000000,0
32,1780260655.916103,3,3,0.000000,0.000000,0
32,1780260655.916103,4,4,0.000000,0.000000,1
32,1780260655.916103,5,,0.000000,0.000000,1
33,1780260657.067990,1,1,1.020000,939.263852,1
33,1780260657.067990,2,2,1.005583,507.564210,1
33,1780260657.067990,3,3,1.002312,0.000000,0
33,1780260657.067990,4,4,0.000000,0.000000,1
33,1780260657.067990,5,,0.000000,0.000000,1
34,1780260657.977854,1,1,1.020000,904.210625,1
34,1780260657.977854,2,2,1.008425,598.461972,1
34,1780260657.977854,3,3,1.005254,0.000000,0
34,1780260657.977854,4,4,0.000000,0.000000,1
34,1780260657.977854,5,,0.000000,0.000000,1
35,1780260658.984820,1,1,1.020000,1786.583735,1
35,1780260658.984820,2,2,1.007665,1190.290738,1
35,1780260658.984820,3,3,1.006332,671.511662,1
35,1780260658.984820,4,4,1.010000,465.279461,1
35,1780260658.984820,5,,1.007270,0.000000,1
36,1780260660.052060,1,1,1.020000,1576.558982,1
36,1780260660.052060,2,2,1.008447,1108.047728,1
36,1780260660.052060,3,3,1.007390,852.119116,1
36,1780260660.052060,4,4,1.010000,697.163129,1
36,1780260660.052060,5,,1.006352,0.000000,1
37,1780260660.888753,1,1,1.020000,0.000000,0
37,1780260660.888753,2,2,0.000000,0.000000,0
37,1780260660.888753,3,3,0.000000,0.000000,0
37,1780260660.888753,4,4,0.000000,0.000000,1
37,1780260660.888753,5,,0.000000,0.000000,1
38,1780260661.941646,1,1,1.020000,0.000000,0
38,1780260661.941646,2,2,0.000000,0.000000,0
38,1780260661.941646,3,3,0.000000,0.000000,0
38,1780260661.941646,4,4,0.000000,0.000000,0
38,1780260661.941646,5,,0.000000,0.000000,1
39,1780260662.984781,1,1,1.020000,313.965815,1
