cmd_id,origin_cycle,ts_received,bus,breaker_DT
7,11,1780260732.110188,1,1
7,11,1780260732.110188,2,0
7,11,1780260732.110188,3,0
7,11,1780260732.110188,4,0
7,11,1780260732.110188,5,1
8,12,1780260733.131047,1,0
8,12,1780260733.131047,2,0
8,12,1780260733.131047,3,0
8,12,1780260733.131047,4,0
8,12,1780260733.131047,5,1
9,13,1780260734.133668,1,1
9,13,1780260734.133668,2,1
9,13,1780260734.133668,3,0
9,13,1780260734.133668,4,0
9,13,1780260734.133668,5,1
10,14,1780260735.137769,1,1
10,14,1780260735.137769,2,0
10,14,1780260735.137769,3,0
10,14,1780260735.137769,4,0
10,14,1780260735.137769,5,1
11,15,1780260736.162757,1,1
11,15,1780260736.162757,2,1
11,15,1780260736.162757,3,1
11,15,1780260736.162757,4,0
11,15,1780260736.162757,5,1
12,16,1780260737.201986,1,1
12,16,1780260737.201986,2,1
12,16,1780260737.201986,3,0
12,16,1780260737.201986,4,0
12,16,1780260737.201986,5,1
13,17,1780260738.211783,1,1
13,17,1780260738.211783,2,1
13,17,1780260738.211783,3,1
13,17,1780260738.211783,4,1
13,17,1780260738.211783,5,1
14,18,1780260739.218585,1,0
14,18,1780260739.218585,2,0
14,18,1780260739.218585,3,1
14,18,1780260739.218585,4,0
14,18,1780260739.218585,5,1
15,19,1780260740.220385,1,0
15,19,1780260740.220385,2,0
15,19,1780260740.220385,3,0
15,19,1780260740.220385,4,1
15,19,1780260740.220385,5,1
16,20,1780260741.280781,1,1
16,20,1780260741.280781,2,0
16,20,1780260741.280781,3,1
16,20,1780260741.280781,4,0
16,20,1780260741.280781,5,1
17,21,1780260742.287356,1,1
17,21,1780260742.287356,2,0
17,21,1780260742.287356,3,0
17,21,1780260742.287356,4,1
17,21,1780260742.287356,5,1
18,22,1780260743.303278,1,1
18,22,1780260743.303278,2,1
18,22,1780260743.303278,3,1
18,22,1780260743.303278,4,0
18,22,1780260743.303278,5,1
19,23,1780260744.305087,1,1
19,23,1780260744.305087,2,1
19,23,1780260744.305087,3,0
19,23,1780260744.305087,4,1
19,23,1780260744.305087,5,1
20,24,1780260745.313353,1,1
20,24,1780260745.313353,2,1
20,24,1780260745.313353,3,1
20,24,1780260745.313353,4,1
20,24,1780260745.313353,5,1
21,25,1780260746.316933,1,1
21,25,1780260746.316933,2,1
21,25,1780260746.316933,3,1
21,25,1780260746.316933,4,1
21,25,1780260746.316933,5,1
22,26,1780260747.318095,1,0
22,26,1780260747.318095,2,0
22,26,1780260747.318095,3,0
22,26,1780260747.318095,4,1
22,26,1780260747.318095,5,1
23,27,1780260748.334374,1,0
23,27,1780260748.334374,2,0
23,27,1780260748.334374,3,0
23,27,1780260748.334374,4,1
23,27,1780260748.334374,5,1
24,28,1780260749.335391,1,1
24,28,1780260749.335391,2,0
24,28,1780260749.335391,3,0
24,28,1780260749.335391,4,1
24,28,1780260749.335391,5,1
25,29,1780260750.341335,1,1
25,29,1780260750.341335,2,0
25,29,1780260750.341335,3,0
25,29,1780260750.341335,4,1
25,29,1780260750.341335,5,1
26,30,1780260751.358788,1,1
26,30,1780260751.358788,2,1
26,30,1780260751.358788,3,0
26,30,1780260751.358788,4,1
26,30,1780260751.358788,5,1
27,31,1780260752.359665,1,1
27,31,1780260752.359665,2,1
27,31,1780260752.359665,3,0
27,31,1780260752.359665,4,1
27,31,1780260752.359665,5,1
28,32,1780260753.368903,1,1
28,32,1780260753.368903,2,1
28,32,1780260753.368903,3,1
28,32,1780260753.368903,4,1
28,32,1780260753.368903,5,1
29,33,1780260754.371125,1,1
29,33,1780260754.371125,2,1
29,33,1780260754.371125,3,1
29,33,1780260754.371125,4,1
29,33,1780260754.371125,5,1
30,34,1780260755.371583,1,1
