cmd_id,origin_cycle,ts_sent,bus,breaker_DT
9,13,1780260731.680758,1,1
9,13,1780260731.680758,2,1
9,13,1780260731.680758,3,0
9,13,1780260731.680758,4,0
9,13,1780260731.680758,5,1
10,14,1780260732.698754,1,1
10,14,1780260732.698754,2,0
10,14,1780260732.698754,3,0
10,14,1780260732.698754,4,0
10,14,1780260732.698754,5,1
11,15,1780260733.684543,1,1
11,15,1780260733.684543,2,1
11,15,1780260733.684543,3,1
11,15,1780260733.684543,4,0
11,15,1780260733.684543,5,1
12,16,1780260734.704339,1,1
12,16,1780260734.704339,2,1
12,16,1780260734.704339,3,0
12,16,1780260734.704339,4,0
12,16,1780260734.704339,5,1
13,17,1780260735.923038,1,1
13,17,1780260735.923038,2,1
13,17,1780260735.923038,3,1
13,17,1780260735.923038,4,1
13,17,1780260735.923038,5,1
14,18,1780260736.895695,1,0
14,18,1780260736.895695,2,0
14,18,1780260736.895695,3,1
14,18,1780260736.895695,4,0
14,18,1780260736.895695,5,1
15,19,1780260737.943514,1,0
15,19,1780260737.943514,2,0
15,19,1780260737.943514,3,0
15,19,1780260737.943514,4,1
15,19,1780260737.943514,5,1
16,20,1780260738.985176,1,1
16,20,1780260738.985176,2,0
16,20,1780260738.985176,3,1
16,20,1780260738.985176,4,0
16,20,1780260738.985176,5,1
17,21,1780260739.919387,1,1
17,21,1780260739.919387,2,0
17,21,1780260739.919387,3,0
17,21,1780260739.919387,4,1
17,21,1780260739.919387,5,1
18,22,1780260740.940946,1,1
18,22,1780260740.940946,2,1
18,22,1780260740.940946,3,1
18,22,1780260740.940946,4,0
18,22,1780260740.940946,5,1
19,23,1780260742.018371,1,1
19,23,1780260742.018371,2,1
19,23,1780260742.018371,3,0
19,23,1780260742.018371,4,1
19,23,1780260742.018371,5,1
20,24,1780260743.033343,1,1
20,24,1780260743.033343,2,1
20,24,1780260743.033343,3,1
20,24,1780260743.033343,4,1
20,24,1780260743.033343,5,1
21,25,1780260744.110080,1,1
21,25,1780260744.110080,2,1
21,25,1780260744.110080,3,1
21,25,1780260744.110080,4,1
21,25,1780260744.110080,5,1
22,26,1780260745.259227,1,0
22,26,1780260745.259227,2,0
22,26,1780260745.259227,3,0
22,26,1780260745.259227,4,1
22,26,1780260745.259227,5,1
23,27,1780260746.108729,1,0
23,27,1780260746.108729,2,0
23,27,1780260746.108729,3,0
23,27,1780260746.108729,4,1
23,27,1780260746.108729,5,1
24,28,1780260747.223845,1,1
24,28,1780260747.223845,2,0
24,28,1780260747.223845,3,0
24,28,1780260747.223845,4,1
24,28,1780260747.223845,5,1
25,29,1780260748.390183,1,1
25,29,1780260748.390183,2,0
25,29,1780260748.390183,3,0
25,29,1780260748.390183,4,1
25,29,1780260748.390183,5,1
26,30,1780260749.225610,1,1
26,30,1780260749.225610,2,1
26,30,1780260749.225610,3,0
26,30,1780260749.225610,4,1
26,30,1780260749.225610,5,1
27,31,1780260750.306230,1,1
27,31,1780260750.306230,2,1
27,31,1780260750.306230,3,0
27,31,1780260750.306230,4,1
27,31,1780260750.306230,5,1
28,32,1780260751.167400,1,1
28,32,1780260751.167400,2,1
28,32,1780260751.167400,3,1
28,32,1780260751.167400,4,1
28,32,1780260751.167400,5,1
29,33,1780260752.198897,1,1
29,33,1780260752.198897,2,1
29,33,1780260752.198897,3,1
29,33,1780260752.198897,4,1
29,33,1780260752.198897,5,1
30,34,1780260753.259014,1,1
30,34,1780260753.259014,2,0
30,34,1780260753.259014,3,0
30,34,1780260753.259014,4,1
30,34,1780260753.259014,5,1
31,35,1780260754.300029,1,0
31,35,1780260754.300029,2,0
31,35,1780260754.300029,3,0
31,35,1780260754.300029,4,1
31,35,1780260754.300029,5,1
32,36,1780260755.321410,1,1
32,36,1780260755.321410,2,1
32,36,1780260755.321410,3,0
32,36,1780260755.321410,4,1
32,36,1780260755.321410,5,1
33,37,1780260756.366645,1,1
33,37,1780260756.366645,2,0
33,37,1780260756.366645,3,0
33,37,1780260756.366645,4,1
33,37,1780260756.366645,5,1
34,38,1780260757.211318,1,1
34,38,1780260757.211318,2,1
34,38,1780260757.211318,3,1
34,38,1780260757.211318,4,1
34,38,1780260757.211318,5,1
35,39,1780260758.272371,1,1
35,39,1780260758.272371,2,1
35,39,1780260758.272371,3,0
35,39,1780260758.272371,4,1
35,39,1780260758.272371,5,1
36,40,1780260759.229676,1,1
36,40,1780260759.229676,2,0
36,40,1780260759.229676,3,0
36,40,1780260759.229676,4,1
36,40,1780260759.229676,5,1
37,41,1780260760.417843,1,0
37,41,1780260760.417843,2,0
37,41,1780260760.417843,3,1
37,41,1780260760.417843,4,1
37,41,1780260760.417843,5,1
38,42,1780260761.250300,1,1
38,42,1780260761.250300,2,1
38,42,1780260761.250300,3,0
38,42,1780260761.250300,4,1
38,42,1780260761.250300,5,1
39,43,1780260762.228369,1,1
39,43,1780260762.228369,2,0
39,43,1780260762.228369,3,1
39,43,1780260762.228369,4,1
39,43,1780260762.228369,5,1
40,44,1780260763.348597,1,1
40,44,1780260763.348597,2,1
40,44,1780260763.348597,3,1
40,44,1780260763.348597,4,1
40,44,1780260763.348597,5,1
41,45,1780260764.395886,1,1
41,45,1780260764.395886,2,1
41,45,1780260764.395886,3,1
41,45,1780260764.395886,4,1
41,45,1780260764.395886,5,1
42,46,1780260765.344974,1,0
42,46,1780260765.344974,2,0
