timestamp,run,fase,layer,source,destination,latency_ms
2026-06-01 03:49:45.155946,1,attack,field,h2,h3,4.53
2026-06-01 03:49:45.155983,1,attack,field,h2,h3,3.19
2026-06-01 03:49:45.155991,1,attack,field,h2,h3,2.71
2026-06-01 03:49:45.155997,1,attack,field,h2,h3,8.47
2026-06-01 03:49:45.156002,1,attack,field,h2,h3,10.9
2026-06-01 03:49:45.156007,1,attack,field,h2,h3,7.27
2026-06-01 03:49:45.156012,1,attack,field,h2,h3,0.313
2026-06-01 03:49:45.156018,1,attack,field,h2,h3,0.227
2026-06-01 03:49:45.156022,1,attack,field,h2,h3,0.179
2026-06-01 03:49:45.156027,1,attack,field,h2,h3,0.213
2026-06-01 03:49:45.156032,1,attack,field,h2,h3,0.214
2026-06-01 03:49:45.156037,1,attack,field,h2,h3,0.186
2026-06-01 03:49:45.156042,1,attack,field,h2,h3,0.431
2026-06-01 03:49:45.156046,1,attack,field,h2,h3,0.209
2026-06-01 03:49:45.156051,1,attack,field,h2,h3,0.161
2026-06-01 03:49:45.156056,1,attack,field,h2,h3,0.359
2026-06-01 03:49:45.156064,1,attack,field,h2,h3,0.207
2026-06-01 03:49:45.156075,1,attack,field,h2,h3,0.177
2026-06-01 03:49:45.156087,1,attack,field,h2,h3,0.266
2026-06-01 03:49:45.156096,1,attack,field,h2,h3,0.202
2026-06-01 03:50:05.571928,1,attack,system,h3,h4,4.32
2026-06-01 03:50:05.571967,1,attack,system,h3,h4,0.654
2026-06-01 03:50:05.571978,1,attack,system,h3,h4,0.189
2026-06-01 03:50:05.571985,1,attack,system,h3,h4,0.14
2026-06-01 03:50:05.571991,1,attack,system,h3,h4,0.312
2026-06-01 03:50:05.571997,1,attack,system,h3,h4,0.449
2026-06-01 03:50:05.572003,1,attack,system,h3,h4,0.153
2026-06-01 03:50:05.572010,1,attack,system,h3,h4,0.185
2026-06-01 03:50:05.572016,1,attack,system,h3,h4,0.147
2026-06-01 03:50:05.572022,1,attack,system,h3,h4,0.16
2026-06-01 03:50:05.572029,1,attack,system,h3,h4,0.193
2026-06-01 03:50:05.572035,1,attack,system,h3,h4,0.143
2026-06-01 03:50:05.572041,1,attack,system,h3,h4,0.211
2026-06-01 03:50:05.572047,1,attack,system,h3,h4,4.01
2026-06-01 03:50:05.572053,1,attack,system,h3,h4,0.315
2026-06-01 03:50:05.572059,1,attack,system,h3,h4,0.119
2026-06-01 03:50:05.572065,1,attack,system,h3,h4,0.103
2026-06-01 03:50:05.572072,1,attack,system,h3,h4,0.161
2026-06-01 03:50:05.572078,1,attack,system,h3,h4,0.46
2026-06-01 03:50:05.572084,1,attack,system,h3,h4,0.184
2026-06-01 03:51:20.834693,2,attack,field,h2,h3,5.43
2026-06-01 03:51:20.834735,2,attack,field,h2,h3,1.22
2026-06-01 03:51:20.834742,2,attack,field,h2,h3,0.206
2026-06-01 03:51:20.834748,2,attack,field,h2,h3,0.193
2026-06-01 03:51:20.834753,2,attack,field,h2,h3,0.233
2026-06-01 03:51:20.834757,2,attack,field,h2,h3,0.165
2026-06-01 03:51:20.834761,2,attack,field,h2,h3,0.204
2026-06-01 03:51:20.834765,2,attack,field,h2,h3,0.226
2026-06-01 03:51:20.834769,2,attack,field,h2,h3,0.209
2026-06-01 03:51:20.834773,2,attack,field,h2,h3,0.193
2026-06-01 03:51:20.834777,2,attack,field,h2,h3,0.225
2026-06-01 03:51:20.834781,2,attack,field,h2,h3,0.278
2026-06-01 03:51:20.834785,2,attack,field,h2,h3,0.149
2026-06-01 03:51:20.834789,2,attack,field,h2,h3,0.233
2026-06-01 03:51:20.834793,2,attack,field,h2,h3,14.0
2026-06-01 03:51:20.834797,2,attack,field,h2,h3,0.464
2026-06-01 03:51:20.834801,2,attack,field,h2,h3,0.181
