scenario (-),iteration (-),cmd_id (-),origin_cycle (-),bus (-),h4_ts_sent (epoch_s),h1_ts_received (epoch_s),control_latency (s)
baseline,iteration_1,9,12,1,1780259504.072296,1780259506.112523,2.040227
baseline,iteration_1,9,12,2,1780259504.072296,1780259506.112523,2.040227
baseline,iteration_1,9,12,3,1780259504.072296,1780259506.112523,2.040227
baseline,iteration_1,9,12,4,1780259504.072296,1780259506.112523,2.040227
baseline,iteration_1,9,12,5,1780259504.072296,1780259506.112523,2.040227
baseline,iteration_1,11,14,1,1780259506.106720,1780259507.134676,1.027956
baseline,iteration_1,11,14,2,1780259506.106720,1780259507.134676,1.027956
baseline,iteration_1,11,14,3,1780259506.106720,1780259507.134676,1.027956
baseline,iteration_1,11,14,4,1780259506.106720,1780259507.134676,1.027956
baseline,iteration_1,11,14,5,1780259506.106720,1780259507.134676,1.027956
baseline,iteration_1,12,15,1,1780259507.149984,1780259510.151994,3.002010
baseline,iteration_1,12,15,2,1780259507.149984,1780259510.151994,3.002010
baseline,iteration_1,12,15,3,1780259507.149984,1780259510.151994,3.002010
baseline,iteration_1,12,15,4,1780259507.149984,1780259510.151994,3.002010
baseline,iteration_1,12,15,5,1780259507.149984,1780259510.151994,3.002010
baseline,iteration_1,13,16,1,1780259508.107027,1780259511.154086,3.047059
baseline,iteration_1,13,16,2,1780259508.107027,1780259511.154086,3.047059
baseline,iteration_1,13,16,3,1780259508.107027,1780259511.154086,3.047059
baseline,iteration_1,13,16,4,1780259508.107027,1780259511.154086,3.047059
baseline,iteration_1,13,16,5,1780259508.107027,1780259511.154086,3.047059
baseline,iteration_1,14,17,1,1780259509.213725,1780259512.154708,2.940983
baseline,iteration_1,14,17,2,1780259509.213725,1780259512.154708,2.940983
baseline,iteration_1,14,17,3,1780259509.213725,1780259512.154708,2.940983
baseline,iteration_1,14,17,4,1780259509.213725,1780259512.154708,2.940983
baseline,iteration_1,14,17,5,1780259509.213725,1780259512.154708,2.940983
baseline,iteration_1,16,19,1,1780259511.299065,1780259513.173139,1.874074
baseline,iteration_1,16,19,2,1780259511.299065,1780259513.173139,1.874074
baseline,iteration_1,16,19,3,1780259511.299065,1780259513.173139,1.874074
baseline,iteration_1,16,19,4,1780259511.299065,1780259513.173139,1.874074
baseline,iteration_1,16,19,5,1780259511.299065,1780259513.173139,1.874074
baseline,iteration_1,17,20,1,1780259512.318610,1780259514.174227,1.855617
baseline,iteration_1,17,20,2,1780259512.318610,1780259514.174227,1.855617
baseline,iteration_1,17,20,3,1780259512.318610,1780259514.174227,1.855617
baseline,iteration_1,17,20,4,1780259512.318610,1780259514.174227,1.855617
baseline,iteration_1,17,20,5,1780259512.318610,1780259514.174227,1.855617
baseline,iteration_1,18,21,1,1780259513.244318,1780259515.214606,1.970288
baseline,iteration_1,18,21,2,1780259513.244318,1780259515.214606,1.970288
baseline,iteration_1,18,21,3,1780259513.244318,1780259515.214606,1.970288
baseline,iteration_1,18,21,4,1780259513.244318,1780259515.214606,1.970288
baseline,iteration_1,18,21,5,1780259513.244318,1780259515.214606,1.970288
baseline,iteration_1,19,22,1,1780259514.402646,1780259516.214688,1.812042
baseline,iteration_1,19,22,2,1780259514.402646,1780259516.214688,1.812042
baseline,iteration_1,19,22,3,1780259514.402646,1780259516.214688,1.812042
baseline,iteration_1,19,22,4,1780259514.402646,1780259516.214688,1.812042
baseline,iteration_1,19,22,5,1780259514.402646,1780259516.214688,1.812042
baseline,iteration_1,20,23,1,1780259515.434273,1780259517.216501,1.782228
baseline,iteration_1,20,23,2,1780259515.434273,1780259517.216501,1.782228
baseline,iteration_1,20,23,3,1780259515.434273,1780259517.216501,1.782228
baseline,iteration_1,20,23,4,1780259515.434273,1780259517.216501,1.782228
baseline,iteration_1,20,23,5,1780259515.434273,1780259517.216501,1.782228
baseline,iteration_1,21,24,1,1780259516.505736,1780259518.258062,1.752326
baseline,iteration_1,21,24,2,1780259516.505736,1780259518.258062,1.752326
baseline,iteration_1,21,24,3,1780259516.505736,1780259518.258062,1.752326
baseline,iteration_1,21,24,4,1780259516.505736,1780259518.258062,1.752326
baseline,iteration_1,21,24,5,1780259516.505736,1780259518.258062,1.752326
baseline,iteration_1,22,25,1,1780259517.589339,1780259519.273602,1.684263
baseline,iteration_1,22,25,2,1780259517.589339,1780259519.273602,1.684263
baseline,iteration_1,22,25,3,1780259517.589339,1780259519.273602,1.684263
baseline,iteration_1,22,25,4,1780259517.589339,1780259519.273602,1.684263
baseline,iteration_1,22,25,5,1780259517.589339,1780259519.273602,1.684263
baseline,iteration_1,23,26,1,1780259518.440099,1780259520.274087,1.833988
baseline,iteration_1,23,26,2,1780259518.440099,1780259520.274087,1.833988
baseline,iteration_1,23,26,3,1780259518.440099,1780259520.274087,1.833988
baseline,iteration_1,23,26,4,1780259518.440099,1780259520.274087,1.833988
baseline,iteration_1,23,26,5,1780259518.440099,1780259520.274087,1.833988
baseline,iteration_1,24,27,1,1780259519.571886,1780259521.334485,1.762599
baseline,iteration_1,24,27,2,1780259519.571886,1780259521.334485,1.762599
baseline,iteration_1,24,27,3,1780259519.571886,1780259521.334485,1.762599
baseline,iteration_1,24,27,4,1780259519.571886,1780259521.334485,1.762599
baseline,iteration_1,24,27,5,1780259519.571886,1780259521.334485,1.762599
baseline,iteration_1,25,28,1,1780259520.621748,1780259522.375778,1.754030
baseline,iteration_1,25,28,2,1780259520.621748,1780259522.375778,1.754030
baseline,iteration_1,25,28,3,1780259520.621748,1780259522.375778,1.754030
baseline,iteration_1,25,28,4,1780259520.621748,1780259522.375778,1.754030
baseline,iteration_1,25,28,5,1780259520.621748,1780259522.375778,1.754030
baseline,iteration_1,26,29,1,1780259521.623578,1780259524.389173,2.765595
