scenario (-),iteration (-),cycle_id (-),bus (-),v_field (pu),v_dt (pu),drift_signed (pu),drift_abs (pu),drift (%)
baseline,iteration_1,13,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,13,2,1.010627,1.010637,0.000010,0.000010,0.000989
baseline,iteration_1,13,3,1.008884,1.008886,0.000002,0.000002,0.000198
baseline,iteration_1,13,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,13,5,1.007553,1.007550,-0.000003,0.000003,0.000298
baseline,iteration_1,14,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,14,2,1.009775,1.009769,-0.000006,0.000006,0.000594
baseline,iteration_1,14,3,1.008216,1.008218,0.000002,0.000002,0.000198
baseline,iteration_1,14,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,14,5,1.006861,1.006862,0.000001,0.000001,0.000099
baseline,iteration_1,15,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,15,2,1.010507,1.010523,0.000016,0.000016,0.001583
baseline,iteration_1,15,3,1.008649,1.008662,0.000013,0.000013,0.001289
baseline,iteration_1,15,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,15,5,1.007392,1.007396,0.000004,0.000004,0.000397
baseline,iteration_1,16,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,16,2,1.010130,1.010304,0.000174,0.000174,0.017226
baseline,iteration_1,16,3,1.008286,1.008389,0.000103,0.000103,0.010215
baseline,iteration_1,16,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,16,5,1.006847,1.006847,0.000000,0.000000,0.000000
baseline,iteration_1,17,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,17,2,1.010892,1.010103,-0.000789,0.000789,0.078050
baseline,iteration_1,17,3,1.008819,1.008259,-0.000560,0.000560,0.055510
baseline,iteration_1,17,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,17,5,1.007088,1.007083,-0.000005,0.000005,0.000496
baseline,iteration_1,18,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,18,2,1.009973,1.009994,0.000021,0.000021,0.002079
baseline,iteration_1,18,3,1.008443,1.008461,0.000018,0.000018,0.001785
baseline,iteration_1,18,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,18,5,1.007381,1.007381,0.000000,0.000000,0.000000
baseline,iteration_1,19,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,19,2,1.010699,1.010682,-0.000017,0.000017,0.001682
baseline,iteration_1,19,3,1.009129,1.009123,-0.000006,0.000006,0.000595
baseline,iteration_1,19,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,19,5,1.007112,1.007143,0.000031,0.000031,0.003078
baseline,iteration_1,20,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,20,2,1.010652,1.010628,-0.000024,0.000024,0.002375
baseline,iteration_1,20,3,1.008533,1.008506,-0.000027,0.000027,0.002677
baseline,iteration_1,20,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,20,5,1.006787,1.006786,-0.000001,0.000001,0.000099
baseline,iteration_1,21,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,21,2,1.010783,1.010795,0.000012,0.000012,0.001187
baseline,iteration_1,21,3,1.009160,1.009173,0.000013,0.000013,0.001288
baseline,iteration_1,21,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,21,5,1.006730,1.006730,0.000000,0.000000,0.000000
baseline,iteration_1,22,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,22,2,1.010142,1.010126,-0.000016,0.000016,0.001584
baseline,iteration_1,22,3,1.008437,1.008424,-0.000013,0.000013,0.001289
baseline,iteration_1,22,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,22,5,1.007068,1.007065,-0.000003,0.000003,0.000298
baseline,iteration_1,23,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,23,2,1.011480,1.011496,0.000016,0.000016,0.001582
baseline,iteration_1,23,3,1.009375,1.009400,0.000025,0.000025,0.002477
baseline,iteration_1,23,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,23,5,1.006774,1.006801,0.000027,0.000027,0.002682
baseline,iteration_1,24,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,24,2,1.011014,1.011022,0.000008,0.000008,0.000791
baseline,iteration_1,24,3,1.009354,1.009366,0.000012,0.000012,0.001189
baseline,iteration_1,24,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,24,5,1.007401,1.007396,-0.000005,0.000005,0.000496
baseline,iteration_1,25,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,25,2,1.010008,1.010017,0.000009,0.000009,0.000891
baseline,iteration_1,25,3,1.008547,1.008556,0.000009,0.000009,0.000892
baseline,iteration_1,25,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,25,5,1.007456,1.007456,0.000000,0.000000,0.000000
baseline,iteration_1,26,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,26,2,1.010601,1.010590,-0.000011,0.000011,0.001088
baseline,iteration_1,26,3,1.008965,1.008957,-0.000008,0.000008,0.000793
baseline,iteration_1,26,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,26,5,1.006989,1.006980,-0.000009,0.000009,0.000894
baseline,iteration_1,27,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,27,2,1.010247,1.010261,0.000014,0.000014,0.001386
baseline,iteration_1,27,3,1.008696,1.008708,0.000012,0.000012,0.001190
baseline,iteration_1,27,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,27,5,1.006955,1.006943,-0.000012,0.000012,0.001192
baseline,iteration_1,28,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,28,2,1.010945,1.010919,-0.000026,0.000026,0.002572
baseline,iteration_1,28,3,1.009110,1.009094,-0.000016,0.000016,0.001586
baseline,iteration_1,28,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,28,5,1.007283,1.007290,0.000007,0.000007,0.000695
baseline,iteration_1,29,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,29,2,1.010715,1.010720,0.000005,0.000005,0.000495
baseline,iteration_1,29,3,1.008480,1.008487,0.000007,0.000007,0.000694
baseline,iteration_1,29,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,29,5,1.007264,1.007254,-0.000010,0.000010,0.000993
baseline,iteration_1,30,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,30,2,1.010400,1.010408,0.000008,0.000008,0.000792
baseline,iteration_1,30,3,1.008523,1.008539,0.000016,0.000016,0.001586
baseline,iteration_1,30,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,30,5,1.007302,1.007296,-0.000006,0.000006,0.000596
baseline,iteration_1,31,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,31,2,1.010236,1.010261,0.000025,0.000025,0.002475
baseline,iteration_1,31,3,1.008856,1.008872,0.000016,0.000016,0.001586
baseline,iteration_1,31,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,31,5,1.007032,1.007049,0.000017,0.000017,0.001688
baseline,iteration_1,32,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,32,2,1.009841,1.009881,0.000040,0.000040,0.003961
baseline,iteration_1,32,3,1.007884,1.007923,0.000039,0.000039,0.003869
baseline,iteration_1,32,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,32,5,1.006940,1.006970,0.000030,0.000030,0.002979
baseline,iteration_1,33,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,33,2,1.010152,1.010134,-0.000018,0.000018,0.001782
baseline,iteration_1,33,3,1.008756,1.008742,-0.000014,0.000014,0.001388
baseline,iteration_1,33,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,33,5,1.006888,1.006904,0.000016,0.000016,0.001589
baseline,iteration_1,34,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,34,2,1.011566,1.011575,0.000009,0.000009,0.000890
baseline,iteration_1,34,3,1.009675,1.009681,0.000006,0.000006,0.000594
baseline,iteration_1,34,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,34,5,1.006680,1.006681,0.000001,0.000001,0.000099
baseline,iteration_1,35,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,35,2,1.010380,1.010377,-0.000003,0.000003,0.000297
baseline,iteration_1,35,3,1.008737,1.008740,0.000003,0.000003,0.000297
baseline,iteration_1,35,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,35,5,1.006653,1.006658,0.000005,0.000005,0.000497
baseline,iteration_1,36,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,36,2,1.010224,1.010233,0.000009,0.000009,0.000891
baseline,iteration_1,36,3,1.008492,1.008509,0.000017,0.000017,0.001686
baseline,iteration_1,36,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,36,5,1.007559,1.007575,0.000016,0.000016,0.001588
baseline,iteration_1,37,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,37,2,1.011107,1.011121,0.000014,0.000014,0.001385
baseline,iteration_1,37,3,1.009155,1.009163,0.000008,0.000008,0.000793
baseline,iteration_1,37,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,37,5,1.007413,1.007390,-0.000023,0.000023,0.002283
baseline,iteration_1,38,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,38,2,1.010904,1.010870,-0.000034,0.000034,0.003363
baseline,iteration_1,38,3,1.009165,1.009133,-0.000032,0.000032,0.003171
baseline,iteration_1,38,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,38,5,1.006949,1.006977,0.000028,0.000028,0.002781
baseline,iteration_1,39,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,39,2,1.011185,1.011182,-0.000003,0.000003,0.000297
baseline,iteration_1,39,3,1.009516,1.009510,-0.000006,0.000006,0.000594
baseline,iteration_1,39,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,39,5,1.007365,1.006977,-0.000388,0.000388,0.038516
baseline,iteration_1,40,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,40,2,1.011585,1.011803,0.000218,0.000218,0.021550
baseline,iteration_1,40,3,1.009579,1.009883,0.000304,0.000304,0.030112
baseline,iteration_1,40,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,40,5,1.007157,1.007362,0.000205,0.000205,0.020354
baseline,iteration_1,41,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,41,2,1.010168,1.011589,0.001421,0.001421,0.140670
baseline,iteration_1,41,3,1.008223,1.009581,0.001358,0.001358,0.134692
baseline,iteration_1,41,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,41,5,1.007106,1.007121,0.000015,0.000015,0.001489
baseline,iteration_1,42,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,42,2,1.011072,1.011077,0.000005,0.000005,0.000495
baseline,iteration_1,42,3,1.009384,1.009391,0.000007,0.000007,0.000693
baseline,iteration_1,42,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,42,5,1.007317,1.007319,0.000002,0.000002,0.000199
baseline,iteration_1,43,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,43,2,1.010581,1.010586,0.000005,0.000005,0.000495
baseline,iteration_1,43,3,1.008642,1.008655,0.000013,0.000013,0.001289
baseline,iteration_1,43,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,43,5,1.007317,1.007314,-0.000003,0.000003,0.000298
baseline,iteration_1,44,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,44,2,1.011134,1.011117,-0.000017,0.000017,0.001681
baseline,iteration_1,44,3,1.009235,1.009214,-0.000021,0.000021,0.002081
baseline,iteration_1,44,4,1.010000,1.010000,0.000000,0.000000,0.000000
baseline,iteration_1,44,5,1.006964,1.006960,-0.000004,0.000004,0.000397
baseline,iteration_1,45,1,1.020000,1.020000,0.000000,0.000000,0.000000
baseline,iteration_1,45,2,1.011279,1.011254,-0.000025,0.000025,0.002472
baseline,iteration_1,45,3,1.009287,1.009262,-0.000025,0.000025,0.002477
