scenario (-),iteration (-),matched_points (count),missing_h4_points (count),drift_abs_mean (pu),drift_abs_std_dev (pu),drift_abs_max (pu),drift_mean (%),drift_std_dev (%)
baseline,iteration_1,395,5,0.000037,0.000153,0.001421,0.003709,0.015191
baseline,iteration_2,395,10,0.000035,0.000122,0.001173,0.003491,0.012112
baseline,iteration_3,390,10,0.000024,0.000095,0.001073,0.002377,0.009412
dos_light,iteration_1,375,30,0.000069,0.000168,0.001106,0.006860,0.016663
dos_light,iteration_2,380,20,0.000026,0.000129,0.001356,0.002574,0.012793
dos_light,iteration_3,203,33,0.129739,0.337819,1.011755,12.858354,33.481221
dos_heavy,iteration_1,305,100,0.000201,0.000351,0.002238,0.019941,0.034797
dos_heavy,iteration_2,191,33,0.164277,0.372763,1.015396,16.282552,36.947052
dos_heavy,iteration_3,178,74,0.142087,0.351118,1.010443,14.092266,34.824305
mitm,iteration_1,218,3,0.232258,0.424793,1.015861,23.015786,42.095374
mitm,iteration_2,209,9,0.179525,0.385905,1.015240,17.782410,38.225032
mitm,iteration_3,224,2,0.208171,0.408231,1.016041,20.623010,40.442777
