scenario (-),iteration (-),cmd_id (-),origin_cycle (-),bus (-),field_breaker_actual (-),dt_breaker_cmd (-),false_control_action (-)
baseline,iteration_1,10,13,1,1,1,0
baseline,iteration_1,10,13,2,1,1,0
baseline,iteration_1,10,13,3,1,1,0
baseline,iteration_1,10,13,4,1,1,0
baseline,iteration_1,10,13,5,1,1,0
baseline,iteration_1,11,14,1,1,1,0
baseline,iteration_1,11,14,2,1,1,0
baseline,iteration_1,11,14,3,1,1,0
baseline,iteration_1,11,14,4,1,1,0
baseline,iteration_1,11,14,5,1,1,0
baseline,iteration_1,12,15,1,1,1,0
baseline,iteration_1,12,15,2,1,1,0
baseline,iteration_1,12,15,3,1,1,0
baseline,iteration_1,12,15,4,1,1,0
baseline,iteration_1,12,15,5,1,1,0
baseline,iteration_1,13,16,1,1,1,0
baseline,iteration_1,13,16,2,1,1,0
baseline,iteration_1,13,16,3,1,1,0
baseline,iteration_1,13,16,4,1,1,0
baseline,iteration_1,13,16,5,1,1,0
baseline,iteration_1,14,17,1,1,1,0
baseline,iteration_1,14,17,2,1,1,0
baseline,iteration_1,14,17,3,1,1,0
baseline,iteration_1,14,17,4,1,1,0
baseline,iteration_1,14,17,5,1,1,0
baseline,iteration_1,15,18,1,1,1,0
baseline,iteration_1,15,18,2,1,1,0
baseline,iteration_1,15,18,3,1,1,0
baseline,iteration_1,15,18,4,1,1,0
baseline,iteration_1,15,18,5,1,1,0
baseline,iteration_1,16,19,1,1,1,0
baseline,iteration_1,16,19,2,1,1,0
baseline,iteration_1,16,19,3,1,1,0
baseline,iteration_1,16,19,4,1,1,0
baseline,iteration_1,16,19,5,1,1,0
baseline,iteration_1,17,20,1,1,1,0
baseline,iteration_1,17,20,2,1,1,0
baseline,iteration_1,17,20,3,1,1,0
baseline,iteration_1,17,20,4,1,1,0
baseline,iteration_1,17,20,5,1,1,0
baseline,iteration_1,18,21,1,1,1,0
baseline,iteration_1,18,21,2,1,1,0
baseline,iteration_1,18,21,3,1,1,0
baseline,iteration_1,18,21,4,1,1,0
baseline,iteration_1,18,21,5,1,1,0
baseline,iteration_1,19,22,1,1,1,0
baseline,iteration_1,19,22,2,1,1,0
baseline,iteration_1,19,22,3,1,1,0
baseline,iteration_1,19,22,4,1,1,0
baseline,iteration_1,19,22,5,1,1,0
baseline,iteration_1,20,23,1,1,1,0
baseline,iteration_1,20,23,2,1,1,0
baseline,iteration_1,20,23,3,1,1,0
baseline,iteration_1,20,23,4,1,1,0
baseline,iteration_1,20,23,5,1,1,0
baseline,iteration_1,21,24,1,1,1,0
baseline,iteration_1,21,24,2,1,1,0
baseline,iteration_1,21,24,3,1,1,0
baseline,iteration_1,21,24,4,1,1,0
baseline,iteration_1,21,24,5,1,1,0
baseline,iteration_1,22,25,1,1,1,0
baseline,iteration_1,22,25,2,1,1,0
baseline,iteration_1,22,25,3,1,1,0
baseline,iteration_1,22,25,4,1,1,0
baseline,iteration_1,22,25,5,1,1,0
baseline,iteration_1,23,26,1,1,1,0
baseline,iteration_1,23,26,2,1,1,0
baseline,iteration_1,23,26,3,1,1,0
baseline,iteration_1,23,26,4,1,1,0
baseline,iteration_1,23,26,5,1,1,0
baseline,iteration_1,24,27,1,1,1,0
baseline,iteration_1,24,27,2,1,1,0
baseline,iteration_1,24,27,3,1,1,0
baseline,iteration_1,24,27,4,1,1,0
baseline,iteration_1,24,27,5,1,1,0
baseline,iteration_1,25,28,1,1,1,0
baseline,iteration_1,25,28,2,1,1,0
baseline,iteration_1,25,28,3,1,1,0
baseline,iteration_1,25,28,4,1,1,0
baseline,iteration_1,25,28,5,1,1,0
baseline,iteration_1,26,29,1,1,1,0
baseline,iteration_1,26,29,2,1,1,0
baseline,iteration_1,26,29,3,1,1,0
baseline,iteration_1,26,29,4,1,1,0
baseline,iteration_1,26,29,5,1,1,0
baseline,iteration_1,27,30,1,1,1,0
baseline,iteration_1,27,30,2,1,1,0
baseline,iteration_1,27,30,3,1,1,0
baseline,iteration_1,27,30,4,1,1,0
baseline,iteration_1,27,30,5,1,1,0
baseline,iteration_1,28,31,1,1,1,0
baseline,iteration_1,28,31,2,1,1,0
baseline,iteration_1,28,31,3,1,1,0
baseline,iteration_1,28,31,4,1,1,0
baseline,iteration_1,28,31,5,1,1,0
baseline,iteration_1,29,32,1,1,1,0
baseline,iteration_1,29,32,2,1,1,0
baseline,iteration_1,29,32,3,1,1,0
baseline,iteration_1,29,32,4,1,1,0
baseline,iteration_1,29,32,5,1,1,0
baseline,iteration_1,30,33,1,1,1,0
baseline,iteration_1,30,33,2,1,1,0
baseline,iteration_1,30,33,3,1,1,0
baseline,iteration_1,30,33,4,1,1,0
baseline,iteration_1,30,33,5,1,1,0
baseline,iteration_1,31,34,1,1,1,0
baseline,iteration_1,31,34,2,1,1,0
baseline,iteration_1,31,34,3,1,1,0
baseline,iteration_1,31,34,4,1,1,0
baseline,iteration_1,31,34,5,1,1,0
baseline,iteration_1,32,35,1,1,1,0
baseline,iteration_1,32,35,2,1,1,0
baseline,iteration_1,32,35,3,1,1,0
baseline,iteration_1,32,35,4,1,1,0
baseline,iteration_1,32,35,5,1,1,0
baseline,iteration_1,33,36,1,1,1,0
baseline,iteration_1,33,36,2,1,1,0
baseline,iteration_1,33,36,3,1,1,0
baseline,iteration_1,33,36,4,1,1,0
baseline,iteration_1,33,36,5,1,1,0
baseline,iteration_1,34,37,1,1,1,0
baseline,iteration_1,34,37,2,1,1,0
baseline,iteration_1,34,37,3,1,1,0
baseline,iteration_1,34,37,4,1,1,0
baseline,iteration_1,34,37,5,1,1,0
baseline,iteration_1,35,38,1,1,1,0
baseline,iteration_1,35,38,2,1,1,0
baseline,iteration_1,35,38,3,1,1,0
baseline,iteration_1,35,38,4,1,1,0
baseline,iteration_1,35,38,5,1,1,0
baseline,iteration_1,36,39,1,1,1,0
baseline,iteration_1,36,39,2,1,1,0
baseline,iteration_1,36,39,3,1,1,0
baseline,iteration_1,36,39,4,1,1,0
baseline,iteration_1,36,39,5,1,1,0
baseline,iteration_1,37,40,1,1,1,0
baseline,iteration_1,37,40,2,1,1,0
baseline,iteration_1,37,40,3,1,1,0
baseline,iteration_1,37,40,4,1,1,0
baseline,iteration_1,37,40,5,1,1,0
baseline,iteration_1,38,41,1,1,1,0
baseline,iteration_1,38,41,2,1,1,0
baseline,iteration_1,38,41,3,1,1,0
baseline,iteration_1,38,41,4,1,1,0
baseline,iteration_1,38,41,5,1,1,0
baseline,iteration_1,39,42,1,1,1,0
baseline,iteration_1,39,42,2,1,1,0
baseline,iteration_1,39,42,3,1,1,0
baseline,iteration_1,39,42,4,1,1,0
baseline,iteration_1,39,42,5,1,1,0
baseline,iteration_1,40,43,1,1,1,0
baseline,iteration_1,40,43,2,1,1,0
baseline,iteration_1,40,43,3,1,1,0
baseline,iteration_1,40,43,4,1,1,0
baseline,iteration_1,40,43,5,1,1,0
baseline,iteration_1,41,44,1,1,1,0
baseline,iteration_1,41,44,2,1,1,0
baseline,iteration_1,41,44,3,1,1,0
baseline,iteration_1,41,44,4,1,1,0
baseline,iteration_1,41,44,5,1,1,0
baseline,iteration_1,42,45,1,1,1,0
baseline,iteration_1,42,45,2,1,1,0
baseline,iteration_1,42,45,3,1,1,0
baseline,iteration_1,42,45,4,1,1,0
baseline,iteration_1,42,45,5,1,1,0
baseline,iteration_1,43,46,1,1,1,0
baseline,iteration_1,43,46,2,1,1,0
baseline,iteration_1,43,46,3,1,1,0
baseline,iteration_1,43,46,4,1,1,0
baseline,iteration_1,43,46,5,1,1,0
baseline,iteration_1,44,47,1,1,1,0
baseline,iteration_1,44,47,2,1,1,0
baseline,iteration_1,44,47,3,1,1,0
baseline,iteration_1,44,47,4,1,1,0
baseline,iteration_1,44,47,5,1,1,0
baseline,iteration_1,45,48,1,1,1,0
baseline,iteration_1,45,48,2,1,1,0
baseline,iteration_1,45,48,3,1,1,0
baseline,iteration_1,45,48,4,1,1,0
baseline,iteration_1,45,48,5,1,1,0
baseline,iteration_1,46,49,1,1,1,0
baseline,iteration_1,46,49,2,1,1,0
baseline,iteration_1,46,49,3,1,1,0
baseline,iteration_1,46,49,4,1,1,0
baseline,iteration_1,46,49,5,1,1,0
baseline,iteration_1,47,50,1,1,1,0
baseline,iteration_1,47,50,2,1,1,0
baseline,iteration_1,47,50,3,1,1,0
baseline,iteration_1,47,50,4,1,1,0
baseline,iteration_1,47,50,5,1,1,0
baseline,iteration_1,48,51,1,1,1,0
baseline,iteration_1,48,51,2,1,1,0
baseline,iteration_1,48,51,3,1,1,0
baseline,iteration_1,48,51,4,1,1,0
baseline,iteration_1,48,51,5,1,1,0
baseline,iteration_1,49,52,1,1,1,0
baseline,iteration_1,49,52,2,1,1,0
baseline,iteration_1,49,52,3,1,1,0
baseline,iteration_1,49,52,4,1,1,0
baseline,iteration_1,49,52,5,1,1,0
baseline,iteration_1,50,53,1,1,1,0
baseline,iteration_1,50,53,2,1,1,0
baseline,iteration_1,50,53,3,1,1,0
baseline,iteration_1,50,53,4,1,1,0
baseline,iteration_1,50,53,5,1,1,0
baseline,iteration_1,51,54,1,1,1,0
baseline,iteration_1,51,54,2,1,1,0
baseline,iteration_1,51,54,3,1,1,0
baseline,iteration_1,51,54,4,1,1,0
baseline,iteration_1,51,54,5,1,1,0
baseline,iteration_1,52,55,1,1,1,0
baseline,iteration_1,52,55,2,1,1,0
baseline,iteration_1,52,55,3,1,1,0
baseline,iteration_1,52,55,4,1,1,0
baseline,iteration_1,52,55,5,1,1,0
baseline,iteration_1,53,56,1,1,1,0
baseline,iteration_1,53,56,2,1,1,0
baseline,iteration_1,53,56,3,1,1,0
baseline,iteration_1,53,56,4,1,1,0
baseline,iteration_1,53,56,5,1,1,0
baseline,iteration_1,54,57,1,1,1,0
baseline,iteration_1,54,57,2,1,1,0
baseline,iteration_1,54,57,3,1,1,0
baseline,iteration_1,54,57,4,1,1,0
baseline,iteration_1,54,57,5,1,1,0
baseline,iteration_1,55,58,1,1,1,0
baseline,iteration_1,55,58,2,1,1,0
baseline,iteration_1,55,58,3,1,1,0
baseline,iteration_1,55,58,4,1,1,0
baseline,iteration_1,55,58,5,1,1,0
baseline,iteration_1,56,59,1,1,1,0
baseline,iteration_1,56,59,2,1,1,0
baseline,iteration_1,56,59,3,1,1,0
baseline,iteration_1,56,59,4,1,1,0
baseline,iteration_1,56,59,5,1,1,0
baseline,iteration_1,57,60,1,1,1,0
baseline,iteration_1,57,60,2,1,1,0
baseline,iteration_1,57,60,3,1,1,0
baseline,iteration_1,57,60,4,1,1,0
baseline,iteration_1,57,60,5,1,1,0
baseline,iteration_1,58,61,1,1,1,0
baseline,iteration_1,58,61,2,1,1,0
baseline,iteration_1,58,61,3,1,1,0
baseline,iteration_1,58,61,4,1,1,0
baseline,iteration_1,58,61,5,1,1,0
baseline,iteration_1,59,62,1,1,1,0
baseline,iteration_1,59,62,2,1,1,0
baseline,iteration_1,59,62,3,1,1,0
baseline,iteration_1,59,62,4,1,1,0
baseline,iteration_1,59,62,5,1,1,0
baseline,iteration_1,60,63,1,1,1,0
baseline,iteration_1,60,63,2,1,1,0
baseline,iteration_1,60,63,3,1,1,0
baseline,iteration_1,60,63,4,1,1,0
baseline,iteration_1,60,63,5,1,1,0
baseline,iteration_1,61,64,1,1,1,0
baseline,iteration_1,61,64,2,1,1,0
baseline,iteration_1,61,64,3,1,1,0
baseline,iteration_1,61,64,4,1,1,0
baseline,iteration_1,61,64,5,1,1,0
baseline,iteration_1,62,65,1,1,1,0
baseline,iteration_1,62,65,2,1,1,0
baseline,iteration_1,62,65,3,1,1,0
baseline,iteration_1,62,65,4,1,1,0
baseline,iteration_1,62,65,5,1,1,0
baseline,iteration_1,63,66,1,1,1,0
baseline,iteration_1,63,66,2,1,1,0
baseline,iteration_1,63,66,3,1,1,0
baseline,iteration_1,63,66,4,1,1,0
baseline,iteration_1,63,66,5,1,1,0
baseline,iteration_1,64,67,1,1,1,0
baseline,iteration_1,64,67,2,1,1,0
baseline,iteration_1,64,67,3,1,1,0
baseline,iteration_1,64,67,4,1,1,0
baseline,iteration_1,64,67,5,1,1,0
baseline,iteration_1,65,68,1,1,1,0
baseline,iteration_1,65,68,2,1,1,0
baseline,iteration_1,65,68,3,1,1,0
baseline,iteration_1,65,68,4,1,1,0
baseline,iteration_1,65,68,5,1,1,0
baseline,iteration_1,66,69,1,1,1,0
baseline,iteration_1,66,69,2,1,1,0
baseline,iteration_1,66,69,3,1,1,0
baseline,iteration_1,66,69,4,1,1,0
baseline,iteration_1,66,69,5,1,1,0
baseline,iteration_1,67,70,1,1,1,0
baseline,iteration_1,67,70,2,1,1,0
baseline,iteration_1,67,70,3,1,1,0
baseline,iteration_1,67,70,4,1,1,0
baseline,iteration_1,67,70,5,1,1,0
baseline,iteration_1,68,71,1,1,1,0
baseline,iteration_1,68,71,2,1,1,0
baseline,iteration_1,68,71,3,1,1,0
baseline,iteration_1,68,71,4,1,1,0
baseline,iteration_1,68,71,5,1,1,0
baseline,iteration_1,69,72,1,1,1,0
baseline,iteration_1,69,72,2,1,1,0
baseline,iteration_1,69,72,3,1,1,0
baseline,iteration_1,69,72,4,1,1,0
baseline,iteration_1,69,72,5,1,1,0
baseline,iteration_1,70,73,1,1,1,0
baseline,iteration_1,70,73,2,1,1,0
baseline,iteration_1,70,73,3,1,1,0
baseline,iteration_1,70,73,4,1,1,0
baseline,iteration_1,70,73,5,1,1,0
baseline,iteration_1,71,74,1,1,1,0
baseline,iteration_1,71,74,2,1,1,0
baseline,iteration_1,71,74,3,1,1,0
baseline,iteration_1,71,74,4,1,1,0
baseline,iteration_1,71,74,5,1,1,0
baseline,iteration_1,72,75,1,1,1,0
baseline,iteration_1,72,75,2,1,1,0
baseline,iteration_1,72,75,3,1,1,0
baseline,iteration_1,72,75,4,1,1,0
baseline,iteration_1,72,75,5,1,1,0
baseline,iteration_1,73,76,1,1,1,0
baseline,iteration_1,73,76,2,1,1,0
baseline,iteration_1,73,76,3,1,1,0
baseline,iteration_1,73,76,4,1,1,0
baseline,iteration_1,73,76,5,1,1,0
baseline,iteration_1,74,77,1,1,1,0
baseline,iteration_1,74,77,2,1,1,0
baseline,iteration_1,74,77,3,1,1,0
baseline,iteration_1,74,77,4,1,1,0
baseline,iteration_1,74,77,5,1,1,0
baseline,iteration_1,75,78,1,1,1,0
baseline,iteration_1,75,78,2,1,1,0
baseline,iteration_1,75,78,3,1,1,0
baseline,iteration_1,75,78,4,1,1,0
baseline,iteration_1,75,78,5,1,1,0
