comparison (-),iteration (-),origin_cycle (-),bus (-),baseline_cmd_id (-),mitm_cmd_id (-),baseline_breaker_DT (-),mitm_breaker_DT (-),false_control_action (-),control_error_type (-)
mitm_vs_baseline,iteration_1,12,1,9,8,1,1,0,correct
mitm_vs_baseline,iteration_1,12,2,9,8,1,1,0,correct
mitm_vs_baseline,iteration_1,12,3,9,8,1,1,0,correct
mitm_vs_baseline,iteration_1,12,4,9,8,1,0,1,false_open
mitm_vs_baseline,iteration_1,12,5,9,8,1,1,0,correct
mitm_vs_baseline,iteration_1,13,1,10,9,1,1,0,correct
mitm_vs_baseline,iteration_1,13,2,10,9,1,1,0,correct
mitm_vs_baseline,iteration_1,13,3,10,9,1,1,0,correct
mitm_vs_baseline,iteration_1,13,4,10,9,1,0,1,false_open
mitm_vs_baseline,iteration_1,13,5,10,9,1,1,0,correct
mitm_vs_baseline,iteration_1,14,1,11,10,1,1,0,correct
mitm_vs_baseline,iteration_1,14,2,11,10,1,1,0,correct
mitm_vs_baseline,iteration_1,14,3,11,10,1,0,1,false_open
mitm_vs_baseline,iteration_1,14,4,11,10,1,1,0,correct
mitm_vs_baseline,iteration_1,14,5,11,10,1,1,0,correct
mitm_vs_baseline,iteration_1,15,1,12,11,1,1,0,correct
mitm_vs_baseline,iteration_1,15,2,12,11,1,1,0,correct
mitm_vs_baseline,iteration_1,15,3,12,11,1,1,0,correct
mitm_vs_baseline,iteration_1,15,4,12,11,1,1,0,correct
mitm_vs_baseline,iteration_1,15,5,12,11,1,1,0,correct
mitm_vs_baseline,iteration_1,16,1,13,12,1,1,0,correct
mitm_vs_baseline,iteration_1,16,2,13,12,1,1,0,correct
mitm_vs_baseline,iteration_1,16,3,13,12,1,1,0,correct
mitm_vs_baseline,iteration_1,16,4,13,12,1,1,0,correct
mitm_vs_baseline,iteration_1,16,5,13,12,1,1,0,correct
mitm_vs_baseline,iteration_1,17,1,14,13,1,0,1,false_open
mitm_vs_baseline,iteration_1,17,2,14,13,1,0,1,false_open
mitm_vs_baseline,iteration_1,17,3,14,13,1,0,1,false_open
mitm_vs_baseline,iteration_1,17,4,14,13,1,1,0,correct
mitm_vs_baseline,iteration_1,17,5,14,13,1,1,0,correct
mitm_vs_baseline,iteration_1,18,1,15,14,1,0,1,false_open
mitm_vs_baseline,iteration_1,18,2,15,14,1,0,1,false_open
mitm_vs_baseline,iteration_1,18,3,15,14,1,0,1,false_open
mitm_vs_baseline,iteration_1,18,4,15,14,1,1,0,correct
mitm_vs_baseline,iteration_1,18,5,15,14,1,1,0,correct
mitm_vs_baseline,iteration_1,19,1,16,15,1,1,0,correct
mitm_vs_baseline,iteration_1,19,2,16,15,1,0,1,false_open
mitm_vs_baseline,iteration_1,19,3,16,15,1,0,1,false_open
mitm_vs_baseline,iteration_1,19,4,16,15,1,1,0,correct
mitm_vs_baseline,iteration_1,19,5,16,15,1,1,0,correct
mitm_vs_baseline,iteration_1,20,1,17,16,1,1,0,correct
mitm_vs_baseline,iteration_1,20,2,17,16,1,0,1,false_open
mitm_vs_baseline,iteration_1,20,3,17,16,1,0,1,false_open
mitm_vs_baseline,iteration_1,20,4,17,16,1,1,0,correct
mitm_vs_baseline,iteration_1,20,5,17,16,1,1,0,correct
mitm_vs_baseline,iteration_1,21,1,18,17,1,1,0,correct
mitm_vs_baseline,iteration_1,21,2,18,17,1,1,0,correct
mitm_vs_baseline,iteration_1,21,3,18,17,1,0,1,false_open
mitm_vs_baseline,iteration_1,21,4,18,17,1,1,0,correct
mitm_vs_baseline,iteration_1,21,5,18,17,1,1,0,correct
mitm_vs_baseline,iteration_1,22,1,19,18,1,1,0,correct
mitm_vs_baseline,iteration_1,22,2,19,18,1,1,0,correct
mitm_vs_baseline,iteration_1,22,3,19,18,1,0,1,false_open
mitm_vs_baseline,iteration_1,22,4,19,18,1,1,0,correct
mitm_vs_baseline,iteration_1,22,5,19,18,1,1,0,correct
mitm_vs_baseline,iteration_1,23,1,20,19,1,1,0,correct
mitm_vs_baseline,iteration_1,23,2,20,19,1,1,0,correct
mitm_vs_baseline,iteration_1,23,3,20,19,1,1,0,correct
mitm_vs_baseline,iteration_1,23,4,20,19,1,1,0,correct
mitm_vs_baseline,iteration_1,23,5,20,19,1,1,0,correct
mitm_vs_baseline,iteration_1,24,1,21,20,1,1,0,correct
mitm_vs_baseline,iteration_1,24,2,21,20,1,1,0,correct
mitm_vs_baseline,iteration_1,24,3,21,20,1,1,0,correct
mitm_vs_baseline,iteration_1,24,4,21,20,1,1,0,correct
mitm_vs_baseline,iteration_1,24,5,21,20,1,1,0,correct
mitm_vs_baseline,iteration_1,25,1,22,21,1,0,1,false_open
mitm_vs_baseline,iteration_1,25,2,22,21,1,0,1,false_open
mitm_vs_baseline,iteration_1,25,3,22,21,1,0,1,false_open
mitm_vs_baseline,iteration_1,25,4,22,21,1,1,0,correct
mitm_vs_baseline,iteration_1,25,5,22,21,1,1,0,correct
mitm_vs_baseline,iteration_1,26,1,23,22,1,0,1,false_open
mitm_vs_baseline,iteration_1,26,2,23,22,1,0,1,false_open
mitm_vs_baseline,iteration_1,26,3,23,22,1,0,1,false_open
mitm_vs_baseline,iteration_1,26,4,23,22,1,1,0,correct
mitm_vs_baseline,iteration_1,26,5,23,22,1,1,0,correct
mitm_vs_baseline,iteration_1,27,1,24,23,1,1,0,correct
mitm_vs_baseline,iteration_1,27,2,24,23,1,0,1,false_open
mitm_vs_baseline,iteration_1,27,3,24,23,1,0,1,false_open
mitm_vs_baseline,iteration_1,27,4,24,23,1,1,0,correct
mitm_vs_baseline,iteration_1,27,5,24,23,1,1,0,correct
mitm_vs_baseline,iteration_1,28,1,25,24,1,1,0,correct
mitm_vs_baseline,iteration_1,28,2,25,24,1,0,1,false_open
mitm_vs_baseline,iteration_1,28,3,25,24,1,0,1,false_open
mitm_vs_baseline,iteration_1,28,4,25,24,1,1,0,correct
mitm_vs_baseline,iteration_1,28,5,25,24,1,1,0,correct
mitm_vs_baseline,iteration_1,29,1,26,25,1,1,0,correct
mitm_vs_baseline,iteration_1,29,2,26,25,1,1,0,correct
mitm_vs_baseline,iteration_1,29,3,26,25,1,0,1,false_open
mitm_vs_baseline,iteration_1,29,4,26,25,1,1,0,correct
mitm_vs_baseline,iteration_1,29,5,26,25,1,1,0,correct
mitm_vs_baseline,iteration_1,30,1,27,26,1,1,0,correct
mitm_vs_baseline,iteration_1,30,2,27,26,1,1,0,correct
mitm_vs_baseline,iteration_1,30,3,27,26,1,0,1,false_open
mitm_vs_baseline,iteration_1,30,4,27,26,1,1,0,correct
mitm_vs_baseline,iteration_1,30,5,27,26,1,1,0,correct
mitm_vs_baseline,iteration_1,31,1,28,27,1,1,0,correct
mitm_vs_baseline,iteration_1,31,2,28,27,1,1,0,correct
mitm_vs_baseline,iteration_1,31,3,28,27,1,1,0,correct
