cmd_id,origin_cycle,ts_received,ts_sent,breaker_DT
0,0,1780243262.472848,1780243262.474933,1:1;2:1;3:1;4:1;5:1
0,0,1780243263.481538,1780243263.482826,1:1;2:1;3:1;4:1;5:1
0,0,1780243264.482831,1780243264.484030,1:1;2:1;3:1;4:1;5:1
0,0,1780243265.483207,1780243265.484409,1:1;2:1;3:1;4:1;5:1
0,0,1780243266.483439,1780243266.485085,1:1;2:1;3:1;4:1;5:1
1,6,1780243267.484233,1780243267.486218,1:1;2:1;3:1;4:1;5:1
2,7,1780243268.497239,1780243268.501246,1:1;2:1;3:1;4:1;5:1
3,8,1780243269.500975,1780243269.503636,1:1;2:1;3:1;4:1;5:1
4,9,1780243270.503394,1780243270.505989,1:1;2:1;3:1;4:1;5:1
5,10,1780243271.529183,1780243271.538484,1:1;2:1;3:1;4:1;5:1
6,11,1780243272.528492,1780243272.530243,1:1;2:1;3:1;4:1;5:1
7,12,1780243273.530169,1780243273.533462,1:1;2:1;3:1;4:1;5:1
8,13,1780243274.530351,1780243274.531639,1:1;2:1;3:1;4:1;5:1
9,14,1780243275.533417,1780243275.535935,1:1;2:1;3:1;4:1;5:1
10,15,1780243276.538567,1780243276.543713,1:1;2:1;3:1;4:1;5:1
11,16,1780243277.540542,1780243277.545147,1:1;2:1;3:1;4:1;5:1
12,17,1780243278.545073,1780243278.548984,1:1;2:1;3:1;4:1;5:1
13,18,1780243279.546341,1780243279.548036,1:1;2:1;3:1;4:1;5:1
14,19,1780243280.550239,1780243280.556940,1:1;2:1;3:1;4:1;5:1
15,20,1780243281.552911,1780243281.559581,1:1;2:1;3:1;4:1;5:1
16,21,1780243282.553751,1780243282.556910,1:1;2:1;3:1;4:1;5:1
17,22,1780243283.554286,1780243283.556105,1:1;2:1;3:1;4:1;5:1
18,23,1780243284.556128,1780243284.562462,1:1;2:1;3:1;4:1;5:1
19,24,1780243285.556588,1780243285.561833,1:1;2:1;3:1;4:1;5:1
20,25,1780243286.582975,1780243286.586292,1:1;2:1;3:1;4:1;5:1
21,26,1780243287.585572,1780243287.587262,1:1;2:1;3:1;4:1;5:1
22,27,1780243288.586452,1780243288.589558,1:1;2:1;3:1;4:1;5:1
23,28,1780243289.588273,1780243289.591693,1:1;2:1;3:1;4:1;5:1
24,29,1780243290.589877,1780243290.594564,1:1;2:1;3:1;4:1;5:1
25,30,1780243291.593051,1780243291.598610,1:1;2:1;3:1;4:1;5:1
26,31,1780243292.594932,1780243292.599041,1:1;2:1;3:1;4:1;5:1
26,31,1780243293.600149,1780243293.611017,1:1;2:1;3:1;4:1;5:1
27,33,1780243294.600666,1780243294.603976,1:1;2:1;3:1;4:1;5:1
28,34,1780243295.620807,1780243295.631096,1:1;2:1;3:1;4:1;5:1
29,35,1780243296.634856,1780243296.643259,1:1;2:1;3:1;4:1;5:1
30,35,1780243297.699860,1780243297.717524,1:1;2:1;3:1;4:1;5:1
31,37,1780243298.700997,1780243298.707997,1:1;2:1;3:1;4:1;5:1
32,38,1780243299.706270,1780243299.712264,1:1;2:1;3:1;4:1;5:1
33,39,1780243300.915959,1780243300.929696,1:1;2:1;3:1;4:1;5:1
34,40,1780243301.918751,1780243301.931991,1:1;2:1;3:1;4:1;5:1
35,41,1780243302.975256,1780243302.978060,1:1;2:1;3:1;4:1;5:1
36,41,1780243303.981977,1780243304.003603,1:1;2:1;3:1;4:1;5:1
37,43,1780243304.989714,1780243305.005940,1:1;2:1;3:1;4:1;5:1
38,44,1780243306.384180,1780243306.398692,1:1;2:1;3:1;4:1;5:1
39,45,1780243307.437008,1780243307.441958,1:1;2:1;3:1;4:1;5:1
40,47,1780243308.439307,1780243308.443423,1:1;2:1;3:1;4:1;5:1
41,48,1780243309.464097,1780243309.478640,1:1;2:1;3:1;4:1;5:1
42,48,1780243310.482699,1780243310.485432,1:1;2:1;3:1;4:1;5:1
43,50,1780243311.551474,1780243311.559223,1:1;2:1;3:1;4:1;5:1
44,51,1780243312.607909,1780243312.620265,1:1;2:1;3:1;4:1;5:1
45,51,1780243313.611860,1780243313.613703,1:1;2:1;3:1;4:1;5:1
46,52,1780243314.615040,1780243314.620213,1:1;2:1;3:1;4:1;5:1
47,53,1780243315.616755,1780243315.618582,1:1;2:1;3:1;4:1;5:1
48,54,1780243316.618008,1780243316.619894,1:1;2:1;3:1;4:1;5:1
49,55,1780243317.619058,1780243317.622032,1:1;2:1;3:1;4:1;5:1
50,56,1780243318.628350,1780243318.633257,1:1;2:1;3:1;4:1;5:1
51,57,1780243319.630725,1780243319.633104,1:1;2:1;3:1;4:1;5:1
52,58,1780243320.633011,1780243320.635398,1:1;2:1;3:1;4:1;5:1
53,59,1780243321.635811,1780243321.649320,1:1;2:1;3:1;4:1;5:1
54,60,1780243322.633344,1780243322.637497,1:1;2:1;3:1;4:1;5:1
55,61,1780243323.636220,1780243323.639019,1:1;2:1;3:1;4:1;5:1
56,62,1780243324.640589,1780243324.644363,1:1;2:1;3:1;4:1;5:1
57,63,1780243325.642965,1780243325.644962,1:1;2:1;3:1;4:1;5:1
58,64,1780243326.645669,1780243326.649066,1:1;2:1;3:1;4:1;5:1
59,65,1780243327.662778,1780243327.665229,1:1;2:1;3:1;4:1;5:1
60,66,1780243328.663352,1780243328.664867,1:1;2:1;3:1;4:1;5:1
61,67,1780243329.665092,1780243329.668815,1:1;2:1;3:1;4:1;5:1
62,68,1780243330.674283,1780243330.676626,1:1;2:1;3:1;4:1;5:1
63,69,1780243331.674439,1780243331.675923,1:1;2:1;3:1;4:1;5:1
64,70,1780243332.674964,1780243332.676637,1:1;2:1;3:1;4:1;5:1
