cycle_id,ts_received,ts_sent,bus,V_sent,I_sent,power_factor,breaker_actual
4,1780243263.528402,1780243263.528862,1,1.019232,738.433814,0.966900,1
4,1780243263.533318,1780243263.534050,2,1.010322,287.494064,0.915900,1
4,1780243263.538430,1780243263.538862,3,1.006210,444.813380,0.929000,1
4,1780243263.543031,1780243263.543442,4,1.013336,466.636220,0.892200,1
4,1780243263.547760,1780243263.548218,5,1.010111,467.140021,0.973600,1
5,1780243264.529106,1780243264.529535,1,1.021184,887.311323,0.976700,1
5,1780243264.534375,1780243264.534880,2,1.005002,430.082876,0.900500,1
5,1780243264.539400,1780243264.539861,3,1.009519,465.514894,0.942800,1
5,1780243264.544111,1780243264.544535,4,1.004926,515.217501,0.802800,1
5,1780243264.549329,1780243264.549883,5,1.004331,481.231049,0.956200,1
6,1780243265.528460,1780243265.528764,1,1.020916,828.331132,0.970900,1
6,1780243265.532383,1780243265.532641,2,1.011563,440.336648,0.926900,1
6,1780243265.536209,1780243265.536462,3,1.009926,368.224565,0.888700,1
6,1780243265.540011,1780243265.540270,4,1.008017,494.542962,0.845000,1
6,1780243265.543817,1780243265.544068,5,1.008670,501.928841,0.974100,1
7,1780243266.530115,1780243266.530636,1,1.018139,837.657393,0.984200,1
7,1780243266.535496,1780243266.536021,2,1.009968,401.940368,0.958400,1
7,1780243266.540451,1780243266.540909,3,1.010896,409.339308,0.967600,1
7,1780243266.544911,1780243266.545356,4,1.008658,458.431298,0.904000,1
7,1780243266.549706,1780243266.550269,5,1.005438,477.831382,0.972100,1
8,1780243267.531378,1780243267.531830,1,1.017576,911.300471,0.985100,1
8,1780243267.536453,1780243267.537262,2,1.011280,407.565385,0.949500,1
8,1780243267.542135,1780243267.542591,3,1.008145,481.426032,0.932000,1
8,1780243267.547365,1780243267.547783,4,1.003957,523.284276,0.793700,1
8,1780243267.552737,1780243267.553186,5,1.006682,503.007443,0.951800,1
9,1780243268.531624,1780243268.532126,1,1.021492,682.173247,0.951700,1
9,1780243268.536865,1780243268.537322,2,1.006606,320.875102,0.923200,1
9,1780243268.541738,1780243268.542259,3,1.011008,361.585429,0.901000,1
9,1780243268.546742,1780243268.547125,4,1.014322,465.410032,0.894300,1
9,1780243268.551316,1780243268.551881,5,1.007358,464.484581,0.961100,1
10,1780243269.533479,1780243269.534203,1,1.021846,791.749028,0.967700,1
10,1780243269.538864,1780243269.539342,2,1.008642,384.302818,0.929200,1
10,1780243269.543806,1780243269.544271,3,1.006097,410.869985,0.898900,1
10,1780243269.548783,1780243269.549245,4,1.013867,462.418979,0.893200,1
10,1780243269.553658,1780243269.554240,5,1.003627,462.859027,0.987500,1
11,1780243270.539941,1780243270.540565,1,1.024330,754.701079,0.971400,1
11,1780243270.545543,1780243270.545982,2,1.005300,376.222648,0.948700,1
11,1780243270.550495,1780243270.551004,3,1.010072,357.062274,0.945600,1
11,1780243270.555773,1780243270.556276,4,1.006641,459.399390,0.907800,1
11,1780243270.561148,1780243270.561576,5,1.010305,468.069211,0.965200,1
12,1780243271.546873,1780243271.547358,1,1.020737,895.951544,0.984900,1
12,1780243271.551904,1780243271.552369,2,1.014782,436.161876,0.951200,1
12,1780243271.556845,1780243271.557337,3,1.010556,424.721606,0.941600,1
12,1780243271.562245,1780243271.562741,4,1.005295,479.789267,0.870000,1
12,1780243271.567977,1780243271.568464,5,1.009865,497.094436,0.981000,1
13,1780243272.539212,1780243272.539967,1,1.014078,722.582813,0.956500,1
13,1780243272.545303,1780243272.545877,2,1.013527,324.516512,0.902600,1
13,1780243272.550384,1780243272.550864,3,1.008448,401.229292,0.904100,1
13,1780243272.555146,1780243272.555563,4,1.006066,456.781826,0.915000,1
13,1780243272.560037,1780243272.560534,5,1.009656,459.208125,0.987700,1
14,1780243273.543963,1780243273.544494,1,1.020975,902.374746,0.980000,1
14,1780243273.550378,1780243273.550887,2,1.010361,430.351824,0.925200,1
14,1780243273.555478,1780243273.555757,3,1.006015,452.311229,0.915600,1
14,1780243273.561182,1780243273.562021,4,1.013125,518.406865,0.802000,1
14,1780243273.567100,1780243273.567619,5,1.004359,508.219683,0.968400,1
15,1780243274.542366,1780243274.542949,1,1.024396,778.999428,0.969300,1
15,1780243274.548018,1780243274.548390,2,1.006860,327.031211,0.919700,1
15,1780243274.552889,1780243274.553320,3,1.008553,442.053001,0.903600,1
15,1780243274.558129,1780243274.558655,4,1.014214,468.692929,0.884100,1
15,1780243274.563255,1780243274.563689,5,1.010782,478.164184,0.985900,1
16,1780243275.546473,1780243275.547335,1,1.017639,841.080615,0.975100,1
16,1780243275.552052,1780243275.552540,2,1.013386,352.288504,0.917500,1
16,1780243275.558212,1780243275.558756,3,1.009036,505.813535,0.925900,1
16,1780243275.563753,1780243275.564199,4,1.010457,515.729587,0.807500,1
16,1780243275.568461,1780243275.568948,5,1.006471,470.882821,0.951900,1
17,1780243276.553392,1780243276.554041,1,1.021718,761.301259,0.972400,1
17,1780243276.558577,1780243276.559165,2,1.013292,292.048817,0.950200,1
17,1780243276.564268,1780243276.564765,3,1.015032,475.220747,0.918000,1
17,1780243276.570595,1780243276.571133,4,1.008717,476.841173,0.870800,1
17,1780243276.576388,1780243276.576848,5,1.006961,463.752344,0.965300,1
18,1780243277.552871,1780243277.553333,1,1.018990,918.845406,0.984600,1
18,1780243277.557595,1780243277.558027,2,1.015512,436.686314,0.942300,1
18,1780243277.562812,1780243277.563263,3,1.004628,484.865846,0.957500,1
18,1780243277.567464,1780243277.567907,4,1.011195,479.091193,0.868400,1
18,1780243277.572146,1780243277.572631,5,1.005707,454.049386,0.978800,1
19,1780243278.562339,1780243278.562822,1,1.020846,771.316923,0.971200,1
19,1780243278.567935,1780243278.568409,2,1.018290,388.532699,0.943000,1
19,1780243278.573150,1780243278.573600,3,1.007337,377.050827,0.937700,1
19,1780243278.578743,1780243278.579245,4,1.009323,463.939221,0.895900,1
19,1780243278.583962,1780243278.584472,5,0.998816,463.202985,0.967400,1
20,1780243279.558686,1780243279.559159,1,1.023026,842.547157,0.983100,1
20,1780243279.563874,1780243279.564303,2,1.010800,339.796925,0.976300,1
20,1780243279.568693,1780243279.569205,3,1.011569,499.069911,0.903700,1
20,1780243279.574308,1780243279.574753,4,1.004896,505.969936,0.820800,1
20,1780243279.579609,1780243279.580082,5,1.005977,491.168268,0.957100,1
21,1780243280.566871,1780243280.567455,1,1.023275,827.009089,0.983000,1
21,1780243280.573233,1780243280.574037,2,1.014266,412.195352,0.969600,1
21,1780243280.580569,1780243280.581203,3,1.011049,380.295126,0.937500,1
21,1780243280.587185,1780243280.587849,4,1.010528,482.891982,0.864100,1
21,1780243280.593375,1780243280.594264,5,1.006552,496.986655,0.956100,1
22,1780243281.569159,1780243281.569742,1,1.022391,855.912066,0.978000,1
22,1780243281.575922,1780243281.576587,2,1.009735,403.766551,0.943200,1
22,1780243281.582143,1780243281.582685,3,1.011145,467.225944,0.927700,1
22,1780243281.588173,1780243281.589172,4,1.018236,493.413075,0.839700,1
22,1780243281.594877,1780243281.595599,5,1.009744,459.668095,0.963000,1
23,1780243282.568100,1780243282.568558,1,1.020397,766.724175,0.982700,1
23,1780243282.575743,1780243282.576504,2,1.011667,270.357968,0.974300,1
