cycle_id,ts_received,ts_sent,bus,V_received,I_received,P_sent,Q_sent,breaker_actual
0,1780243262.472877,1780243262.472959,1,0.000000,0.000000,0.000000,0.000000,0
0,1780243262.473643,1780243262.473829,2,0.000000,0.000000,0.000000,0.000000,0
0,1780243262.474085,1780243262.474168,3,0.000000,0.000000,0.000000,0.000000,0
0,1780243262.474363,1780243262.474456,4,0.000000,0.000000,0.000000,0.000000,0
0,1780243262.474647,1780243262.474724,5,0.000000,0.000000,0.000000,0.000000,0
0,1780243263.481570,1780243263.481661,1,0.000000,0.000000,0.000000,0.000000,0
0,1780243263.481902,1780243263.482002,2,0.000000,0.000000,0.000000,0.000000,0
0,1780243263.482167,1780243263.482254,3,0.000000,0.000000,0.000000,0.000000,0
0,1780243263.482414,1780243263.482493,4,0.000000,0.000000,0.000000,0.000000,0
0,1780243263.482612,1780243263.482687,5,0.000000,0.000000,0.000000,0.000000,0
4,1780243264.482867,1780243264.482953,1,1.019000,738.433333,138.618230,36.580019,1
4,1780243264.483199,1780243264.483301,2,1.010000,287.466667,50.665256,22.204786,1
4,1780243264.483431,1780243264.483513,3,1.006000,444.800000,79.201204,31.550872,1
4,1780243264.483636,1780243264.483715,4,1.013000,466.633333,80.352748,40.675361,1
4,1780243264.483835,1780243264.483909,5,1.010000,467.133333,87.517743,20.518569,1
5,1780243265.483261,1780243265.483372,1,1.021000,887.300000,168.581814,37.042294,1
5,1780243265.483608,1780243265.483692,2,1.005000,430.066667,74.154733,35.809696,1
5,1780243265.483819,1780243265.483899,3,1.009000,465.500000,84.369162,29.831578,1
5,1780243265.484020,1780243265.484097,4,1.004000,515.200000,79.117079,58.761126,1
5,1780243265.484215,1780243265.484288,5,1.004000,481.200000,88.015950,26.943644,1
6,1780243266.483492,1780243266.483591,1,1.020000,828.300000,156.284406,38.549605,1
6,1780243266.484203,1780243266.484319,2,1.011000,440.333333,78.617443,31.832761,1
6,1780243266.484450,1780243266.484534,3,1.009000,368.200000,62.904750,32.453186,1
6,1780243266.484656,1780243266.484735,4,1.008000,494.533333,80.253896,50.789443,1
6,1780243266.484854,1780243266.484938,5,1.008000,501.900000,93.893296,21.795433,1
7,1780243267.484349,1780243267.484464,1,1.018000,837.633333,159.896296,28.765790,1
7,1780243267.484793,1780243267.484901,2,1.009000,401.933333,74.053452,22.054432,1
7,1780243267.485117,1780243267.485220,3,1.010000,409.333333,76.216264,19.888073,1
7,1780243267.485427,1780243267.485520,4,1.008000,458.400000,79.584205,37.638087,1
7,1780243267.485708,1780243267.486003,5,1.005000,477.800000,88.935769,21.460117,1
8,1780243268.497330,1780243268.497460,1,1.017000,911.300000,173.946604,30.368264,1
8,1780243268.497850,1780243268.497992,2,1.011000,407.533333,74.535398,24.630596,1
8,1780243268.498821,1780243268.499176,3,1.008000,481.400000,86.165982,33.510272,1
8,1780243268.499597,1780243268.499898,4,1.003000,523.266667,79.365854,60.827761,1
8,1780243268.500409,1780243268.500786,5,1.006000,503.000000,91.762445,29.570622,1
9,1780243269.501038,1780243269.501160,1,1.021000,682.166667,126.290190,40.742685,1
9,1780243269.501733,1780243269.502102,2,1.006000,320.866667,56.776902,23.635714,1
9,1780243269.502415,1780243269.502543,3,1.011000,361.566667,62.750566,30.213533,1
9,1780243269.502808,1780243269.502933,4,1.014000,465.400000,80.408299,40.232732,1
9,1780243269.503214,1780243269.503336,5,1.007000,464.466667,85.645769,24.612856,1
10,1780243270.503458,1780243270.503575,1,1.021000,791.733333,149.038587,38.827434,1
10,1780243270.503978,1780243270.504130,2,1.008000,384.300000,68.579360,27.276553,1
